miliseg,AcX,AcY,AcZ
146520.0,2.86,-6.56,-6.2
146540.0,3.0,-6.53,-6.27
146560.0,3.11,-6.38,-6.28
146580.0,3.1,-6.41,-6.06
146600.0,2.98,-6.4,-6.3
146620.0,2.98,-6.49,-6.54
146640.0,3.13,-6.44,-6.34
146660.0,3.21,-6.29,-6.26
146680.0,2.99,-6.31,-6.38
146700.0,2.95,-6.6,-6.36
146720.0,3.05,-6.54,-6.2
146740.0,3.1,-6.22,-6.17
146760.0,3.02,-6.36,-6.16
146780.0,2.97,-6.68,-6.28
146800.0,2.99,-6.52,-6.23
146820.0,2.96,-6.31,-6.19
146840.0,2.97,-6.28,-6.33
146860.0,3.02,-6.49,-6.38
146880.0,3.1,-6.62,-6.24
146900.0,3.01,-6.29,-6.33
146920.0,2.98,-6.27,-6.36
146940.0,3.03,-6.46,-6.35
146960.0,3.0,-6.4,-6.27
146980.0,3.03,-6.59,-6.18
147000.0,3.18,-6.58,-6.18
147020.0,3.05,-6.21,-6.48
147040.0,2.93,-6.14,-6.53
147060.0,2.97,-6.44,-6.28
147080.0,2.98,-6.51,-6.13
147100.0,2.94,-6.27,-6.31
147120.0,2.94,-6.49,-6.36
147140.0,2.97,-6.62,-6.17
147160.0,2.92,-6.25,-6.25
147180.0,2.96,-6.2,-6.3
147200.0,3.08,-6.58,-6.25
147220.0,3.08,-6.77,-6.09
147240.0,3.09,-6.34,-6.36
147260.0,3.12,-6.46,-6.28
147280.0,3.08,-6.61,-6.18
147300.0,3.0,-6.48,-6.16
147320.0,2.99,-6.28,-6.35
147340.0,2.94,-6.37,-6.3
147360.0,3.1,-6.69,-6.18
147380.0,3.23,-6.63,-6.16
147400.0,3.06,-6.36,-6.38
147420.0,3.07,-6.32,-6.42
147440.0,3.11,-6.57,-6.09
147460.0,3.04,-6.51,-6.11
147480.0,3.04,-6.3,-6.37
147500.0,3.07,-6.64,-6.23
147520.0,3.08,-6.96,-6.0
147540.0,3.06,-6.68,-6.1
147560.0,2.95,-6.13,-6.27
147580.0,2.88,-6.04,-6.41
147600.0,3.01,-6.56,-6.23
147620.0,3.01,-6.69,-6.22
147640.0,2.98,-6.34,-6.31
147660.0,2.99,-6.39,-6.22
147680.0,2.93,-6.43,-6.2
147700.0,2.85,-6.46,-6.36
147720.0,3.01,-6.64,-6.31
147740.0,3.17,-6.54,-5.94
147760.0,2.95,-6.61,-5.97
147780.0,2.93,-6.62,-6.33
147800.0,3.12,-6.55,-6.19
147820.0,3.15,-6.7,-6.01
147840.0,3.12,-6.83,-6.11
147860.0,2.96,-6.56,-6.21
147880.0,2.97,-6.5,-6.24
147900.0,2.96,-6.36,-6.15
147920.0,2.9,-6.34,-6.13
147940.0,2.99,-6.4,-6.23
147960.0,2.99,-6.78,-5.99
147980.0,3.04,-6.66,-6.07
148000.0,2.99,-6.37,-6.16
148020.0,3.1,-6.58,-6.28
