miliseg,AcX,AcY,AcZ
270120.0,9.71,-2.31,0.11
270140.0,9.71,-2.4,-0.01
270160.0,9.73,-2.32,-0.02
270180.0,9.72,-2.27,0.04
270200.0,9.64,-2.36,0.16
270220.0,9.65,-2.31,0.09
270240.0,9.76,-2.2,-0.09
270260.0,9.76,-2.16,-0.06
270280.0,9.79,-2.16,0.06
270300.0,9.73,-2.21,0.1
270320.0,9.73,-2.35,-0.03
270340.0,9.72,-2.41,0.07
270360.0,9.69,-2.36,0.14
270380.0,9.7,-2.23,0.05
270400.0,9.76,-2.28,0.08
270420.0,9.75,-2.33,0.02
270440.0,9.79,-2.33,-0.12
270460.0,9.72,-2.28,-0.04
270480.0,9.7,-2.14,0.09
270500.0,9.82,-2.1,0.11
270520.0,9.71,-2.26,0.04
270540.0,9.72,-2.41,-0.06
270560.0,9.7,-2.46,-0.16
270580.0,9.77,-2.24,-0.01
270600.0,9.7,-2.23,0.22
270620.0,9.76,-2.32,0.04
270640.0,9.88,-2.3,-0.16
270660.0,9.78,-2.23,0.02
270680.0,9.73,-2.27,0.12
270700.0,9.74,-2.35,0.03
270720.0,9.71,-2.39,0.02
270740.0,9.72,-2.28,0.01
270760.0,9.69,-2.27,0.13
270780.0,9.69,-2.38,0.01
270800.0,9.76,-2.41,-0.09
270820.0,9.68,-2.32,-0.01
270840.0,9.69,-2.31,0.05
270860.0,9.73,-2.34,-0.08
270880.0,9.73,-2.29,-0.16
270900.0,9.66,-2.29,-0.03
270920.0,9.7,-2.44,0.02
270940.0,9.72,-2.4,0.01
270960.0,9.78,-2.32,0.01
270980.0,9.7,-2.33,0.05
271000.0,9.7,-2.42,-0.13
271020.0,9.73,-2.41,-0.02
271040.0,9.78,-2.27,0.02
271060.0,9.71,-2.26,-0.01
271080.0,9.71,-2.39,-0.03
271100.0,9.74,-2.43,-0.07
271120.0,9.71,-2.35,-0.01
271140.0,9.69,-2.33,0.08
271160.0,9.69,-2.37,-0.0
271180.0,9.69,-2.39,-0.17
271200.0,9.73,-2.36,-0.01
271220.0,9.68,-2.3,0.03
271240.0,9.73,-2.32,-0.05
271260.0,9.74,-2.36,-0.08
271280.0,9.66,-2.46,-0.1
271300.0,9.65,-2.4,-0.02
271320.0,9.65,-2.31,0.06
271340.0,9.7,-2.3,-0.13
271360.0,9.75,-2.35,-0.14
271380.0,9.75,-2.18,-0.16
271400.0,9.76,-2.26,-0.2
271420.0,9.72,-2.4,-0.01
271440.0,9.72,-2.52,-0.01
