miliseg,AcX,AcY,AcZ
97980.0,6.21,-7.8,-0.74
98000.0,6.31,-7.74,-0.85
98020.0,6.34,-7.5,-0.84
98040.0,6.41,-7.58,-0.75
98060.0,6.4,-7.53,-0.73
98080.0,6.33,-7.56,-0.77
98100.0,6.34,-7.69,-0.8
98120.0,6.32,-7.56,-0.88
98140.0,6.29,-7.5,-0.74
98160.0,6.23,-7.7,-0.56
98180.0,6.23,-7.69,-0.67
98200.0,6.11,-7.57,-0.98
98220.0,5.62,-8.4,-1.63
98240.0,5.61,-9.16,-1.23
98260.0,5.85,-7.92,-0.74
98280.0,5.63,-6.11,-0.89
98300.0,4.99,-6.3,-0.9
98320.0,6.65,-8.27,0.0
98340.0,9.08,-7.36,0.12
98360.0,8.18,-5.33,-1.23
98380.0,6.61,-6.18,-1.66
98400.0,6.08,-7.47,-0.28
98420.0,6.01,-9.14,1.32
98440.0,6.26,-9.84,2.5
98460.0,6.45,-8.84,2.43
98480.0,6.52,-7.57,1.32
98500.0,6.38,-6.82,0.35
98520.0,6.39,-7.18,0.38
98540.0,6.8,-7.91,0.98
98560.0,7.55,-7.33,1.42
98580.0,7.76,-5.66,1.45
98600.0,7.28,-5.57,1.9
98620.0,6.62,-7.18,1.89
98640.0,6.17,-7.97,1.51
98660.0,5.87,-6.99,0.84
98680.0,6.3,-5.86,0.24
98700.0,6.62,-6.19,0.25
98720.0,6.82,-7.45,0.54
98740.0,7.97,-7.75,0.11
98760.0,9.23,-6.98,0.08
98780.0,8.05,-6.51,1.19
98800.0,6.2,-6.93,2.64
98820.0,5.26,-8.97,3.64
98840.0,4.91,-10.4,4.03
98860.0,5.39,-8.51,2.35
98880.0,5.81,-6.72,0.02
98900.0,6.64,-6.93,0.01
98920.0,8.16,-7.04,0.51
98940.0,8.64,-6.81,0.59
98960.0,7.43,-6.28,0.8
98980.0,6.48,-7.06,1.44
99000.0,6.27,-8.22,2.26
99020.0,6.65,-7.44,2.52
99040.0,6.86,-6.74,1.87
99060.0,7.02,-6.39,1.61
99080.0,7.12,-6.56,1.78
99100.0,7.31,-6.85,2.07
99120.0,7.54,-6.81,1.67
99140.0,7.6,-7.09,0.74
99160.0,6.9,-7.51,0.08
99180.0,6.56,-7.77,0.42
99200.0,6.89,-7.23,1.08
99220.0,7.37,-6.75,1.63
99240.0,7.39,-6.54,2.26
99260.0,7.1,-6.71,2.47
99280.0,6.72,-6.84,2.2
99300.0,6.87,-7.4,1.84
99320.0,7.3,-7.55,1.34
99340.0,7.5,-6.92,1.02
99360.0,8.1,-6.06,1.57
99380.0,7.3,-6.76,2.23
99400.0,7.28,-6.64,2.04
99420.0,7.22,-6.57,1.69
99440.0,7.48,-6.16,1.54
99460.0,7.02,-7.14,1.82
99480.0,6.78,-7.56,2.24
99500.0,7.09,-7.19,1.89
99520.0,7.57,-6.35,1.41
99540.0,7.38,-6.65,1.61
99560.0,6.96,-7.59,1.72
99580.0,7.08,-7.2,1.44
99600.0,7.52,-6.08,1.38
99620.0,7.35,-6.11,1.89
99640.0,7.09,-7.2,2.29
99660.0,6.99,-7.25,1.72
99680.0,7.06,-7.18,1.22
99700.0,7.28,-7.24,1.26
99720.0,7.18,-6.95,1.33
99740.0,6.98,-6.94,1.8
99760.0,6.99,-7.17,2.23
99780.0,7.75,-6.18,1.78
99800.0,7.15,-6.92,1.45
99820.0,7.25,-6.93,1.38
99840.0,7.24,-7.0,1.51
99860.0,7.21,-6.79,1.6
99880.0,7.15,-6.77,1.82
99900.0,7.19,-6.97,1.82
99920.0,7.24,-6.79,1.78
99940.0,7.19,-6.67,1.2
99960.0,7.18,-7.15,1.67
99980.0,7.18,-7.14,1.68
100000.0,7.21,-6.84,1.3
100020.0,7.15,-6.63,1.44
100040.0,7.08,-6.88,1.7
100060.0,7.16,-7.01,1.87
100080.0,7.22,-7.01,1.82
100100.0,7.22,-6.93,1.24
100120.0,7.18,-7.02,1.16
100140.0,7.01,-7.08,2.05
100160.0,7.05,-7.0,2.15
100180.0,7.23,-6.9,1.47
100200.0,7.21,-7.06,1.37
100220.0,7.22,-6.97,1.43
100240.0,7.12,-6.91,1.38
100260.0,6.96,-6.85,1.68
100280.0,7.09,-7.21,2.01
100300.0,7.1,-6.83,1.83
100320.0,7.27,-7.17,1.14
100340.0,7.04,-6.87,1.64
100360.0,7.13,-7.03,1.72
100380.0,7.02,-6.75,1.91
100400.0,7.13,-7.0,1.4
100420.0,7.35,-7.33,1.22
100440.0,7.16,-6.83,1.22
100460.0,6.97,-6.77,1.84
100480.0,7.07,-7.19,1.96
100500.0,7.17,-7.16,1.89
100520.0,7.36,-6.88,1.51
100540.0,7.1,-6.84,1.39
100560.0,7.08,-6.86,1.53
100580.0,6.97,-7.14,1.55
100600.0,7.1,-7.09,1.64
100620.0,7.21,-6.8,1.75
100640.0,7.2,-6.98,2.05
100660.0,7.06,-6.86,2.06
100680.0,7.11,-6.68,1.63
100700.0,7.06,-6.91,1.32
100720.0,7.24,-7.13,1.52
100740.0,7.38,-7.18,1.83
100760.0,7.23,-6.72,1.37
100780.0,7.12,-6.57,1.55
100800.0,7.07,-6.77,1.98
100820.0,7.27,-7.18,1.84
100840.0,7.36,-6.88,1.57
100860.0,7.14,-6.69,1.66
100880.0,7.24,-6.79,1.36
100900.0,7.24,-6.83,1.5
100920.0,7.23,-6.92,1.55
100940.0,7.38,-6.92,1.59
100960.0,7.29,-6.88,1.94
100980.0,7.08,-6.62,2.12
101000.0,7.18,-6.86,1.73
101020.0,7.3,-6.63,1.0
101040.0,7.34,-6.7,1.25
101060.0,7.37,-7.16,1.53
101080.0,7.39,-6.78,1.33
101100.0,7.32,-6.48,1.34
101120.0,7.18,-6.62,1.99
101140.0,7.18,-6.74,2.33
101160.0,7.34,-7.07,1.64
101180.0,7.4,-6.62,1.18
101200.0,7.55,-6.69,0.92
101220.0,7.46,-6.53,1.42
101240.0,7.2,-6.64,1.87
101260.0,7.09,-6.75,2.23
101280.0,7.31,-7.15,1.53
101300.0,7.44,-6.56,0.74
101320.0,7.56,-6.61,0.97
101340.0,7.28,-6.74,1.91
101360.0,7.04,-6.71,2.73
101380.0,7.21,-7.04,1.75
101400.0,7.34,-6.72,1.28
101420.0,7.46,-6.88,0.74
101440.0,7.23,-6.71,1.5
101460.0,7.1,-6.61,2.3
101480.0,7.32,-6.78,2.35
101500.0,7.4,-7.16,1.33
101520.0,7.25,-6.92,1.16
101540.0,7.1,-6.46,1.71
101560.0,7.19,-6.72,2.12
101580.0,7.31,-7.26,1.81
101600.0,7.28,-6.63,1.54
101620.0,7.25,-6.71,1.5
