miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
24103,1.82,-1.22,-9.09,-0.08,0.02,-0.01
24116,1.81,-1.24,-9.14,-0.1,0.01,-0.02
24130,1.85,-1.22,-9.14,-0.12,-0.0,-0.03
24144,1.82,-1.21,-9.11,-0.11,-0.02,-0.03
24157,1.81,-1.19,-9.05,-0.1,-0.02,-0.02
24171,1.75,-1.2,-9.03,-0.1,-0.01,-0.02
24185,1.75,-1.21,-9.1,-0.1,0.01,-0.03
24198,1.77,-1.23,-9.13,-0.1,0.03,-0.03
24212,1.83,-1.21,-9.16,-0.1,0.03,-0.03
24226,1.81,-1.24,-9.2,-0.09,0.01,-0.03
24239,1.87,-1.26,-9.21,-0.08,-0.01,-0.02
24253,1.85,-1.25,-9.17,-0.09,-0.03,-0.02
24267,1.79,-1.23,-9.17,-0.11,-0.05,-0.03
24280,1.75,-1.23,-9.1,-0.12,-0.04,-0.04
24294,1.74,-1.2,-9.03,-0.12,-0.03,-0.04
24308,1.7,-1.23,-8.97,-0.12,-0.02,-0.04
24321,1.74,-1.22,-8.96,-0.09,-0.02,-0.04
24335,1.75,-1.25,-8.97,-0.07,-0.01,-0.02
24349,1.76,-1.29,-8.97,-0.06,-0.0,-0.01
24362,1.75,-1.32,-9.0,-0.07,0.01,-0.0
24376,1.75,-1.33,-9.04,-0.08,0.01,-0.01
24390,1.73,-1.34,-9.07,-0.11,0.01,-0.02
24403,1.74,-1.29,-9.07,-0.12,-0.01,-0.02
24417,1.74,-1.27,-9.05,-0.11,-0.01,-0.02
24431,1.75,-1.29,-9.02,-0.08,-0.01,-0.01
24444,1.76,-1.32,-8.95,-0.06,-0.0,-0.0
24458,1.74,-1.36,-8.93,-0.08,0.01,0.0
24472,1.77,-1.3,-8.88,-0.1,0.01,0.0
24485,1.73,-1.26,-8.94,-0.11,0.02,0.0
24499,1.76,-1.19,-8.99,-0.1,0.03,0.0
24513,1.78,-1.18,-9.04,-0.08,0.03,0.0
24526,1.78,-1.22,-9.1,-0.07,0.04,0.0
24540,1.79,-1.27,-9.14,-0.08,0.04,0.0
24554,1.84,-1.26,-9.19,-0.09,0.03,-0.0
24567,1.85,-1.23,-9.23,-0.09,0.02,-0.0
24581,1.82,-1.26,-9.23,-0.1,0.0,-0.01
24595,1.8,-1.27,-9.19,-0.11,-0.01,-0.02
24608,1.78,-1.24,-9.15,-0.13,-0.02,-0.02
24622,1.76,-1.21,-9.15,-0.12,-0.01,-0.02
24636,1.77,-1.14,-9.1,-0.1,-0.01,-0.01
24649,1.76,-1.17,-9.05,-0.08,-0.01,-0.01
24663,1.74,-1.16,-9.05,-0.09,-0.01,-0.02
24677,1.73,-1.18,-9.05,-0.1,0.0,-0.03
24690,1.71,-1.2,-9.08,-0.12,0.0,-0.04
24704,1.75,-1.21,-9.13,-0.11,-0.01,-0.04
24718,1.74,-1.23,-9.11,-0.11,-0.02,-0.03
24731,1.74,-1.25,-9.07,-0.11,-0.03,-0.04
24745,1.68,-1.28,-9.08,-0.11,-0.02,-0.05
24759,1.69,-1.27,-9.03,-0.11,-0.01,-0.04
24772,1.69,-1.28,-9.03,-0.11,-0.01,-0.03
24786,1.68,-1.28,-8.98,-0.1,-0.02,-0.03
24800,1.72,-1.26,-8.92,-0.1,-0.03,-0.03
24814,1.66,-1.23,-8.89,-0.11,-0.02,-0.03
24827,1.67,-1.22,-8.93,-0.11,0.0,-0.04
24841,1.71,-1.26,-8.98,-0.1,0.03,-0.04
24855,1.73,-1.31,-9.04,-0.08,0.04,-0.03
24868,1.74,-1.38,-9.07,-0.07,0.04,-0.01
24882,1.75,-1.37,-9.07,-0.09,0.02,-0.01
24896,1.77,-1.35,-9.08,-0.1,0.01,-0.01
24909,1.76,-1.28,-9.08,-0.11,0.0,-0.01
24923,1.74,-1.29,-9.05,-0.11,0.01,-0.01
24937,1.77,-1.23,-9.05,-0.1,0.02,-0.0
24950,1.79,-1.21,-9.04,-0.08,0.03,0.0
24964,1.76,-1.24,-9.06,-0.08,0.03,0.0
24978,1.77,-1.26,-9.1,-0.09,0.03,-0.0
24991,1.8,-1.24,-9.1,-0.1,0.02,-0.01
25005,1.79,-1.23,-9.06,-0.11,0.01,-0.0
25019,1.79,-1.21,-9.06,-0.11,0.0,-0.0
25032,1.75,-1.2,-9.04,-0.11,0.01,-0.01
25046,1.74,-1.21,-9.06,-0.11,0.03,-0.01
