miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2641816,2.91,5.43,-7.08,-0.08,0.02,0.02
2641830,2.91,5.45,-7.14,-0.08,0.02,0.0
2641844,2.91,5.43,-7.14,-0.11,0.01,-0.02
2641857,2.93,5.29,-7.1,-0.13,-0.0,-0.04
2641871,2.92,5.19,-7.03,-0.14,-0.01,-0.04
2641885,2.88,5.12,-7.0,-0.14,-0.0,-0.02
2641898,2.88,5.22,-7.0,-0.12,0.02,0.0
2641912,2.9,5.29,-7.08,-0.11,0.04,0.01
2641926,2.97,5.33,-7.11,-0.1,0.04,0.01
2641939,2.94,5.33,-7.17,-0.12,0.02,-0.0
2641953,2.94,5.37,-7.16,-0.11,0.0,-0.0
2641967,2.98,5.38,-7.15,-0.09,-0.01,0.01
2641980,2.97,5.33,-7.12,-0.08,-0.0,0.01
2641994,2.97,5.31,-7.15,-0.1,0.02,0.01
2642008,3.01,5.4,-7.15,-0.12,0.02,0.0
2642021,3.1,5.48,-7.18,-0.13,0.01,-0.01
2642035,3.1,5.5,-7.21,-0.11,-0.01,-0.01
2642049,2.92,5.43,-7.2,-0.1,-0.01,-0.01
2642062,2.86,5.35,-7.16,-0.11,-0.01,-0.02
2642076,2.89,5.3,-7.07,-0.14,-0.01,-0.02
2642090,2.91,5.32,-7.07,-0.14,-0.01,-0.02
2642103,2.96,5.36,-7.07,-0.13,-0.01,-0.01
2642117,2.98,5.38,-7.07,-0.11,-0.01,0.0
2642131,2.99,5.43,-7.05,-0.1,-0.01,0.01
2642144,2.95,5.47,-7.04,-0.1,-0.0,-0.0
2642158,2.92,5.49,-7.09,-0.13,0.01,-0.03
2642172,2.96,5.49,-7.17,-0.14,0.01,-0.04
2642185,2.95,5.41,-7.19,-0.13,0.0,-0.04
2642199,2.96,5.36,-7.19,-0.11,-0.02,-0.03
2642213,2.96,5.31,-7.15,-0.1,-0.03,-0.01
2642226,2.93,5.35,-7.08,-0.09,-0.03,-0.0
2642240,2.93,5.39,-6.99,-0.1,-0.02,-0.01
2642254,2.92,5.38,-6.94,-0.11,-0.01,-0.03
2642267,2.9,5.35,-6.94,-0.14,-0.0,-0.04
2642281,2.89,5.32,-7.0,-0.15,0.01,-0.05
2642295,2.88,5.32,-7.02,-0.14,0.01,-0.04
2642308,2.87,5.26,-7.08,-0.11,0.01,-0.03
2642322,2.89,5.31,-7.08,-0.09,0.01,-0.01
2642336,2.94,5.35,-7.07,-0.08,-0.0,0.0
2642349,2.94,5.37,-7.05,-0.08,-0.0,-0.01
2642363,2.89,5.35,-7.05,-0.1,-0.0,-0.02
2642377,2.84,5.3,-7.09,-0.13,0.0,-0.03
2642391,2.83,5.25,-7.04,-0.13,0.01,-0.03
2642404,2.86,5.22,-6.97,-0.12,-0.0,-0.02
2642418,2.85,5.13,-6.92,-0.11,-0.01,-0.01
2642432,2.84,5.14,-6.88,-0.1,0.0,0.0
2642445,2.83,5.13,-6.9,-0.08,0.02,0.02
2642459,2.88,5.15,-6.98,-0.07,0.04,0.04
2642473,2.94,5.13,-7.04,-0.07,0.04,0.05
2642486,2.91,5.27,-7.07,-0.07,0.03,0.06
2642500,2.92,5.47,-7.14,-0.04,0.02,0.07
2642514,2.91,5.57,-7.17,0.01,0.01,0.08
2642527,2.96,5.5,-7.2,0.04,0.01,0.07
2642541,2.99,5.32,-7.24,0.01,0.01,0.06
2642555,3.01,5.25,-7.25,-0.05,0.01,0.04
2642568,3.02,5.29,-7.24,-0.09,-0.0,0.03
2642582,3.01,5.43,-7.2,-0.1,-0.01,0.02
2642596,2.98,5.51,-7.17,-0.1,-0.0,0.02
2642609,2.96,5.56,-7.2,-0.09,0.01,0.01
2642623,3.02,5.58,-7.21,-0.09,0.02,0.0
2642637,3.03,5.5,-7.23,-0.1,0.0,-0.02
2642650,3.01,5.39,-7.19,-0.12,-0.02,-0.03
2642664,3.0,5.34,-7.1,-0.14,-0.02,-0.04
2642678,2.96,5.39,-7.03,-0.13,-0.02,-0.03
2642691,2.93,5.45,-7.02,-0.1,0.0,-0.02
2642705,2.9,5.49,-7.03,-0.08,0.03,-0.02
2642719,2.94,5.46,-7.06,-0.07,0.03,-0.04
2642732,2.92,5.39,-7.11,-0.08,0.01,-0.06
2642746,2.89,5.22,-7.11,-0.12,-0.0,-0.07
2642760,2.86,5.13,-7.07,-0.14,-0.0,-0.08
2642773,2.9,5.14,-7.04,-0.14,0.01,-0.05
2642787,2.91,5.26,-6.99,-0.1,0.01,-0.03
2642801,2.86,5.26,-6.95,-0.07,0.01,-0.02
2642814,2.85,5.19,-6.96,-0.08,0.02,-0.03
2642828,2.86,5.18,-6.96,-0.11,0.03,-0.04
2642842,2.92,5.27,-6.99,-0.12,0.03,-0.03
2642855,2.94,5.3,-7.0,-0.1,0.03,-0.03
2642869,2.95,5.2,-7.02,-0.09,0.03,-0.02
2642883,2.95,5.17,-7.06,-0.1,0.04,-0.02
2642897,2.92,5.24,-7.04,-0.12,0.03,-0.02
2642911,2.89,5.3,-7.04,-0.12,0.03,-0.03
2642924,2.91,5.32,-7.01,-0.1,0.03,-0.03
2642938,2.95,5.32,-7.09,-0.09,0.04,-0.03
2642952,3.0,5.27,-7.14,-0.08,0.06,-0.02
2642965,3.01,5.2,-7.18,-0.1,0.06,-0.02
2642979,3.0,5.22,-7.21,-0.11,0.04,-0.01
2642993,2.99,5.28,-7.18,-0.12,0.02,-0.02
2643006,2.97,5.37,-7.13,-0.12,0.02,-0.02
2643020,2.96,5.43,-7.12,-0.12,0.03,-0.02
2643034,3.0,5.44,-7.18,-0.1,0.05,-0.03
2643047,3.0,5.43,-7.24,-0.08,0.05,-0.02
2643061,3.08,5.34,-7.2,-0.08,0.03,-0.03
