miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
44647,1.63,1.94,-8.94,-0.1,0.0,-0.02
44661,1.62,1.93,-8.98,-0.1,0.01,-0.02
44674,1.63,1.96,-9.0,-0.1,0.01,-0.02
44687,1.63,1.96,-8.95,-0.1,0.01,-0.02
44701,1.62,1.94,-8.92,-0.1,0.01,-0.02
44715,1.64,1.92,-8.98,-0.1,0.01,-0.02
44728,1.63,1.97,-8.96,-0.1,0.01,-0.02
44742,1.62,1.96,-8.93,-0.1,0.0,-0.02
44756,1.63,1.92,-8.96,-0.1,0.0,-0.02
44769,1.63,1.91,-8.97,-0.1,0.0,-0.02
44783,1.63,1.93,-8.98,-0.1,0.01,-0.02
44797,1.64,1.98,-8.96,-0.1,0.01,-0.02
44810,1.64,1.98,-8.94,-0.09,0.01,-0.02
44824,1.63,1.93,-8.97,-0.09,0.0,-0.02
44838,1.64,1.9,-8.96,-0.1,0.01,-0.02
44851,1.64,1.9,-8.94,-0.1,0.01,-0.02
44865,1.63,1.94,-8.96,-0.11,0.01,-0.02
44879,1.62,1.98,-8.95,-0.1,0.01,-0.02
44892,1.64,1.98,-8.97,-0.1,0.01,-0.02
44906,1.62,1.96,-8.97,-0.09,0.01,-0.02
44920,1.62,1.95,-8.96,-0.09,0.01,-0.02
44933,1.63,1.9,-8.97,-0.1,0.01,-0.02
44947,1.63,1.9,-8.98,-0.11,0.01,-0.02
44960,1.64,1.93,-8.97,-0.11,0.01,-0.02
44973,1.63,2.01,-8.98,-0.1,0.01,-0.02
44987,1.63,2.01,-8.94,-0.09,0.01,-0.02
45001,1.65,1.97,-8.97,-0.09,0.01,-0.02
45014,1.63,1.93,-8.95,-0.09,0.0,-0.02
45028,1.63,1.9,-8.95,-0.09,0.01,-0.02
45042,1.64,1.93,-8.96,-0.1,0.01,-0.02
45055,1.64,1.96,-8.96,-0.11,0.01,-0.02
45069,1.64,1.96,-8.93,-0.11,0.01,-0.02
45083,1.65,1.99,-8.96,-0.1,0.01,-0.02
45096,1.65,1.98,-8.94,-0.1,0.01,-0.02
45110,1.61,1.96,-8.94,-0.1,0.01,-0.02
45124,1.63,1.94,-8.95,-0.1,0.01,-0.02
45137,1.64,1.95,-8.94,-0.1,0.01,-0.02
45151,1.64,1.94,-8.97,-0.1,0.0,-0.02
45165,1.65,1.96,-8.93,-0.1,0.0,-0.02
45178,1.65,1.97,-8.95,-0.1,0.0,-0.02
45192,1.63,1.98,-8.95,-0.1,0.01,-0.02
45206,1.65,1.97,-8.97,-0.1,0.01,-0.02
45219,1.63,1.95,-8.97,-0.1,0.01,-0.02
45233,1.63,1.96,-8.96,-0.1,0.0,-0.02
45247,1.61,1.93,-8.95,-0.1,0.0,-0.02
45260,1.62,1.98,-8.95,-0.1,0.01,-0.02
45274,1.63,1.95,-8.95,-0.1,0.01,-0.02
45288,1.65,1.92,-8.96,-0.1,0.01,-0.02
45301,1.64,1.96,-8.94,-0.1,0.01,-0.02
45315,1.63,1.95,-8.95,-0.1,0.01,-0.02
45329,1.63,1.94,-8.93,-0.1,0.0,-0.02
45342,1.63,1.97,-8.95,-0.11,0.0,-0.02
45356,1.63,1.95,-8.95,-0.11,0.01,-0.02
45370,1.64,1.96,-8.96,-0.11,0.01,-0.02
45383,1.64,1.99,-8.95,-0.1,0.01,-0.02
45397,1.66,1.96,-8.97,-0.1,0.01,-0.02
45411,1.64,1.96,-8.95,-0.1,0.01,-0.02
45424,1.64,1.96,-8.96,-0.1,0.01,-0.02
45438,1.63,1.93,-8.99,-0.1,0.01,-0.02
45452,1.64,1.96,-8.95,-0.1,0.01,-0.02
45465,1.63,1.98,-8.94,-0.1,0.01,-0.02
45479,1.63,1.98,-8.95,-0.1,0.0,-0.02
45493,1.64,1.97,-8.96,-0.1,0.01,-0.02
45506,1.64,1.96,-8.92,-0.1,0.01,-0.02
45520,1.64,1.96,-8.94,-0.1,0.01,-0.02
45534,1.67,1.96,-8.93,-0.1,0.01,-0.02
45547,1.65,1.95,-8.95,-0.1,0.01,-0.02
45561,1.65,1.98,-8.96,-0.1,0.01,-0.02
45575,1.64,1.97,-8.96,-0.09,0.01,-0.02
45588,1.64,1.96,-8.95,-0.09,0.01,-0.02
45602,1.62,1.92,-8.96,-0.1,0.01,-0.02
45616,1.62,1.95,-8.93,-0.1,0.01,-0.02
45629,1.64,1.94,-8.96,-0.1,0.01,-0.02
45643,1.65,1.98,-8.93,-0.1,0.01,-0.02
45657,1.63,1.99,-8.96,-0.1,0.01,-0.02
45670,1.61,1.95,-8.97,-0.1,0.01,-0.02
45684,1.68,1.97,-8.98,-0.1,0.01,-0.01
45697,1.64,1.94,-8.97,-0.1,0.01,-0.02
45710,1.63,1.95,-8.93,-0.1,0.01,-0.02
45724,1.61,1.92,-8.91,-0.11,0.01,-0.02
45738,1.63,1.98,-8.96,-0.11,0.01,-0.02
45751,1.63,2.0,-8.94,-0.11,0.01,-0.02
45765,1.63,1.99,-8.93,-0.1,0.01,-0.02
45779,1.61,1.94,-8.94,-0.11,0.0,-0.02
45793,1.63,1.97,-9.0,-0.11,0.01,-0.02
45807,1.64,1.98,-8.97,-0.11,0.01,-0.02
45820,1.64,2.0,-8.95,-0.1,0.01,-0.02
45834,1.65,1.99,-8.94,-0.1,0.01,-0.02
45848,1.64,1.97,-8.93,-0.1,0.01,-0.02
45861,1.64,1.95,-8.97,-0.1,0.01,-0.02
45875,1.63,1.94,-8.97,-0.11,0.01,-0.02
45889,1.64,1.97,-8.97,-0.11,0.01,-0.02
45902,1.64,1.99,-8.97,-0.1,0.01,-0.02
45916,1.64,1.99,-8.95,-0.09,0.01,-0.02
45930,1.64,1.97,-8.97,-0.09,0.01,-0.02
45943,1.65,1.97,-8.93,-0.09,0.01,-0.02
45957,1.66,1.95,-8.95,-0.1,0.01,-0.02
45971,1.65,1.97,-8.94,-0.1,0.01,-0.02
45984,1.65,1.98,-8.94,-0.1,0.01,-0.02
45998,1.64,1.99,-8.94,-0.1,0.01,-0.02
46012,1.64,1.96,-8.94,-0.1,0.01,-0.02
46025,1.64,1.97,-8.96,-0.1,0.0,-0.02
46039,1.64,1.97,-8.95,-0.1,0.01,-0.02
46053,1.64,2.01,-8.94,-0.1,0.01,-0.02
46066,1.61,1.97,-8.96,-0.09,0.01,-0.02
46080,1.62,1.95,-8.98,-0.09,0.01,-0.02
46094,1.63,1.95,-8.97,-0.1,0.01,-0.02
46107,1.63,1.96,-8.96,-0.1,0.01,-0.02
46121,1.62,1.96,-8.93,-0.1,0.01,-0.02
46135,1.63,2.0,-8.92,-0.1,0.01,-0.02
46149,1.65,1.99,-8.93,-0.09,0.01,-0.02
46162,1.63,1.95,-8.96,-0.09,0.0,-0.02
46176,1.63,1.91,-8.95,-0.1,0.0,-0.02
46190,1.65,1.94,-8.96,-0.11,0.01,-0.02
46203,1.64,1.99,-8.96,-0.11,0.01,-0.02
46217,1.64,1.99,-8.95,-0.1,0.01,-0.02
46231,1.63,1.99,-8.97,-0.09,0.01,-0.02
46244,1.63,1.95,-8.97,-0.09,0.01,-0.02
46258,1.64,1.92,-8.98,-0.1,0.01,-0.02
46272,1.64,1.96,-8.95,-0.1,0.01,-0.02
46285,1.65,1.98,-8.92,-0.1,0.01,-0.02
46299,1.64,2.02,-8.94,-0.1,0.01,-0.02
46313,1.64,2.01,-8.93,-0.09,0.0,-0.02
46326,1.62,1.96,-8.94,-0.09,0.01,-0.02
46340,1.64,1.95,-8.94,-0.09,0.01,-0.02
46354,1.68,1.94,-8.95,-0.09,0.01,-0.02
46367,1.61,1.95,-8.96,-0.1,0.01,-0.02
46381,1.63,1.95,-8.95,-0.1,0.01,-0.02
46395,1.64,1.98,-8.98,-0.1,0.01,-0.02
46408,1.62,1.96,-8.96,-0.1,0.01,-0.02
46422,1.64,1.96,-8.92,-0.09,0.01,-0.02
46436,1.64,1.98,-8.94,-0.09,0.01,-0.02
46449,1.63,1.97,-8.99,-0.09,0.01,-0.02
46463,1.64,1.95,-8.97,-0.09,0.01,-0.02
46477,1.65,1.93,-8.94,-0.09,0.01,-0.02
46490,1.66,1.95,-8.94,-0.09,0.01,-0.02
46504,1.64,1.96,-8.94,-0.1,0.01,-0.02
46518,1.66,1.97,-8.93,-0.1,0.01,-0.02
46531,1.62,1.97,-8.91,-0.1,0.01,-0.02
46545,1.63,1.96,-8.96,-0.1,0.01,-0.02
46559,1.64,1.96,-8.93,-0.1,0.01,-0.02
46572,1.64,1.98,-8.95,-0.09,0.01,-0.02
46586,1.63,1.96,-8.96,-0.09,0.01,-0.02
46600,1.61,1.97,-8.96,-0.1,0.01,-0.02
46613,1.62,1.96,-8.97,-0.1,0.01,-0.02
46627,1.64,1.94,-8.96,-0.1,0.01,-0.02
46641,1.64,1.96,-8.96,-0.1,0.01,-0.02
46654,1.64,1.98,-8.95,-0.1,0.01,-0.02
46668,1.65,1.99,-8.98,-0.1,0.01,-0.02
46682,1.65,1.98,-8.94,-0.09,0.01,-0.02
46695,1.64,1.98,-8.93,-0.09,0.01,-0.02
46709,1.65,1.94,-8.97,-0.09,0.01,-0.02
46723,1.64,1.94,-8.94,-0.1,0.01,-0.02
46736,1.63,1.94,-8.97,-0.1,0.01,-0.02
46750,1.64,1.95,-8.97,-0.1,0.01,-0.02
46764,1.65,1.95,-8.92,-0.1,0.01,-0.02
46777,1.64,1.97,-8.94,-0.1,0.01,-0.02
46791,1.65,1.97,-8.97,-0.1,0.01,-0.02
46805,1.63,1.96,-8.96,-0.1,0.01,-0.02
46818,1.63,1.98,-8.95,-0.1,0.01,-0.02
46832,1.63,1.96,-8.96,-0.1,0.01,-0.02
46846,1.64,1.96,-8.95,-0.1,0.01,-0.02
46859,1.64,1.96,-8.95,-0.09,0.01,-0.02
46873,1.64,1.94,-8.91,-0.09,0.0,-0.02
46887,1.63,1.93,-8.96,-0.1,0.0,-0.02
46901,1.63,1.96,-8.95,-0.1,0.01,-0.02
46914,1.64,1.99,-8.95,-0.1,0.01,-0.02
46928,1.65,1.95,-8.95,-0.09,0.01,-0.02
46942,1.65,1.94,-8.95,-0.1,0.01,-0.02
46955,1.64,1.95,-8.93,-0.1,0.01,-0.02
