miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2663480,9.48,2.78,1.67,-0.12,0.02,-0.01
2663494,9.49,2.8,1.65,-0.11,0.02,-0.01
2663508,9.48,2.78,1.68,-0.11,0.01,-0.01
2663521,9.53,2.77,1.65,-0.11,0.01,-0.0
2663535,9.53,2.82,1.66,-0.11,0.02,-0.0
2663549,9.53,2.84,1.65,-0.11,0.02,-0.0
2663562,9.52,2.88,1.66,-0.11,0.03,-0.0
2663576,9.55,2.9,1.67,-0.11,0.03,-0.01
2663590,9.53,2.88,1.62,-0.1,0.03,-0.01
2663603,9.52,2.85,1.61,-0.1,0.03,-0.01
2663617,9.55,2.82,1.6,-0.1,0.03,-0.02
2663631,9.53,2.8,1.59,-0.1,0.03,-0.02
2663644,9.54,2.77,1.58,-0.1,0.02,-0.02
2663658,9.53,2.74,1.6,-0.1,0.02,-0.01
2663672,9.56,2.73,1.61,-0.1,0.02,-0.01
2663685,9.58,2.7,1.61,-0.1,0.02,-0.0
2663699,9.62,2.71,1.62,-0.1,0.02,0.0
2663713,9.63,2.7,1.63,-0.1,0.02,0.01
2663726,9.6,2.74,1.63,-0.11,0.02,0.01
2663740,9.56,2.71,1.6,-0.12,0.03,0.01
2663754,9.55,2.7,1.58,-0.12,0.02,0.0
2663767,9.57,2.7,1.59,-0.13,0.03,0.01
2663781,9.59,2.71,1.54,-0.13,0.03,0.02
2663795,9.59,2.74,1.54,-0.12,0.02,0.03
2663808,9.6,2.77,1.54,-0.12,0.01,0.03
2663822,9.62,2.82,1.56,-0.13,-0.0,0.03
2663836,9.61,2.84,1.62,-0.14,-0.01,0.02
2663849,9.59,2.83,1.65,-0.13,-0.0,0.01
2663863,9.56,2.85,1.67,-0.12,0.01,0.01
2663877,9.56,2.85,1.64,-0.11,0.01,0.02
2663890,9.53,2.86,1.63,-0.09,0.02,0.02
2663904,9.54,2.9,1.61,-0.09,0.01,0.01
2663918,9.57,2.87,1.64,-0.09,0.01,0.0
2663932,9.57,2.83,1.64,-0.1,-0.0,-0.01
2663946,9.52,2.82,1.66,-0.1,-0.0,-0.01
2663959,9.49,2.81,1.66,-0.1,0.0,-0.01
2663973,9.48,2.78,1.7,-0.1,0.02,-0.01
2663987,9.51,2.76,1.67,-0.1,0.02,-0.01
2664000,9.55,2.76,1.67,-0.1,0.01,-0.01
2664014,9.58,2.74,1.69,-0.11,0.01,-0.01
2664028,9.57,2.74,1.67,-0.11,0.01,-0.01
2664041,9.57,2.75,1.67,-0.11,0.01,-0.01
2664055,9.57,2.77,1.69,-0.12,0.01,-0.01
2664069,9.58,2.82,1.65,-0.11,0.01,-0.01
2664082,9.57,2.85,1.58,-0.1,0.02,-0.02
2664096,9.59,2.82,1.57,-0.1,0.02,-0.02
2664110,9.58,2.78,1.58,-0.11,0.02,-0.03
2664123,9.59,2.72,1.6,-0.12,0.01,-0.04
2664137,9.59,2.71,1.6,-0.13,0.0,-0.05
2664151,9.55,2.7,1.62,-0.13,0.0,-0.04
2664164,9.54,2.67,1.64,-0.12,0.01,-0.02
2664178,9.56,2.69,1.62,-0.12,0.01,-0.01
2664192,9.58,2.72,1.64,-0.12,0.0,-0.01
2664205,9.57,2.79,1.65,-0.12,-0.0,-0.01
2664219,9.55,2.83,1.69,-0.12,0.0,-0.02
2664233,9.58,2.83,1.69,-0.12,0.01,-0.03
2664246,9.59,2.79,1.71,-0.12,0.01,-0.03
2664260,9.61,2.75,1.7,-0.12,0.02,-0.03
2664274,9.61,2.76,1.68,-0.12,0.01,-0.03
2664287,9.6,2.8,1.66,-0.11,0.01,-0.02
2664301,9.6,2.82,1.62,-0.11,0.01,-0.02
2664315,9.57,2.83,1.62,-0.11,0.01,-0.02
2664328,9.56,2.84,1.62,-0.1,0.01,-0.03
