miliseg,AcX,AcY,AcZ
436140.0,-0.54,-8.79,5.37
436160.0,-0.54,-8.69,5.3
436180.0,-0.61,-8.69,5.33
436200.0,-0.65,-8.69,5.31
436220.0,-0.57,-8.75,5.34
436240.0,-0.47,-8.69,5.26
436260.0,-0.6,-8.64,5.19
436280.0,-0.59,-8.68,5.29
436300.0,-0.47,-8.77,5.28
436320.0,-0.56,-8.73,5.25
436340.0,-0.63,-8.82,5.38
436360.0,-0.57,-8.79,5.32
436380.0,-0.59,-8.72,5.32
436400.0,-0.6,-8.77,5.33
436420.0,-0.56,-8.75,5.35
436440.0,-0.56,-8.68,5.24
436460.0,-0.62,-8.65,5.25
436480.0,-0.63,-8.76,5.36
436500.0,-0.54,-8.76,5.3
436520.0,-0.57,-8.71,5.22
436540.0,-0.6,-8.72,5.23
436560.0,-0.56,-8.81,5.35
436580.0,-0.58,-8.64,5.24
436600.0,-0.63,-8.65,5.26
436620.0,-0.57,-8.77,5.33
436640.0,-0.51,-8.74,5.29
436660.0,-0.57,-8.71,5.31
436680.0,-0.58,-8.73,5.37
436700.0,-0.58,-8.8,5.39
436720.0,-0.49,-8.76,5.28
436740.0,-0.54,-8.76,5.28
436760.0,-0.58,-8.76,5.3
436780.0,-0.66,-8.76,5.35
436800.0,-0.58,-8.69,5.28
436820.0,-0.54,-8.68,5.3
436840.0,-0.61,-8.7,5.3
436860.0,-0.61,-8.69,5.2
436880.0,-0.49,-8.79,5.28
436900.0,-0.5,-8.87,5.29
436920.0,-0.54,-8.72,5.07
436940.0,-0.57,-8.82,5.39
436960.0,-0.56,-8.75,5.27
436980.0,-0.56,-8.74,5.28
437000.0,-0.55,-8.76,5.3
437020.0,-0.55,-8.76,5.26
437040.0,-0.47,-8.83,5.31
437060.0,-0.55,-8.71,5.2
437080.0,-0.58,-8.72,5.25
437100.0,-0.58,-8.73,5.26
437120.0,-0.54,-8.79,5.41
437140.0,-0.56,-8.68,5.21
437160.0,-0.57,-8.71,5.25
437180.0,-0.55,-8.76,5.32
437200.0,-0.53,-8.74,5.35
437220.0,-0.59,-8.69,5.3
437240.0,-0.53,-8.66,5.26
437260.0,-0.57,-8.85,5.3
437280.0,-0.54,-8.83,5.26
437300.0,-0.51,-8.8,5.16
437320.0,-0.53,-8.71,5.26
437340.0,-0.55,-8.68,5.24
437360.0,-0.51,-8.76,5.35
437380.0,-0.56,-8.71,5.14
437400.0,-0.66,-8.73,5.2
437420.0,-0.58,-8.78,5.38
437440.0,-0.54,-8.78,5.34
437460.0,-0.54,-8.7,5.15
437480.0,-0.49,-8.82,5.32
437500.0,-0.51,-8.82,5.32
437520.0,-0.55,-8.77,5.23
437540.0,-0.51,-8.86,5.27
437560.0,-0.47,-8.89,5.27
437580.0,-0.48,-8.78,5.26
437600.0,-0.55,-8.68,5.26
437620.0,-0.64,-8.68,5.31
437640.0,-0.57,-8.68,5.34
437660.0,-0.6,-8.59,5.27
437680.0,-0.59,-8.63,5.25
437700.0,-0.55,-8.67,5.35
437720.0,-0.62,-8.7,5.31
437740.0,-0.6,-8.72,5.31
437760.0,-0.61,-8.65,5.16
437780.0,-0.57,-8.72,5.29
437800.0,-0.54,-8.84,5.26
437820.0,-0.52,-8.83,5.25
437840.0,-0.61,-8.77,5.28
437860.0,-0.62,-8.74,5.37
437880.0,-0.59,-8.76,5.36
437900.0,-0.55,-8.74,5.2
437920.0,-0.55,-8.81,5.26
437940.0,-0.55,-8.73,5.24
437960.0,-0.59,-8.8,5.27
437980.0,-0.55,-8.78,5.33
438000.0,-0.57,-8.64,5.22
438020.0,-0.54,-8.77,5.41
438040.0,-0.55,-8.61,5.24
438060.0,-0.61,-8.69,5.25
438080.0,-0.52,-8.74,5.37
438100.0,-0.48,-8.69,5.25
438120.0,-0.54,-8.75,5.26
438140.0,-0.52,-8.91,5.53
438160.0,-0.49,-8.76,5.25
438180.0,-0.49,-8.77,5.21
438200.0,-0.51,-8.88,5.41
438220.0,-0.44,-8.81,5.33
438240.0,-0.45,-8.74,5.32
438260.0,-0.6,-8.5,5.08
438280.0,-0.57,-8.62,5.32
438300.0,-0.6,-8.73,5.44
438320.0,-0.53,-8.68,5.2
438340.0,-0.5,-8.82,5.16
438360.0,-0.47,-8.86,5.2
438380.0,-0.5,-9.01,5.36
438400.0,-0.49,-8.83,5.25
438420.0,-0.5,-8.79,5.24
438440.0,-0.6,-8.83,5.3
438460.0,-0.57,-8.7,5.11
438480.0,-0.54,-8.74,5.2
438500.0,-0.54,-8.76,5.08
438520.0,-0.5,-8.83,5.18
438540.0,-0.55,-8.77,5.12
438560.0,-0.6,-8.74,5.12
438580.0,-0.57,-8.77,5.28
438600.0,-0.56,-8.74,5.27
438620.0,-0.48,-8.68,5.24
438640.0,-0.56,-8.58,5.24
438660.0,-0.65,-8.68,5.31
438680.0,-0.5,-8.79,5.35
438700.0,-0.42,-8.91,5.32
438720.0,-0.51,-8.71,5.17
438740.0,-0.54,-8.8,5.32
438760.0,-0.54,-8.76,5.31
438780.0,-0.46,-8.75,5.21
438800.0,-0.5,-8.78,5.21
438820.0,-0.54,-8.71,5.17
438840.0,-0.56,-8.8,5.38
438860.0,-0.6,-8.75,5.38
438880.0,-0.53,-8.75,5.33
438900.0,-0.48,-8.75,5.31
438920.0,-0.51,-8.78,5.2
438940.0,-0.53,-8.75,5.24
438960.0,-0.52,-8.75,5.26
438980.0,-0.49,-8.77,5.17
439000.0,-0.43,-8.7,5.17
439020.0,-0.59,-8.69,5.21
439040.0,-0.53,-8.68,5.18
439060.0,-0.44,-8.92,5.31
439080.0,-0.4,-8.9,5.22
439100.0,-0.46,-8.81,5.22
439120.0,-0.51,-8.81,5.28
439140.0,-0.47,-8.85,5.35
439160.0,-0.47,-8.78,5.31
439180.0,-0.53,-8.75,5.29
439200.0,-0.54,-8.71,5.25
439220.0,-0.48,-8.79,5.34
439240.0,-0.46,-8.75,5.34
439260.0,-0.54,-8.68,5.16
439280.0,-0.48,-8.78,5.29
439300.0,-0.43,-8.81,5.29
439320.0,-0.51,-8.68,5.09
439340.0,-0.62,-8.85,5.41
439360.0,-0.51,-8.71,5.31
439380.0,-0.49,-8.72,5.26
439400.0,-0.53,-8.75,5.33
439420.0,-0.54,-8.75,5.3
439440.0,-0.55,-8.69,5.25
439460.0,-0.59,-8.7,5.26
439480.0,-0.54,-8.74,5.19
439500.0,-0.51,-8.77,5.2
439520.0,-0.55,-8.76,5.39
439540.0,-0.54,-8.65,5.31
439560.0,-0.51,-8.76,5.5
439580.0,-0.54,-8.58,5.14
439600.0,-0.56,-8.67,5.35
439620.0,-0.57,-8.75,5.42
439640.0,-0.55,-8.75,5.26
439660.0,-0.46,-8.8,5.32
439680.0,-0.51,-8.8,5.28
439700.0,-0.57,-8.78,5.37
439720.0,-0.54,-8.79,5.32
439740.0,-0.46,-8.84,5.32
439760.0,-0.51,-8.73,5.21
439780.0,-0.58,-8.73,5.26
439800.0,-0.57,-8.71,5.23
439820.0,-0.54,-8.67,5.23
439840.0,-0.54,-8.66,5.26
439860.0,-0.66,-8.71,5.26
439880.0,-0.54,-8.74,5.27
439900.0,-0.49,-8.88,5.26
439920.0,-0.5,-8.79,5.17
439940.0,-0.52,-8.76,5.2
439960.0,-0.54,-8.87,5.43
439980.0,-0.58,-8.68,5.24
440000.0,-0.57,-8.56,5.18
440020.0,-0.57,-8.63,5.26
440040.0,-0.57,-8.66,5.31
440060.0,-0.59,-8.77,5.38
440080.0,-0.52,-8.66,5.24
440100.0,-0.5,-8.81,5.25
440120.0,-0.54,-8.85,5.19
440140.0,-0.45,-8.9,5.29
440160.0,-0.49,-8.87,5.32
440180.0,-0.51,-8.79,5.27
440200.0,-0.52,-8.79,5.29
440220.0,-0.54,-8.75,5.29
440240.0,-0.53,-8.71,5.2
440260.0,-0.49,-8.79,5.29
440280.0,-0.52,-8.75,5.24
440300.0,-0.59,-8.75,5.26
440320.0,-0.58,-8.72,5.28
440340.0,-0.51,-8.84,5.23
440360.0,-0.49,-8.69,5.21
440380.0,-0.57,-8.62,5.22
440400.0,-0.53,-8.72,5.23
440420.0,-0.51,-8.78,5.24
440440.0,-0.52,-8.76,5.32
440460.0,-0.62,-8.7,5.26
440480.0,-0.57,-8.76,5.31
440500.0,-0.45,-8.85,5.45
440520.0,-0.48,-8.77,5.33
440540.0,-0.57,-8.79,5.35
440560.0,-0.57,-8.78,5.35
440580.0,-0.51,-8.72,5.37
440600.0,-0.54,-8.65,5.3
440620.0,-0.56,-8.67,5.27
440640.0,-0.51,-8.69,5.29
440660.0,-0.47,-8.73,5.23
440680.0,-0.53,-8.71,5.25
440700.0,-0.51,-8.74,5.28
440720.0,-0.51,-8.81,5.42
440740.0,-0.53,-8.72,5.26
440760.0,-0.55,-8.73,5.33
440780.0,-0.56,-8.66,5.33
440800.0,-0.54,-8.75,5.39
440820.0,-0.53,-8.72,5.28
440840.0,-0.56,-8.76,5.31
440860.0,-0.6,-8.65,5.22
440880.0,-0.53,-8.66,5.34
440900.0,-0.61,-8.79,5.34
440920.0,-0.52,-8.8,5.2
440940.0,-0.48,-8.76,5.24
440960.0,-0.59,-8.8,5.24
440980.0,-0.54,-8.88,5.35
441000.0,-0.47,-8.8,5.21
441020.0,-0.53,-8.79,5.26
441040.0,-0.52,-8.72,5.29
441060.0,-0.58,-8.77,5.28
441080.0,-0.52,-8.78,5.24
441100.0,-0.51,-8.72,5.29
441120.0,-0.55,-8.68,5.21
441140.0,-0.57,-8.82,5.48
441160.0,-0.53,-8.74,5.32
441180.0,-0.59,-8.71,5.32
441200.0,-0.5,-8.68,5.29
441220.0,-0.57,-8.79,5.26
441240.0,-0.57,-8.73,5.32
441260.0,-0.59,-8.64,5.28
441280.0,-0.63,-8.62,5.27
441300.0,-0.59,-8.6,5.26
441320.0,-0.66,-8.63,5.36
441340.0,-0.61,-8.65,5.36
441360.0,-0.54,-8.8,5.27
441380.0,-0.54,-8.8,5.25
441400.0,-0.6,-8.81,5.23
441420.0,-0.56,-8.87,5.32
441440.0,-0.57,-8.78,5.27
441460.0,-0.6,-8.78,5.31
441480.0,-0.59,-8.79,5.24
441500.0,-0.6,-8.72,5.17
441520.0,-0.61,-8.69,5.11
441540.0,-0.6,-8.76,5.24
441560.0,-0.61,-8.81,5.26
441580.0,-0.58,-8.68,5.18
441600.0,-0.64,-8.63,5.25
441620.0,-0.63,-8.63,5.25
441640.0,-0.54,-8.72,5.3
441660.0,-0.59,-8.73,5.35
441680.0,-0.59,-8.65,5.28
441700.0,-0.53,-8.85,5.52
441720.0,-0.46,-8.8,5.37
441740.0,-0.52,-8.82,5.41
