miliseg,AcX,AcY,AcZ
476520.0,9.53,1.28,3.45
476540.0,9.57,1.2,3.42
476560.0,9.55,1.15,3.4
476580.0,9.54,1.21,3.44
476600.0,9.57,1.2,3.38
476620.0,9.56,1.1,3.4
476640.0,9.56,1.11,3.49
476660.0,9.57,1.18,3.45
476680.0,9.58,1.2,3.4
476700.0,9.5,1.17,3.47
476720.0,9.56,1.14,3.39
476740.0,9.59,1.1,3.51
476760.0,9.59,1.13,3.41
476780.0,9.57,1.18,3.42
476800.0,9.56,1.15,3.5
476820.0,9.6,1.16,3.4
476840.0,9.56,1.24,3.42
476860.0,9.53,1.21,3.38
476880.0,9.55,1.15,3.48
476900.0,9.55,1.09,3.43
476920.0,9.58,1.15,3.45
476940.0,9.57,1.13,3.43
476960.0,9.53,1.14,3.4
476980.0,9.54,1.11,3.49
477000.0,9.59,1.16,3.43
477020.0,9.57,1.11,3.41
477040.0,9.62,1.11,3.42
477060.0,9.61,1.13,3.42
477080.0,9.6,1.09,3.43
477100.0,9.53,1.16,3.41
477120.0,9.53,1.16,3.45
477140.0,9.58,1.11,3.47
477160.0,9.53,1.1,3.41
477180.0,9.53,1.17,3.4
477200.0,9.63,1.16,3.43
477220.0,9.63,1.04,3.49
477240.0,9.55,1.01,3.37
477260.0,9.52,1.14,3.38
477280.0,9.51,1.15,3.43
477300.0,9.57,1.09,3.43
477320.0,9.57,1.11,3.47
477340.0,9.55,1.1,3.41
477360.0,9.56,1.13,3.46
477380.0,9.55,1.08,3.5
477400.0,9.58,1.1,3.43
477420.0,9.62,1.1,3.42
477440.0,9.61,1.03,3.39
477460.0,9.55,1.03,3.49
477480.0,9.55,1.13,3.37
477500.0,9.56,1.16,3.35
477520.0,9.58,1.18,3.45
477540.0,9.6,1.15,3.47
477560.0,9.57,1.09,3.46
477580.0,9.63,1.08,3.39
477600.0,9.6,1.09,3.48
477620.0,9.57,1.05,3.45
477640.0,9.54,1.08,3.42
477660.0,9.53,1.14,3.46
477680.0,9.6,1.15,3.42
477700.0,9.59,1.04,3.49
477720.0,9.6,1.1,3.37
477740.0,9.57,1.13,3.42
477760.0,9.6,1.13,3.43
477780.0,9.56,1.21,3.37
477800.0,9.57,1.13,3.38
477820.0,9.56,1.07,3.46
477840.0,9.54,1.13,3.42
477860.0,9.6,1.08,3.43
477880.0,9.62,1.03,3.42
477900.0,9.58,1.05,3.46
477920.0,9.57,1.13,3.42
477940.0,9.61,1.11,3.47
477960.0,9.58,1.05,3.45
477980.0,9.55,1.09,3.39
478000.0,9.53,1.16,3.43
478020.0,9.56,1.14,3.39
478040.0,9.62,1.14,3.36
478060.0,9.61,1.08,3.4
478080.0,9.56,1.04,3.36
478100.0,9.55,1.1,3.37
478120.0,9.6,1.16,3.46
478140.0,9.53,1.08,3.48
478160.0,9.55,1.07,3.44
478180.0,9.5,1.06,3.45
478200.0,9.5,1.17,3.44
478220.0,9.54,1.15,3.45
478240.0,9.58,1.13,3.42
478260.0,9.57,1.09,3.47
478280.0,9.59,1.05,3.4
478300.0,9.62,1.04,3.44
478320.0,9.53,1.09,3.38
478340.0,9.59,1.11,3.4
478360.0,9.64,1.05,3.39
478380.0,9.72,1.0,3.42
478400.0,9.69,1.03,3.4
478420.0,9.55,1.13,3.44
478440.0,9.48,1.14,3.37
478460.0,9.58,1.05,3.43
478480.0,9.66,1.05,3.52
478500.0,9.59,1.09,3.48
478520.0,9.53,1.09,3.45
478540.0,9.55,1.02,3.43
478560.0,9.57,1.1,3.46
478580.0,9.54,1.14,3.41
478600.0,9.52,1.11,3.42
478620.0,9.56,1.1,3.48
