miliseg,AcX,AcY,AcZ
344440.0,7.8,-5.44,-2.17
344460.0,7.85,-5.4,-2.25
344480.0,7.86,-5.33,-2.38
344500.0,7.69,-5.31,-2.48
344520.0,7.67,-5.18,-2.36
344540.0,7.4,-5.21,-2.33
344560.0,7.54,-5.48,-2.53
344580.0,7.97,-5.31,-2.37
344600.0,8.12,-5.09,-2.63
344620.0,7.9,-5.29,-2.24
344640.0,7.76,-5.51,-2.28
344660.0,7.79,-5.17,-2.01
344680.0,7.94,-5.27,-2.05
344700.0,8.09,-5.36,-2.48
344720.0,8.09,-5.09,-3.04
344740.0,8.05,-5.18,-2.56
344760.0,8.27,-5.34,-1.68
344780.0,8.33,-5.55,-1.28
344800.0,8.21,-5.43,-1.86
344820.0,8.27,-5.18,-2.31
344840.0,8.04,-5.31,-2.5
344860.0,7.83,-5.6,-1.95
344880.0,7.98,-5.56,-1.09
344900.0,8.42,-5.47,-1.13
344920.0,8.49,-5.25,-1.64
344940.0,8.28,-5.44,-1.83
344960.0,8.32,-5.21,-1.97
344980.0,8.45,-5.2,-1.54
345000.0,8.35,-4.97,-1.08
345020.0,8.38,-5.66,-0.83
345040.0,8.2,-5.66,-1.12
345060.0,8.1,-5.46,-1.64
345080.0,7.95,-5.11,-1.56
345100.0,8.04,-5.75,-1.18
345120.0,8.27,-5.63,-1.25
345140.0,8.35,-4.8,-1.67
345160.0,8.32,-5.01,-1.61
345180.0,8.44,-5.29,-1.49
345200.0,8.43,-4.98,-1.36
345220.0,8.25,-5.4,-1.47
345240.0,8.12,-5.58,-1.29
345260.0,8.06,-5.18,-1.49
345280.0,8.4,-5.38,-1.26
345300.0,8.53,-5.49,-0.96
345320.0,8.44,-5.33,-1.49
345340.0,8.16,-5.13,-1.87
345360.0,8.2,-5.14,-1.54
345380.0,8.31,-5.03,-1.06
345400.0,8.57,-5.34,-1.3
345420.0,8.69,-4.98,-1.32
345440.0,8.5,-4.88,-1.16
345460.0,8.49,-5.35,-1.42
345480.0,8.53,-4.95,-1.63
345500.0,8.34,-5.35,-1.71
345520.0,8.3,-5.18,-1.1
345540.0,8.09,-5.21,-1.3
345560.0,8.21,-5.58,-1.58
345580.0,8.32,-5.02,-1.7
345600.0,8.14,-5.18,-1.67
345620.0,7.91,-5.46,-1.4
345640.0,8.07,-5.14,-1.02
345660.0,8.38,-5.3,-1.38
345680.0,8.38,-5.22,-1.57
345700.0,8.14,-5.31,-1.49
345720.0,7.99,-5.3,-0.98
345740.0,8.38,-5.41,-1.24
345760.0,8.54,-5.04,-1.49
345780.0,9.03,-4.95,-1.44
345800.0,8.42,-5.57,-1.38
345820.0,8.32,-5.19,-1.2
345840.0,8.51,-5.39,-2.25
345860.0,8.29,-5.53,-1.3
345880.0,8.12,-4.85,-0.48
345900.0,8.3,-5.4,-0.82
345920.0,8.39,-5.16,-1.65
345940.0,8.58,-4.62,-2.65
345960.0,8.45,-4.44,-1.64
345980.0,8.45,-5.17,-1.13
346000.0,8.27,-5.07,-0.71
346020.0,8.31,-5.25,-0.84
346040.0,8.37,-5.33,-1.14
346060.0,8.37,-5.32,-1.48
346080.0,8.32,-5.21,-1.49
346100.0,8.21,-5.52,-0.88
346120.0,8.18,-5.51,-0.57
346140.0,8.4,-5.18,-1.64
346160.0,8.38,-5.3,-1.47
346180.0,8.37,-5.54,-1.36
346200.0,8.29,-5.28,-1.2
346220.0,8.35,-5.27,-1.1
346240.0,8.33,-5.25,-1.26
346260.0,8.23,-5.03,-1.47
346280.0,8.26,-5.3,-1.39
346300.0,8.24,-5.59,-1.07
346320.0,8.2,-5.59,-0.65
