miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
419255,-0.95,0.95,10.7,-0.08,0.01,-0.01
419269,-0.98,1.01,10.7,-0.1,0.01,-0.01
419283,-0.96,0.97,10.72,-0.12,0.01,-0.02
419296,-0.97,0.83,10.76,-0.1,0.01,-0.01
419310,-0.99,0.84,10.73,-0.08,0.01,-0.02
419324,-0.98,1.01,10.69,-0.07,0.02,-0.02
419337,-1.02,0.97,10.74,-0.08,0.02,-0.01
419351,-0.99,0.93,10.78,-0.08,0.02,-0.02
419365,-0.95,0.96,10.71,-0.1,0.03,-0.02
419378,-0.96,0.98,10.61,-0.11,0.05,-0.02
419392,-1.04,0.88,10.56,-0.1,0.05,-0.02
419406,-1.02,0.88,10.58,-0.09,0.03,-0.02
419419,-0.94,1.11,10.51,-0.11,0.02,-0.02
419433,-0.96,1.06,10.49,-0.14,0.02,-0.02
419447,-1.02,0.85,10.5,-0.13,0.01,-0.02
419460,-1.0,0.71,10.58,-0.08,-0.01,-0.02
419474,-1.04,0.87,10.67,-0.06,-0.03,-0.02
419488,-0.94,1.19,10.66,-0.09,-0.02,-0.02
419501,-0.96,1.0,10.73,-0.14,-0.0,-0.02
419515,-0.95,0.8,10.78,-0.13,0.0,-0.03
419529,-0.99,0.82,10.74,-0.1,0.0,-0.03
419542,-0.96,0.9,10.73,-0.09,0.0,-0.03
419556,-1.0,0.97,10.75,-0.09,0.0,-0.02
419570,-1.04,0.78,10.77,-0.07,-0.01,-0.02
419583,-1.0,0.9,10.77,-0.06,-0.01,-0.02
419597,-1.02,1.1,10.76,-0.08,0.01,-0.01
419611,-0.95,1.01,10.71,-0.1,0.03,-0.02
419625,-0.99,0.85,10.66,-0.11,0.05,-0.03
419638,-1.06,0.77,10.65,-0.09,0.05,-0.03
419652,-1.06,0.78,10.64,-0.07,0.02,-0.01
419666,-1.05,0.97,10.64,-0.08,0.0,-0.01
419679,-0.96,1.05,10.66,-0.11,0.01,-0.01
419693,-0.96,0.92,10.64,-0.13,0.03,-0.01
419707,-1.0,0.82,10.6,-0.12,0.04,-0.01
419720,-0.98,0.88,10.47,-0.12,0.03,-0.0
419734,-1.06,1.01,10.46,-0.14,0.01,0.02
419748,-1.06,0.93,10.55,-0.14,-0.01,0.02
419761,-0.99,0.96,10.62,-0.12,-0.02,0.01
419775,-1.04,1.08,10.65,-0.12,-0.01,-0.0
419789,-0.98,1.1,10.69,-0.13,0.0,-0.02
419802,-1.0,1.03,10.6,-0.13,0.02,-0.02
419816,-1.0,0.96,10.5,-0.13,0.03,-0.02
419830,-1.05,0.85,10.53,-0.09,0.02,-0.02
419843,-1.01,0.84,10.57,-0.05,-0.01,-0.02
419857,-0.92,0.97,10.62,-0.04,-0.04,-0.02
419871,-0.92,1.15,10.65,-0.08,-0.03,-0.01
419884,-0.94,1.08,10.69,-0.13,-0.01,-0.01
419898,-0.99,0.92,10.7,-0.14,0.0,-0.02
419912,-1.0,0.83,10.71,-0.12,0.0,-0.02
419925,-0.93,0.88,10.67,-0.1,-0.0,-0.02
419939,-0.96,0.93,10.66,-0.09,-0.0,-0.02
419953,-0.97,1.01,10.61,-0.12,0.0,-0.02
419966,-1.0,0.93,10.57,-0.14,0.0,-0.01
419980,-1.02,0.77,10.6,-0.11,-0.0,-0.01
419994,-1.06,0.87,10.72,-0.07,-0.02,-0.01
420007,-0.97,0.98,10.75,-0.07,-0.03,-0.01
420021,-0.91,1.07,10.76,-0.1,-0.02,-0.01
420035,-0.85,0.94,10.83,-0.12,0.01,-0.01
420049,-0.92,0.91,10.73,-0.13,0.03,-0.01
420062,-0.98,0.84,10.71,-0.12,0.03,-0.01
420076,-1.04,0.94,10.62,-0.11,0.01,-0.01
420090,-1.05,0.96,10.63,-0.11,0.0,-0.01
420103,-1.01,0.92,10.7,-0.09,-0.01,-0.02
420117,-0.95,1.0,10.7,-0.09,-0.01,-0.02
420131,-0.93,0.96,10.74,-0.09,0.01,-0.02
420144,-1.0,0.93,10.79,-0.11,0.02,-0.01
420158,-1.01,0.92,10.7,-0.11,0.03,-0.0
420172,-1.01,0.89,10.72,-0.09,0.03,-0.01
420185,-0.99,1.1,10.6,-0.11,0.02,-0.02
420199,-1.01,1.07,10.58,-0.13,0.02,-0.03
420213,-0.99,0.8,10.57,-0.12,0.01,-0.03
420226,-0.95,0.85,10.56,-0.09,0.01,-0.03
420240,-1.02,0.97,10.59,-0.09,0.01,-0.02
420254,-1.0,0.93,10.65,-0.1,0.0,-0.02
420267,-0.96,0.91,10.64,-0.11,-0.01,-0.02
420281,-0.92,0.93,10.61,-0.12,-0.0,-0.01
420295,-0.93,0.94,10.64,-0.13,0.01,-0.02
420308,-0.95,0.92,10.65,-0.15,0.01,-0.01
420322,-0.96,0.85,10.61,-0.14,0.01,-0.01
420336,-0.99,0.87,10.62,-0.11,0.0,-0.01
420350,-0.97,0.95,10.58,-0.1,0.0,-0.02
420364,-0.99,0.96,10.58,-0.1,-0.0,-0.02
420377,-1.04,0.9,10.63,-0.09,-0.01,-0.01
420391,-1.05,0.83,10.74,-0.07,-0.03,-0.02
420405,-0.96,0.9,10.76,-0.05,-0.03,-0.02
420418,-0.96,1.19,10.82,-0.09,-0.01,-0.02
420432,-0.93,1.16,10.83,-0.14,0.01,-0.02
420446,-0.94,1.06,10.73,-0.18,0.02,-0.03
420459,-0.98,0.79,10.65,-0.16,0.03,-0.03
420473,-1.05,0.72,10.63,-0.1,0.01,-0.03
420487,-1.06,0.82,10.65,-0.06,-0.01,-0.02
420500,-1.0,0.97,10.67,-0.05,-0.01,-0.02
420514,-0.98,0.98,10.71,-0.08,0.0,-0.02
420528,-0.9,1.03,10.72,-0.11,0.02,-0.03
420541,-0.91,1.0,10.68,-0.14,0.04,-0.03
420555,-0.97,0.94,10.59,-0.16,0.03,-0.04
420569,-1.01,0.82,10.58,-0.16,0.02,-0.03
420582,-1.03,0.78,10.53,-0.12,-0.0,-0.02
420596,-1.06,0.82,10.51,-0.07,-0.01,-0.02
420610,-1.02,0.96,10.56,-0.06,-0.02,-0.02
420623,-1.06,1.04,10.68,-0.09,-0.02,-0.02
420637,-0.98,0.97,10.72,-0.12,-0.02,-0.03
420651,-0.91,0.79,10.76,-0.12,-0.0,-0.03
420665,-0.89,0.88,10.74,-0.12,0.01,-0.03
420678,-0.92,0.86,10.69,-0.13,0.01,-0.03
420692,-1.01,0.83,10.68,-0.13,0.0,-0.02
420706,-1.03,0.7,10.74,-0.1,-0.01,-0.01
420719,-0.98,0.78,10.8,-0.08,-0.01,-0.01
420733,-0.92,1.08,10.76,-0.11,0.01,-0.01
420747,-0.95,1.11,10.73,-0.16,0.04,-0.02
420760,-1.02,0.88,10.66,-0.17,0.04,-0.02
420774,-1.03,0.59,10.69,-0.1,0.01,-0.01
420788,-0.99,0.67,10.77,-0.04,-0.01,-0.02
420801,-0.86,1.13,10.73,-0.06,-0.0,-0.02
420815,-0.94,1.11,10.71,-0.14,0.03,-0.01
420829,-1.03,0.88,10.66,-0.17,0.04,-0.02
420842,-1.01,0.78,10.64,-0.15,0.04,-0.02
420856,-0.98,0.91,10.55,-0.12,0.03,-0.03
420870,-0.96,0.96,10.48,-0.13,0.02,-0.04
420883,-1.01,0.75,10.48,-0.11,0.01,-0.03
420897,-1.06,0.63,10.55,-0.06,-0.01,-0.02
420911,-1.06,0.94,10.67,-0.05,-0.03,-0.02
420925,-1.07,1.14,10.79,-0.1,-0.03,-0.03
420938,-1.02,0.99,10.84,-0.13,-0.01,-0.04
420952,-1.0,0.8,10.86,-0.13,0.0,-0.05
420966,-0.97,0.76,10.83,-0.12,0.02,-0.05
