miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
84385,-1.16,0.62,10.45,-0.07,-0.0,-0.02
84399,-1.18,0.84,10.54,-0.07,0.0,-0.03
84413,-1.17,0.91,10.57,-0.1,0.01,-0.03
84426,-1.17,0.8,10.61,-0.12,0.02,-0.03
84440,-1.21,0.74,10.58,-0.12,0.03,-0.03
84454,-1.26,0.68,10.53,-0.11,0.02,-0.02
84467,-1.26,0.71,10.5,-0.11,0.01,-0.02
84481,-1.28,0.77,10.51,-0.12,0.01,-0.01
84495,-1.32,0.63,10.57,-0.1,-0.0,-0.01
84508,-1.29,0.65,10.58,-0.06,-0.01,-0.01
84522,-1.27,0.83,10.57,-0.05,-0.01,-0.0
84536,-1.28,0.84,10.54,-0.07,0.0,-0.0
84549,-1.33,0.8,10.6,-0.09,0.0,-0.0
84563,-1.32,0.77,10.57,-0.09,0.0,-0.0
84577,-1.29,0.88,10.58,-0.1,0.01,-0.0
84590,-1.35,0.92,10.54,-0.12,0.02,-0.01
84604,-1.29,0.86,10.5,-0.14,0.02,-0.01
84618,-1.35,0.77,10.42,-0.13,0.03,-0.01
84631,-1.36,0.73,10.45,-0.09,0.01,-0.01
84645,-1.33,0.94,10.41,-0.09,-0.0,-0.02
84659,-1.23,0.92,10.51,-0.11,-0.01,-0.02
84672,-1.16,0.79,10.53,-0.13,-0.01,-0.02
84686,-1.19,0.79,10.48,-0.11,0.0,-0.02
84700,-1.22,0.78,10.45,-0.1,0.01,-0.03
84713,-1.29,0.75,10.47,-0.08,-0.01,-0.04
84727,-1.26,0.74,10.53,-0.07,-0.04,-0.03
84741,-1.19,0.75,10.56,-0.06,-0.04,-0.03
84754,-1.16,0.74,10.68,-0.07,-0.03,-0.03
84768,-1.08,0.81,10.55,-0.1,-0.01,-0.04
84782,-1.13,0.68,10.55,-0.12,0.0,-0.03
84796,-1.22,0.55,10.6,-0.12,-0.01,-0.01
84809,-1.21,0.66,10.58,-0.11,-0.02,-0.0
84823,-1.26,0.74,10.64,-0.1,-0.03,0.01
84837,-1.29,0.74,10.75,-0.1,-0.03,-0.01
84850,-1.26,0.77,10.75,-0.1,-0.02,-0.01
84864,-1.27,0.74,10.79,-0.09,-0.01,-0.01
84878,-1.23,0.68,10.78,-0.09,-0.01,-0.0
84891,-1.22,0.66,10.76,-0.09,-0.0,0.01
84905,-1.17,0.66,10.71,-0.1,0.01,0.02
84919,-1.14,0.86,10.66,-0.12,0.02,0.03
84932,-1.22,0.86,10.66,-0.13,0.02,0.03
84946,-1.22,0.76,10.62,-0.11,0.02,0.02
84960,-1.26,0.79,10.62,-0.08,0.01,0.02
84973,-1.28,0.95,10.68,-0.08,0.01,0.01
84987,-1.23,0.94,10.72,-0.09,0.0,0.01
85001,-1.16,0.92,10.68,-0.11,0.02,0.01
85014,-1.18,0.92,10.62,-0.12,0.03,0.01
85028,-1.21,0.8,10.62,-0.11,0.04,0.01
85042,-1.19,0.91,10.57,-0.1,0.03,0.0
85055,-1.21,1.09,10.57,-0.11,0.02,0.0
85069,-1.27,0.93,10.62,-0.1,0.01,-0.01
85083,-1.24,0.89,10.64,-0.08,0.01,-0.02
85096,-1.23,0.86,10.69,-0.07,0.02,-0.02
85110,-1.28,1.0,10.69,-0.09,0.03,-0.02
85124,-1.25,1.02,10.67,-0.11,0.04,-0.02
85137,-1.25,0.96,10.67,-0.11,0.04,-0.02
85151,-1.27,0.87,10.62,-0.09,0.04,-0.03
85165,-1.26,0.89,10.53,-0.08,0.04,-0.03
85178,-1.25,0.95,10.52,-0.08,0.03,-0.04
85192,-1.2,0.91,10.48,-0.09,0.03,-0.04
85206,-1.24,0.83,10.49,-0.08,0.03,-0.04
85219,-1.21,0.8,10.47,-0.08,0.02,-0.04
85233,-1.23,0.85,10.4,-0.1,0.03,-0.04
85247,-1.22,0.89,10.45,-0.11,0.02,-0.04
