miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
449611,3.03,-2.17,10.14,-0.12,0.0,-0.02
449624,3.02,-2.23,10.13,-0.11,0.01,-0.02
449638,3.0,-2.22,10.16,-0.1,0.01,-0.02
449652,2.96,-2.16,10.14,-0.1,0.01,-0.02
449665,2.94,-2.15,10.16,-0.1,0.01,-0.02
449679,2.96,-2.15,10.18,-0.12,0.01,-0.02
449693,2.97,-2.21,10.15,-0.12,0.01,-0.02
449706,3.01,-2.26,10.15,-0.11,0.01,-0.02
449720,2.99,-2.2,10.12,-0.1,0.01,-0.02
449734,2.97,-2.1,10.12,-0.1,0.01,-0.02
449748,2.96,-2.12,10.14,-0.11,0.01,-0.01
449762,2.98,-2.18,10.13,-0.12,0.0,-0.01
449775,2.97,-2.19,10.14,-0.13,0.01,-0.02
449789,2.99,-2.21,10.13,-0.13,0.0,-0.02
449803,3.0,-2.26,10.09,-0.11,0.01,-0.02
449816,2.98,-2.26,10.13,-0.1,0.01,-0.02
449830,2.97,-2.21,10.11,-0.1,0.01,-0.02
449844,2.97,-2.19,10.13,-0.1,0.01,-0.02
449857,2.96,-2.16,10.14,-0.09,0.01,-0.02
449871,2.97,-2.15,10.11,-0.1,0.01,-0.02
449885,3.0,-2.16,10.13,-0.1,0.01,-0.02
449898,2.98,-2.15,10.13,-0.11,0.01,-0.02
449912,2.97,-2.18,10.14,-0.11,0.01,-0.02
449926,2.98,-2.19,10.14,-0.11,0.01,-0.01
449939,2.98,-2.22,10.12,-0.11,0.0,-0.01
449953,2.96,-2.21,10.11,-0.11,0.0,-0.02
449967,2.95,-2.21,10.09,-0.1,0.01,-0.02
449980,2.95,-2.21,10.1,-0.1,0.01,-0.02
449994,2.96,-2.2,10.1,-0.1,0.01,-0.02
450008,2.99,-2.16,10.13,-0.1,0.01,-0.02
450021,2.97,-2.17,10.15,-0.1,0.01,-0.02
450035,2.97,-2.17,10.13,-0.1,0.01,-0.02
450049,2.95,-2.21,10.15,-0.11,0.0,-0.02
450062,2.98,-2.23,10.11,-0.11,0.0,-0.02
450076,3.0,-2.2,10.11,-0.11,0.01,-0.02
450090,3.0,-2.23,10.12,-0.1,0.01,-0.02
450103,2.97,-2.2,10.16,-0.09,0.01,-0.02
