miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
113048,9.24,-2.91,3.27,-0.09,0.0,-0.02
113062,9.25,-2.97,3.25,-0.09,0.01,-0.01
113075,9.22,-2.93,3.26,-0.11,0.0,-0.02
113089,9.29,-2.83,3.27,-0.12,-0.0,-0.02
113103,9.31,-2.8,3.26,-0.12,-0.0,-0.01
113117,9.29,-2.84,3.23,-0.11,0.0,-0.02
113130,9.28,-2.82,3.22,-0.1,-0.0,-0.03
113144,9.28,-2.83,3.2,-0.09,0.0,-0.04
113157,9.25,-2.88,3.23,-0.09,0.0,-0.04
113171,9.23,-2.92,3.25,-0.08,-0.01,-0.04
113185,9.27,-2.94,3.26,-0.08,-0.01,-0.03
113199,9.28,-2.94,3.31,-0.09,-0.01,-0.02
113212,9.27,-2.92,3.31,-0.09,-0.01,-0.02
113226,9.27,-2.92,3.3,-0.09,-0.0,-0.02
113240,9.25,-2.92,3.31,-0.09,-0.0,-0.02
113253,9.23,-2.94,3.27,-0.09,-0.0,-0.02
113267,9.26,-2.94,3.24,-0.1,-0.0,-0.01
113281,9.24,-2.95,3.29,-0.1,-0.0,-0.01
113294,9.26,-2.96,3.29,-0.1,-0.0,-0.01
113308,9.24,-2.94,3.27,-0.09,-0.0,-0.01
113322,9.26,-2.91,3.29,-0.09,-0.0,-0.01
113335,9.29,-2.89,3.27,-0.09,-0.0,-0.01
113349,9.3,-2.89,3.25,-0.1,0.0,-0.01
113363,9.31,-2.89,3.19,-0.1,0.0,-0.01
113376,9.3,-2.93,3.18,-0.11,0.01,-0.0
113390,9.29,-2.95,3.22,-0.1,-0.0,-0.0
113404,9.26,-2.92,3.21,-0.1,-0.01,-0.0
113417,9.25,-2.9,3.23,-0.09,-0.01,0.0
113431,9.22,-2.85,3.27,-0.09,-0.01,-0.0
113445,9.19,-2.86,3.3,-0.1,-0.01,-0.01
113458,9.23,-2.84,3.27,-0.1,-0.01,-0.01
113472,9.24,-2.88,3.24,-0.11,-0.0,-0.01
113486,9.28,-2.92,3.24,-0.11,-0.0,-0.02
113499,9.29,-2.9,3.2,-0.11,0.0,-0.02
113513,9.3,-2.91,3.22,-0.1,0.0,-0.01
113527,9.27,-2.97,3.25,-0.1,-0.01,-0.01
113540,9.28,-2.95,3.22,-0.09,-0.01,-0.01
113554,9.26,-2.88,3.25,-0.08,-0.01,-0.02
113568,9.24,-2.85,3.28,-0.09,-0.01,-0.01
113581,9.28,-2.82,3.22,-0.09,-0.01,-0.01
113595,9.27,-2.87,3.19,-0.09,-0.0,-0.01
113609,9.24,-2.94,3.21,-0.08,0.01,-0.02
113622,9.27,-2.92,3.18,-0.07,-0.0,-0.02
113636,9.25,-2.85,3.19,-0.07,-0.0,-0.02
113650,9.28,-2.82,3.22,-0.07,-0.0,-0.02
113663,9.3,-2.87,3.27,-0.08,-0.01,-0.02
113677,9.3,-2.91,3.24,-0.08,-0.0,-0.03
113691,9.3,-2.89,3.21,-0.08,0.01,-0.03
113704,9.25,-2.88,3.27,-0.09,0.01,-0.03
113718,9.27,-2.93,3.22,-0.09,-0.0,-0.02
113732,9.29,-3.0,3.21,-0.07,0.0,-0.02
113745,9.28,-3.0,3.25,-0.07,0.01,-0.02
113759,9.26,-2.95,3.22,-0.07,-0.0,-0.01
113773,9.28,-2.94,3.22,-0.08,-0.0,-0.0
113786,9.27,-2.94,3.22,-0.08,-0.0,0.0
113800,9.26,-2.92,3.23,-0.08,-0.01,0.0
113814,9.26,-2.89,3.21,-0.08,-0.0,-0.01
113827,9.27,-2.85,3.16,-0.09,0.01,-0.01
113841,9.24,-2.88,3.2,-0.1,0.01,-0.01
113855,9.27,-2.89,3.21,-0.1,-0.01,-0.01
113868,9.31,-2.93,3.17,-0.1,-0.01,-0.01
113882,9.32,-2.96,3.19,-0.1,-0.0,-0.01
113896,9.26,-2.97,3.26,-0.08,-0.0,-0.01
113909,9.23,-2.9,3.26,-0.08,-0.01,-0.01
113923,9.26,-2.86,3.31,-0.08,-0.01,-0.01
113937,9.3,-2.85,3.31,-0.08,-0.01,-0.01
113950,9.31,-2.85,3.31,-0.08,0.0,-0.01
113964,9.34,-2.83,3.28,-0.09,0.01,-0.01
113978,9.27,-2.83,3.24,-0.11,0.01,-0.02
113991,9.26,-2.83,3.27,-0.11,0.02,-0.03
114005,9.26,-2.82,3.28,-0.1,0.01,-0.03
114019,9.29,-2.84,3.26,-0.09,0.0,-0.03
114032,9.31,-2.92,3.25,-0.08,0.01,-0.04
114046,9.3,-2.95,3.26,-0.08,0.02,-0.04
114060,9.25,-2.95,3.24,-0.08,0.02,-0.03
114073,9.24,-2.93,3.25,-0.08,0.02,-0.02
114087,9.25,-2.92,3.22,-0.08,0.01,-0.02
114101,9.27,-2.9,3.2,-0.09,0.01,-0.02
114114,9.28,-2.87,3.22,-0.09,0.02,-0.02
114128,9.29,-2.86,3.18,-0.1,0.02,-0.02
114142,9.26,-2.94,3.12,-0.09,0.02,-0.02
114155,9.26,-2.99,3.13,-0.08,0.02,-0.01
114169,9.3,-2.96,3.15,-0.08,0.01,-0.01
114183,9.33,-2.91,3.13,-0.08,0.0,0.0
114197,9.31,-2.86,3.16,-0.09,-0.0,0.01
114210,9.28,-2.86,3.15,-0.09,-0.0,0.01
114224,9.23,-2.86,3.13,-0.09,-0.0,-0.0
114238,9.21,-2.84,3.17,-0.09,-0.0,-0.01
114251,9.24,-2.89,3.15,-0.1,-0.0,-0.02
114265,9.26,-2.93,3.17,-0.1,0.0,-0.02
114279,9.28,-2.94,3.24,-0.11,0.0,-0.01
114292,9.26,-2.97,3.28,-0.12,-0.0,-0.01
114306,9.27,-2.95,3.27,-0.12,-0.0,-0.02
114320,9.25,-2.77,3.22,-0.12,0.0,-0.01
114333,9.24,-2.75,3.31,-0.11,0.0,-0.01
114347,9.25,-2.85,3.3,-0.11,-0.0,-0.01
114361,9.27,-2.94,3.22,-0.11,0.0,-0.02
114374,9.3,-2.93,3.25,-0.1,0.01,-0.02
114388,9.29,-2.94,3.28,-0.1,0.01,-0.01
114402,9.28,-2.98,3.28,-0.09,-0.0,-0.01
114416,9.3,-2.91,3.27,-0.09,0.0,-0.01
114429,9.28,-2.86,3.28,-0.1,0.01,-0.01
114443,9.25,-2.83,3.28,-0.11,0.01,-0.01
114457,9.27,-2.84,3.23,-0.11,0.01,-0.01
114470,9.26,-2.88,3.24,-0.11,0.01,-0.01
114484,9.28,-2.92,3.24,-0.1,0.01,-0.02
114498,9.31,-2.94,3.23,-0.09,0.01,-0.01
114511,9.31,-2.93,3.2,-0.09,0.0,-0.01
114525,9.29,-2.89,3.18,-0.1,0.0,-0.0
114539,9.29,-2.83,3.25,-0.1,0.0,-0.0
114552,9.27,-2.84,3.25,-0.1,0.0,-0.01
114566,9.28,-2.82,3.26,-0.1,0.0,-0.02
114580,9.28,-2.84,3.23,-0.09,0.01,-0.03
114593,9.28,-2.87,3.24,-0.1,0.01,-0.03
114607,9.26,-2.92,3.27,-0.1,0.01,-0.02
114621,9.23,-2.93,3.28,-0.1,0.01,-0.02
114634,9.26,-2.9,3.28,-0.11,0.01,-0.02
114648,9.22,-2.84,3.28,-0.11,0.01,-0.03
114662,9.21,-2.84,3.27,-0.11,0.02,-0.04
114675,9.22,-2.84,3.26,-0.1,0.02,-0.04
114689,9.22,-2.87,3.22,-0.1,0.03,-0.05
114703,9.23,-2.87,3.19,-0.1,0.03,-0.06
114716,9.25,-2.92,3.14,-0.11,0.03,-0.06
114730,9.24,-3.04,3.11,-0.1,0.03,-0.05
114744,9.21,-3.07,3.1,-0.09,0.02,-0.05
114757,9.18,-3.01,3.14,-0.08,0.01,-0.05
114771,9.23,-2.96,3.12,-0.08,-0.0,-0.04
114785,9.27,-2.94,3.12,-0.1,0.0,-0.03
114798,9.31,-2.93,3.1,-0.1,0.01,-0.03
114812,9.33,-2.97,3.08,-0.1,-0.0,-0.03
114826,9.36,-3.02,3.07,-0.1,-0.01,-0.02
114839,9.36,-3.07,3.06,-0.08,-0.01,-0.01
114853,9.34,-3.07,3.14,-0.08,-0.02,0.0
114867,9.3,-3.02,3.21,-0.08,-0.03,0.02
114880,9.29,-2.95,3.29,-0.1,-0.04,0.03
114894,9.28,-2.87,3.29,-0.11,-0.03,0.03
114908,9.26,-2.85,3.29,-0.11,-0.01,0.02
114922,9.26,-2.86,3.36,-0.1,-0.01,0.02
114935,9.24,-2.87,3.31,-0.1,-0.01,0.02
114949,9.3,-2.84,3.3,-0.1,-0.01,0.02
114963,9.32,-2.83,3.31,-0.1,-0.01,0.02
114976,9.32,-2.82,3.34,-0.1,-0.0,0.02
114990,9.29,-2.78,3.33,-0.1,0.0,0.0
115004,9.28,-2.7,3.29,-0.1,0.0,-0.01
115017,9.27,-2.68,3.3,-0.09,0.01,-0.01
115031,9.31,-2.74,3.27,-0.09,0.01,-0.03
115045,9.31,-2.77,3.2,-0.09,0.01,-0.04
115058,9.28,-2.83,3.2,-0.09,0.02,-0.04
115072,9.25,-2.87,3.23,-0.08,0.01,-0.04
115086,9.29,-2.87,3.24,-0.08,0.01,-0.04
115099,9.28,-2.84,3.22,-0.09,0.01,-0.04
115113,9.23,-2.83,3.29,-0.09,0.01,-0.04
115127,9.23,-2.82,3.28,-0.1,0.01,-0.04
115140,9.28,-2.87,3.22,-0.1,0.02,-0.05
115154,9.29,-2.89,3.21,-0.1,0.03,-0.06
115168,9.3,-2.94,3.19,-0.1,0.03,-0.05
115181,9.32,-2.99,3.18,-0.11,0.02,-0.04
115195,9.3,-2.98,3.16,-0.11,0.01,-0.03
115209,9.31,-2.97,3.21,-0.11,0.01,-0.03
115222,9.26,-2.95,3.22,-0.1,0.01,-0.02
115236,9.24,-2.91,3.2,-0.1,0.01,-0.02
115250,9.24,-2.88,3.19,-0.11,0.01,-0.02
115263,9.25,-2.89,3.16,-0.11,0.01,-0.02
115277,9.28,-2.94,3.16,-0.1,0.01,-0.01
115291,9.28,-2.99,3.18,-0.09,0.01,-0.01
115304,9.29,-2.96,3.2,-0.09,-0.0,-0.0
115318,9.31,-2.91,3.19,-0.09,-0.01,0.0
115332,9.29,-2.87,3.24,-0.1,-0.01,0.01
115345,9.27,-2.87,3.24,-0.1,-0.0,0.0
115359,9.25,-2.85,3.24,-0.1,0.0,0.0
115373,9.22,-2.86,3.22,-0.1,0.0,-0.0
115386,9.28,-2.81,3.2,-0.1,0.0,-0.01
115400,9.3,-2.81,3.26,-0.1,-0.0,-0.01
115414,9.28,-2.85,3.25,-0.1,0.0,-0.01
115427,9.29,-2.86,3.25,-0.09,0.0,-0.02
115441,9.28,-2.87,3.26,-0.09,0.0,-0.02
115455,9.25,-2.85,3.26,-0.08,0.0,-0.03
115468,9.26,-2.81,3.28,-0.09,0.0,-0.03
115482,9.26,-2.82,3.27,-0.1,0.0,-0.03
115496,9.28,-2.87,3.26,-0.1,0.01,-0.03
115509,9.27,-2.91,3.26,-0.09,0.01,-0.03
115523,9.3,-2.92,3.24,-0.09,0.01,-0.04
