miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2655998,-1.05,1.88,10.63,-0.1,0.01,-0.03
2656012,-1.05,1.78,10.6,-0.12,0.03,-0.03
2656025,-1.05,1.57,10.56,-0.11,0.02,-0.03
2656039,-1.08,1.57,10.53,-0.08,0.01,-0.02
2656053,-1.06,1.81,10.48,-0.08,-0.0,-0.0
2656067,-1.14,1.92,10.5,-0.11,-0.0,-0.01
2656080,-1.2,1.73,10.61,-0.1,-0.01,-0.02
2656094,-1.19,1.67,10.58,-0.07,-0.01,-0.04
2656108,-1.13,1.8,10.61,-0.07,0.01,-0.03
2656121,-1.19,1.83,10.55,-0.1,0.03,-0.02
2656135,-1.17,1.73,10.45,-0.11,0.03,-0.01
2656149,-1.2,1.73,10.43,-0.08,0.02,-0.03
2656162,-1.17,1.77,10.47,-0.06,-0.01,-0.03
2656176,-1.07,1.84,10.49,-0.08,-0.01,-0.03
2656190,-1.07,1.7,10.6,-0.08,-0.01,-0.02
2656203,-1.09,1.7,10.66,-0.08,-0.0,-0.03
2656217,-1.07,1.76,10.65,-0.08,0.01,-0.02
2656231,-1.13,1.78,10.59,-0.1,0.03,-0.02
2656244,-1.14,1.82,10.51,-0.12,0.03,-0.02
2656258,-1.14,1.7,10.4,-0.11,0.02,-0.02
2656272,-1.15,1.63,10.4,-0.08,0.01,-0.02
2656285,-1.09,1.75,10.47,-0.07,-0.01,-0.02
2656299,-0.96,1.84,10.53,-0.09,-0.02,-0.01
2656313,-0.96,1.74,10.52,-0.11,-0.02,-0.01
2656326,-1.07,1.82,10.47,-0.12,-0.0,-0.0
2656340,-1.22,1.87,10.44,-0.12,-0.01,-0.0
2656354,-1.2,1.89,10.43,-0.11,-0.02,-0.01
2656368,-1.21,1.9,10.49,-0.07,-0.03,-0.02
2656382,-1.2,2.01,10.53,-0.05,-0.03,-0.03
2656395,-1.1,1.97,10.55,-0.05,-0.03,-0.05
2656409,-1.01,1.92,10.42,-0.08,-0.02,-0.06
2656423,-1.09,1.85,10.42,-0.09,-0.01,-0.05
2656436,-1.14,1.76,10.44,-0.09,-0.01,-0.04
2656450,-1.13,1.78,10.39,-0.09,-0.02,-0.03
2656464,-1.11,1.76,10.39,-0.08,-0.03,-0.03
2656477,-1.12,1.73,10.46,-0.06,-0.03,-0.02
2656491,-1.1,1.75,10.55,-0.04,-0.03,-0.02
2656505,-1.05,1.94,10.57,-0.07,-0.02,-0.01
2656518,-1.11,1.9,10.59,-0.12,0.0,-0.02
2656532,-1.1,1.71,10.54,-0.14,0.01,-0.03
2656546,-1.08,1.53,10.5,-0.1,0.0,-0.02
2656560,-1.05,1.66,10.5,-0.06,-0.01,-0.0
2656573,-1.01,1.93,10.53,-0.07,-0.01,0.02
2656587,-1.05,1.85,10.57,-0.08,-0.02,0.01
2656601,-1.01,1.9,10.6,-0.08,-0.02,-0.02
2656614,-1.02,1.87,10.69,-0.09,-0.01,-0.02
2656628,-0.99,1.84,10.74,-0.11,-0.01,-0.02
2656642,-0.97,1.85,10.77,-0.13,0.0,-0.0
2656655,-1.04,1.86,10.8,-0.11,0.02,-0.01
2656669,-1.05,1.87,10.71,-0.11,0.02,-0.03
2656683,-1.08,1.91,10.74,-0.12,0.02,-0.03
2656696,-1.1,1.87,10.74,-0.11,0.03,-0.01
2656710,-1.05,1.74,10.75,-0.09,0.04,-0.01
2656724,-1.05,1.91,10.67,-0.07,0.06,-0.01
2656737,-1.09,1.98,10.53,-0.08,0.07,-0.0
2656751,-1.13,1.98,10.47,-0.09,0.07,-0.01
2656765,-1.18,1.86,10.51,-0.08,0.05,-0.02
2656778,-1.13,1.92,10.5,-0.07,0.04,-0.04
2656792,-1.03,1.94,10.55,-0.1,0.04,-0.02
2656806,-1.04,1.78,10.48,-0.13,0.05,-0.01
2656819,-1.06,1.88,10.38,-0.15,0.06,0.0
2656833,-1.14,1.96,10.31,-0.16,0.06,0.0
2656846,-1.22,1.84,10.34,-0.13,0.04,-0.01
2656860,-1.17,1.78,10.38,-0.1,0.0,-0.03
2656873,-1.15,1.88,10.45,-0.09,-0.0,-0.02
2656887,-1.09,1.86,10.5,-0.11,0.01,0.0
2656901,-1.06,1.94,10.48,-0.12,0.03,-0.0
2656914,-1.12,1.92,10.52,-0.12,0.04,-0.02
2656928,-1.17,1.86,10.49,-0.12,0.03,-0.03
2656942,-1.15,1.85,10.45,-0.13,0.02,-0.03
2656955,-1.13,1.82,10.48,-0.13,0.02,-0.02
2656969,-1.13,1.79,10.51,-0.12,0.02,-0.01
2656983,-1.13,1.78,10.54,-0.09,0.02,-0.02
2656996,-1.12,1.85,10.5,-0.08,0.02,-0.02
2657010,-1.16,1.87,10.53,-0.09,0.02,-0.01
2657024,-1.13,1.88,10.48,-0.09,0.03,-0.0
2657037,-1.15,1.89,10.46,-0.1,0.03,-0.01
2657051,-1.19,1.96,10.43,-0.11,0.03,-0.01
2657065,-1.23,1.92,10.39,-0.12,0.03,-0.02
2657078,-1.14,1.82,10.42,-0.1,0.02,-0.02
2657092,-1.11,1.81,10.4,-0.08,0.01,-0.02
2657106,-1.09,1.8,10.4,-0.06,0.01,-0.01
2657119,-1.16,1.8,10.51,-0.05,0.0,-0.0
2657133,-1.14,1.94,10.56,-0.07,0.0,0.0
2657147,-1.19,1.93,10.55,-0.09,0.01,0.0
