miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2460774,-1.84,1.3,10.29,-0.09,0.04,-0.02
2460787,-1.79,1.49,10.15,-0.11,0.04,-0.01
2460801,-1.81,1.69,10.16,-0.16,0.03,0.01
2460815,-1.85,1.39,10.28,-0.14,-0.0,0.0
2460829,-1.77,1.33,10.3,-0.07,-0.03,-0.02
2460842,-1.8,1.47,10.44,-0.02,-0.03,-0.03
2460856,-1.8,1.58,10.47,-0.06,-0.01,-0.04
2460870,-1.82,1.61,10.47,-0.13,0.01,-0.03
2460883,-1.85,1.35,10.49,-0.14,0.01,-0.01
2460897,-1.84,1.33,10.43,-0.1,0.01,-0.01
2460911,-1.86,1.57,10.44,-0.08,0.01,-0.02
2460924,-1.84,1.67,10.38,-0.09,0.01,-0.02
2460938,-1.88,1.56,10.46,-0.1,0.01,-0.02
2460952,-1.86,1.52,10.55,-0.08,-0.01,-0.02
2460965,-1.78,1.62,10.59,-0.07,-0.01,-0.03
2460979,-1.78,1.69,10.62,-0.09,0.01,-0.04
2460993,-1.84,1.53,10.71,-0.1,0.02,-0.04
2461006,-1.92,1.39,10.6,-0.09,0.02,-0.05
2461020,-1.87,1.39,10.6,-0.06,0.03,-0.04
2461034,-1.85,1.46,10.57,-0.06,0.03,-0.05
2461047,-1.86,1.49,10.56,-0.07,0.04,-0.04
2461061,-1.84,1.28,10.6,-0.07,0.04,-0.03
2461075,-1.82,1.32,10.53,-0.07,0.04,-0.03
2461088,-1.86,1.41,10.52,-0.07,0.05,-0.01
2461102,-1.95,1.31,10.49,-0.09,0.05,-0.0
2461116,-1.86,1.45,10.43,-0.1,0.04,-0.0
2461130,-1.91,1.43,10.38,-0.1,0.05,-0.01
2461143,-1.93,1.32,10.31,-0.11,0.05,-0.01
2461157,-1.92,1.33,10.33,-0.11,0.05,0.0
2461171,-1.89,1.37,10.32,-0.11,0.04,0.02
2461184,-1.89,1.58,10.27,-0.15,0.05,0.03
2461198,-1.93,1.57,10.3,-0.18,0.05,0.02
2461212,-1.96,1.6,10.21,-0.19,0.03,-0.0
