miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2679434,9.5,-0.7,3.59,-0.1,0.01,-0.01
2679447,9.48,-0.71,3.6,-0.1,0.01,-0.01
2679461,9.55,-0.65,3.57,-0.11,0.01,-0.02
2679475,9.58,-0.65,3.61,-0.11,0.01,-0.02
2679488,9.63,-0.65,3.56,-0.11,0.01,-0.03
2679502,9.6,-0.67,3.52,-0.11,0.01,-0.03
2679516,9.58,-0.79,3.53,-0.1,0.0,-0.03
2679529,9.55,-0.79,3.56,-0.09,-0.01,-0.03
2679543,9.55,-0.73,3.61,-0.09,-0.01,-0.01
2679556,9.57,-0.71,3.62,-0.09,-0.02,-0.02
2679569,9.58,-0.66,3.63,-0.1,-0.01,-0.03
2679583,9.57,-0.75,3.67,-0.1,0.0,-0.03
2679597,9.53,-0.84,3.64,-0.1,0.0,-0.03
2679610,9.54,-0.85,3.65,-0.1,-0.0,-0.02
2679624,9.54,-0.81,3.63,-0.1,-0.0,-0.01
2679638,9.6,-0.78,3.65,-0.1,-0.01,-0.01
2679652,9.62,-0.71,3.64,-0.1,-0.01,-0.01
2679665,9.6,-0.65,3.66,-0.1,-0.0,-0.01
2679679,9.58,-0.68,3.64,-0.1,-0.0,-0.02
2679693,9.59,-0.79,3.65,-0.1,-0.0,-0.02
2679706,9.58,-0.82,3.65,-0.09,-0.0,-0.01
2679720,9.54,-0.79,3.64,-0.1,-0.0,0.01
2679734,9.58,-0.75,3.66,-0.11,-0.0,0.01
2679747,9.56,-0.64,3.64,-0.11,-0.0,0.0
2679761,9.56,-0.55,3.62,-0.11,0.0,-0.01
2679775,9.61,-0.61,3.6,-0.11,0.01,-0.02
2679788,9.64,-0.74,3.62,-0.1,0.01,-0.02
2679802,9.63,-0.82,3.61,-0.1,0.01,-0.01
2679816,9.6,-0.78,3.62,-0.1,0.0,-0.0
2679829,9.59,-0.68,3.59,-0.1,0.0,0.0
2679843,9.57,-0.63,3.62,-0.11,0.01,-0.0
2679857,9.52,-0.6,3.6,-0.11,0.01,-0.01
2679870,9.52,-0.62,3.58,-0.12,0.01,-0.02
2679884,9.54,-0.67,3.54,-0.11,0.02,-0.02
2679898,9.59,-0.77,3.56,-0.1,0.01,-0.02
2679911,9.56,-0.71,3.54,-0.09,0.01,-0.02
2679925,9.52,-0.61,3.56,-0.08,0.01,-0.02
2679939,9.53,-0.62,3.57,-0.07,0.01,-0.03
2679952,9.55,-0.67,3.55,-0.04,0.01,-0.05
2679966,9.6,-0.66,3.61,-0.03,0.02,-0.06
2679980,9.57,-0.57,3.66,-0.03,0.02,-0.06
2679994,9.66,-0.76,3.71,-0.05,0.02,-0.07
2680007,9.71,-0.84,3.68,-0.08,0.02,-0.07
2680021,9.65,-0.83,3.64,-0.11,0.02,-0.03
2680035,9.61,-0.83,3.58,-0.13,0.01,-0.0
2680049,9.55,-0.81,3.61,-0.11,0.0,0.01
2680062,9.56,-0.68,3.61,-0.07,-0.0,-0.0
2680076,9.53,-0.51,3.66,-0.05,0.01,-0.02
2680090,9.56,-0.42,3.64,-0.07,0.01,-0.03
2680103,9.57,-0.51,3.65,-0.1,0.02,-0.03
2680117,9.6,-0.73,3.63,-0.11,0.02,-0.04
2680131,9.61,-0.83,3.55,-0.11,0.02,-0.02
2680144,9.57,-0.76,3.54,-0.1,0.02,-0.01
2680158,9.54,-0.65,3.54,-0.1,0.01,-0.0
2680172,9.56,-0.63,3.58,-0.09,0.0,-0.01
2680185,9.58,-0.62,3.62,-0.08,0.01,-0.03
2680199,9.58,-0.63,3.64,-0.1,0.02,-0.04
2680213,9.58,-0.65,3.61,-0.12,0.02,-0.03
2680226,9.57,-0.76,3.56,-0.13,0.02,-0.02
2680240,9.57,-0.83,3.54,-0.1,0.01,-0.01
2680254,9.53,-0.73,3.58,-0.09,0.0,-0.01
2680267,9.55,-0.59,3.61,-0.1,0.0,-0.01
2680281,9.61,-0.63,3.62,-0.12,-0.0,-0.01
2680295,9.61,-0.67,3.61,-0.13,0.0,-0.02
2680308,9.62,-0.77,3.59,-0.12,0.0,-0.01
2680322,9.59,-0.74,3.6,-0.11,-0.01,-0.01
2680336,9.61,-0.7,3.59,-0.12,-0.01,0.0
2680349,9.63,-0.75,3.62,-0.13,-0.02,0.01
2680363,9.6,-0.74,3.6,-0.13,-0.02,0.01
2680377,9.56,-0.66,3.63,-0.12,-0.02,0.01
