miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2485441,9.42,-0.88,4.27,-0.11,-0.01,-0.0
2485455,9.42,-0.88,4.3,-0.1,0.0,-0.01
2485468,9.45,-0.84,4.29,-0.09,-0.0,-0.01
2485482,9.41,-0.74,4.22,-0.11,0.0,-0.01
2485496,9.37,-0.63,4.23,-0.13,0.01,-0.01
2485510,9.35,-0.69,4.23,-0.12,0.01,-0.01
2485523,9.41,-0.87,4.19,-0.1,0.01,-0.01
2485537,9.42,-0.85,4.19,-0.09,0.01,-0.03
2485551,9.4,-0.68,4.15,-0.1,0.0,-0.03
2485564,9.4,-0.71,4.17,-0.11,0.0,-0.01
2485578,9.38,-0.82,4.24,-0.11,0.01,-0.01
2485592,9.33,-0.75,4.25,-0.11,0.0,-0.03
2485605,9.32,-0.68,4.22,-0.1,-0.0,-0.03
2485619,9.35,-0.81,4.25,-0.09,0.01,-0.02
2485633,9.36,-0.87,4.23,-0.1,0.01,-0.03
2485646,9.37,-0.78,4.2,-0.11,0.01,-0.03
2485660,9.36,-0.74,4.14,-0.12,0.0,-0.02
2485674,9.36,-0.84,4.14,-0.11,0.01,-0.01
2485687,9.38,-0.95,4.19,-0.1,0.0,-0.02
2485701,9.38,-0.86,4.18,-0.1,-0.0,-0.03
2485715,9.39,-0.71,4.13,-0.11,-0.0,-0.03
2485728,9.41,-0.78,4.15,-0.11,0.0,-0.01
2485742,9.41,-0.96,4.13,-0.1,0.0,-0.0
2485756,9.41,-0.93,4.15,-0.08,-0.0,-0.02
2485769,9.39,-0.79,4.15,-0.09,-0.01,-0.02
2485783,9.37,-0.68,4.12,-0.12,-0.01,-0.01
2485797,9.34,-0.7,4.13,-0.13,-0.0,0.0
2485810,9.34,-0.82,4.23,-0.12,-0.01,-0.01
2485824,9.43,-0.88,4.27,-0.1,-0.02,-0.03
2485838,9.41,-0.92,4.27,-0.08,-0.01,-0.03
2485851,9.45,-0.87,4.3,-0.1,-0.0,-0.02
2485865,9.39,-0.85,4.25,-0.12,0.01,0.01
2485879,9.36,-0.8,4.22,-0.13,0.01,0.02
2485892,9.31,-0.68,4.16,-0.13,0.0,-0.0
2485906,9.29,-0.6,4.15,-0.11,-0.0,-0.03
2485920,9.34,-0.64,4.17,-0.09,-0.0,-0.03
2485933,9.42,-0.86,4.2,-0.08,-0.0,-0.02
2485947,9.47,-0.93,4.23,-0.08,-0.01,-0.02
2485961,9.45,-0.8,4.22,-0.09,0.0,-0.02
2485974,9.41,-0.64,4.2,-0.11,0.01,-0.01
2485988,9.39,-0.66,4.17,-0.11,0.01,-0.01
2486002,9.34,-0.73,4.15,-0.12,0.0,-0.03
2486015,9.36,-0.8,4.12,-0.11,0.0,-0.03
2486029,9.39,-0.81,4.16,-0.1,-0.0,-0.03
2486043,9.4,-0.81,4.16,-0.1,0.0,-0.03
2486056,9.46,-0.84,4.18,-0.1,0.0,-0.03
2486070,9.41,-0.86,4.18,-0.1,0.0,-0.02
2486084,9.38,-0.84,4.15,-0.1,0.01,-0.02
2486097,9.33,-0.76,4.17,-0.1,0.0,-0.02
2486111,9.35,-0.72,4.22,-0.1,-0.0,-0.03
2486125,9.34,-0.81,4.21,-0.1,0.0,-0.02
2486138,9.4,-0.83,4.19,-0.11,0.0,-0.02
2486152,9.44,-0.9,4.12,-0.11,0.01,-0.01
2486166,9.48,-0.88,4.13,-0.11,0.01,-0.0
2486179,9.44,-0.71,4.04,-0.12,0.0,-0.02
2486193,9.39,-0.59,4.08,-0.12,0.0,-0.03
2486207,9.42,-0.74,4.14,-0.11,-0.01,-0.02
2486220,9.46,-0.96,4.14,-0.09,-0.01,-0.02
2486234,9.45,-0.96,4.2,-0.09,-0.0,-0.02
2486248,9.39,-0.81,4.19,-0.1,0.0,-0.01
2486262,9.35,-0.73,4.17,-0.12,0.0,0.01
2486275,9.32,-0.65,4.1,-0.13,0.0,0.0
2486289,9.34,-0.72,4.11,-0.12,0.0,-0.01
2486303,9.35,-0.79,4.06,-0.11,-0.0,-0.02
2486316,9.37,-0.82,4.1,-0.1,0.0,-0.03
2486330,9.41,-0.81,4.16,-0.1,-0.0,-0.02
2486344,9.45,-0.82,4.15,-0.11,-0.01,-0.02
2486357,9.43,-0.78,4.14,-0.12,-0.0,-0.02
2486371,9.39,-0.84,4.14,-0.11,0.0,-0.01
2486385,9.41,-0.82,4.23,-0.1,-0.01,-0.02
2486398,9.42,-0.83,4.21,-0.09,-0.01,-0.02
2486412,9.44,-0.75,4.17,-0.1,-0.0,-0.02
2486426,9.43,-0.68,4.2,-0.11,0.0,-0.02
2486439,9.41,-0.77,4.13,-0.11,0.0,-0.01
2486453,9.42,-0.81,4.15,-0.1,0.0,-0.02
2486467,9.4,-0.8,4.2,-0.1,0.0,-0.03
2486480,9.41,-0.76,4.18,-0.1,-0.01,-0.03
2486494,9.39,-0.73,4.24,-0.1,0.0,-0.02
2486508,9.42,-0.76,4.28,-0.11,0.01,-0.02
2486521,9.43,-0.79,4.27,-0.12,0.01,-0.02
2486535,9.41,-0.83,4.21,-0.12,0.01,-0.02
2486549,9.39,-0.81,4.14,-0.12,0.01,-0.03
2486562,9.41,-0.9,4.13,-0.09,0.01,-0.01
2486576,9.41,-0.89,4.14,-0.08,0.01,-0.02
2486590,9.4,-0.81,4.14,-0.08,0.01,-0.03
2486603,9.43,-0.68,4.16,-0.11,0.01,-0.03
2486617,9.4,-0.74,4.12,-0.12,0.01,-0.01
2486631,9.4,-0.96,4.13,-0.11,0.01,-0.01
2486645,9.4,-0.96,4.14,-0.11,0.01,-0.02
2486658,9.38,-0.76,4.1,-0.12,0.01,-0.03
2486672,9.37,-0.7,4.07,-0.11,0.01,-0.01
2486686,9.41,-0.85,4.08,-0.09,0.0,0.0
2486699,9.36,-0.82,4.05,-0.09,0.0,-0.02
2486713,9.35,-0.71,4.09,-0.09,-0.0,-0.03
2486727,9.41,-0.75,4.12,-0.09,-0.01,-0.02
2486741,9.41,-0.84,4.16,-0.1,-0.0,-0.01
2486754,9.42,-0.85,4.2,-0.11,0.0,-0.01
2486768,9.4,-0.79,4.14,-0.11,-0.01,-0.01
2486782,9.39,-0.79,4.14,-0.1,0.0,-0.0
2486795,9.39,-0.78,4.21,-0.09,0.0,-0.02
2486809,9.41,-0.76,4.12,-0.09,-0.0,-0.02
2486823,9.43,-0.73,4.13,-0.1,-0.0,-0.02
2486836,9.39,-0.75,4.13,-0.1,0.0,-0.01
2486850,9.42,-0.85,4.19,-0.1,0.0,0.0
2486864,9.41,-0.84,4.21,-0.1,-0.0,-0.01
2486877,9.42,-0.72,4.2,-0.1,0.01,-0.02
2486891,9.39,-0.65,4.2,-0.11,0.01,-0.01
2486905,9.39,-0.66,4.19,-0.12,0.01,-0.01
2486918,9.45,-0.82,4.18,-0.12,0.01,-0.01
2486932,9.46,-0.9,4.18,-0.1,0.01,-0.02
2486946,9.41,-0.85,4.14,-0.1,0.01,-0.01
2486959,9.4,-0.71,4.15,-0.11,0.01,-0.02
2486973,9.37,-0.62,4.12,-0.12,0.01,-0.01
2486987,9.34,-0.71,4.11,-0.12,0.01,-0.01
2487000,9.35,-0.75,4.13,-0.12,0.01,-0.03
2487014,9.39,-0.78,4.09,-0.12,0.0,-0.03
2487028,9.46,-0.73,4.02,-0.14,0.0,-0.03
2487041,9.5,-0.73,4.06,-0.17,0.0,-0.02
2487055,9.49,-0.72,4.07,-0.2,-0.0,-0.02
2487069,9.45,-0.71,4.03,-0.23,-0.01,-0.03
2487082,9.43,-0.75,4.03,-0.22,-0.01,-0.02
2487096,9.43,-0.97,4.12,-0.15,-0.01,-0.02
2487110,9.44,-1.18,4.18,-0.07,-0.01,-0.03
2487123,9.43,-1.03,4.3,-0.04,-0.0,-0.06
2487137,9.36,-0.64,4.24,-0.1,-0.0,-0.05
2487151,9.35,-0.6,4.2,-0.16,0.01,0.01
2487164,9.36,-0.88,4.21,-0.17,0.02,0.03
2487178,9.37,-0.98,4.17,-0.15,0.01,-0.01
2487192,9.35,-0.86,4.09,-0.11,0.0,-0.04
2487205,9.39,-0.82,4.09,-0.07,0.0,-0.02
2487219,9.43,-0.89,4.16,-0.07,0.01,-0.02
2487233,9.44,-0.91,4.17,-0.09,0.01,-0.02
2487246,9.42,-0.86,4.16,-0.11,0.01,-0.01
2487260,9.37,-0.81,4.13,-0.12,0.02,-0.01
2487274,9.36,-0.74,4.15,-0.13,0.01,-0.02
2487287,9.34,-0.74,4.08,-0.12,0.01,-0.02
2487301,9.39,-0.81,4.05,-0.1,0.01,-0.02
2487315,9.38,-0.81,4.06,-0.09,0.0,-0.03
2487328,9.43,-0.79,4.06,-0.1,-0.0,-0.03
2487343,9.43,-0.82,4.08,-0.1,-0.0,-0.02
2487356,9.44,-0.87,4.13,-0.1,0.0,-0.01
2487370,9.39,-0.81,4.16,-0.12,0.0,-0.02
2487384,9.36,-0.74,4.12,-0.13,0.01,-0.02
2487397,9.39,-0.8,4.14,-0.11,0.0,-0.01
2487411,9.38,-0.84,4.13,-0.09,0.0,-0.02
2487425,9.38,-0.8,4.14,-0.08,-0.0,-0.03
2487438,9.38,-0.78,4.13,-0.08,-0.0,-0.03
2487452,9.42,-0.81,4.17,-0.09,0.01,-0.01
2487466,9.43,-0.87,4.17,-0.1,0.0,-0.01
2487479,9.44,-0.77,4.13,-0.11,-0.0,-0.01
2487493,9.42,-0.69,4.1,-0.1,-0.0,-0.01
2487507,9.4,-0.81,4.18,-0.07,0.01,-0.01
2487520,9.41,-0.91,4.18,-0.05,-0.0,-0.03
2487534,9.38,-0.76,4.18,-0.05,-0.0,-0.04
2487548,9.44,-0.65,4.21,-0.07,-0.0,-0.02
2487561,9.41,-0.72,4.24,-0.1,0.0,-0.01
2487575,9.38,-0.74,4.23,-0.12,0.02,-0.03
2487589,9.34,-0.68,4.22,-0.12,0.01,-0.04
2487602,9.37,-0.74,4.23,-0.09,0.01,-0.03
2487616,9.46,-0.87,4.21,-0.08,0.01,-0.03
2487630,9.45,-0.89,4.19,-0.07,0.01,-0.04
2487643,9.42,-0.79,4.19,-0.08,0.02,-0.03
2487657,9.43,-0.73,4.23,-0.09,0.02,-0.02
