miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
804200.0,1.19,6.48,-6.97,0.49,-0.16,0.04
804210.0,1.18,6.07,-7.18,1.19,-0.31,0.18
804220.0,0.94,5.03,-7.51,1.38,-0.38,0.15
804230.0,0.81,4.27,-7.97,1.03,-0.12,0.0
804240.0,0.86,3.95,-8.14,0.53,0.04,0.05
804250.0,0.8,3.78,-8.21,-0.02,-0.01,0.03
804260.0,0.87,4.12,-8.15,-0.39,0.12,-0.01
804270.0,1.0,4.4,-8.04,-1.12,0.29,-0.13
804280.0,1.11,5.37,-7.72,-0.75,0.14,-0.13
804290.0,1.1,4.9,-7.73,-0.99,0.3,-0.14
804300.0,1.27,5.97,-7.28,-1.03,0.21,-0.15
804310.0,1.21,6.0,-7.03,-0.83,0.04,-0.12
804320.0,1.22,6.37,-6.85,-0.42,-0.05,-0.07
804330.0,1.14,6.15,-6.82,-0.18,-0.04,-0.0
804340.0,1.26,6.42,-7.1,0.29,-0.07,0.06
804350.0,1.27,6.28,-7.38,0.88,-0.25,0.17
804360.0,1.05,5.46,-7.66,1.37,-0.28,0.17
804370.0,1.08,4.26,-7.99,0.84,-0.08,0.09
804380.0,1.08,4.61,-7.91,0.04,-0.01,-0.02
804390.0,0.8,4.27,-7.71,-0.31,0.02,-0.09
804400.0,0.98,4.88,-7.48,-0.95,0.26,-0.1
804410.0,1.12,5.23,-7.26,-1.2,0.23,-0.19
804420.0,1.2,5.93,-7.02,-1.49,0.25,-0.22
804430.0,1.08,6.56,-6.8,-0.89,0.16,-0.11
804440.0,1.36,6.73,-6.82,-0.34,0.04,0.09
804450.0,1.46,6.77,-6.9,-0.06,-0.12,0.06
804460.0,1.25,6.73,-6.9,0.36,-0.15,0.02
804470.0,1.16,6.39,-7.05,0.73,-0.17,0.08
804480.0,1.1,5.68,-7.24,1.08,-0.22,0.11
804490.0,1.04,4.91,-7.64,0.44,-0.02,0.1
804500.0,1.13,5.25,-7.73,0.22,0.04,0.04
804510.0,1.09,4.81,-7.73,0.19,0.13,0.01
804520.0,1.39,4.72,-7.63,-0.2,0.1,-0.02
804530.0,1.17,4.8,-7.25,-1.1,-0.05,-0.12
804540.0,1.25,6.26,-6.72,-1.65,0.21,-0.23
804550.0,1.21,7.04,-6.66,-0.8,0.09,-0.15
804560.0,1.08,6.62,-6.62,-0.28,0.04,-0.05
804570.0,1.16,6.74,-6.61,-0.12,0.05,0.02
804580.0,1.28,6.82,-6.71,0.24,-0.07,0.01
804590.0,1.28,6.5,-6.83,0.69,-0.13,0.07
804600.0,1.29,5.94,-7.21,1.15,-0.19,0.11
804610.0,1.17,4.84,-7.65,0.97,-0.13,0.09
804620.0,1.11,4.82,-7.75,0.45,0.01,0.02
804630.0,1.05,4.15,-7.95,0.13,0.05,-0.05
804640.0,1.01,4.43,-7.84,-0.41,0.01,-0.02
804650.0,1.05,4.74,-7.69,-1.16,0.17,-0.12
804660.0,1.39,5.99,-7.0,-1.87,0.2,-0.19
804670.0,1.23,6.74,-6.55,-1.07,0.0,-0.12
804680.0,1.16,6.85,-6.19,-0.7,0.06,-0.03
804690.0,1.18,7.27,-6.33,-0.09,0.03,0.05
804700.0,1.21,6.78,-6.64,0.11,-0.06,-0.03
804710.0,1.2,6.43,-6.79,0.28,-0.01,0.02
804720.0,1.18,6.42,-6.84,0.31,0.03,0.02
804730.0,1.27,6.46,-6.92,0.76,0.01,0.08
804740.0,1.42,5.91,-7.21,1.41,-0.22,0.15
804750.0,0.93,4.44,-7.75,1.34,-0.27,0.13
804760.0,0.98,4.0,-7.95,-0.16,0.17,-0.03
804770.0,1.31,5.02,-7.76,-0.52,0.13,-0.03
804780.0,1.18,5.06,-7.43,-1.17,0.12,-0.11
804790.0,1.33,5.98,-6.93,-1.34,0.21,-0.21
804800.0,1.29,6.19,-6.59,-1.4,0.16,-0.24
