miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
339570.0,1.69,5.6,-6.98,2.0,-0.16,0.37
339580.0,1.42,3.22,-7.95,2.29,-0.26,0.32
339590.0,1.59,2.17,-8.86,-0.67,0.08,-0.04
339600.0,1.83,4.69,-8.31,-1.46,0.2,-0.24
339610.0,2.02,4.75,-8.27,-1.26,0.19,-0.11
339620.0,2.08,5.8,-7.8,-1.32,-0.02,-0.19
339630.0,1.84,5.74,-7.24,-1.25,-0.04,-0.26
339640.0,1.59,6.41,-6.82,-0.79,-0.23,-0.16
339650.0,1.3,6.23,-6.5,0.07,-0.19,-0.05
339660.0,1.32,6.11,-6.48,0.57,0.03,0.02
339670.0,1.56,6.19,-6.72,1.58,-0.07,0.13
339680.0,1.25,4.59,-7.34,2.75,-0.35,0.34
339690.0,1.08,1.54,-8.8,0.22,0.27,0.11
339700.0,1.86,3.96,-8.32,-2.3,0.61,-0.28
339710.0,1.94,6.41,-7.36,-1.48,0.0,-0.16
339720.0,1.59,5.36,-7.63,-0.54,0.06,-0.0
339730.0,2.13,6.34,-7.42,-0.91,0.09,-0.08
339740.0,1.69,6.08,-7.07,-0.64,-0.15,-0.17
339750.0,1.62,6.61,-6.76,-0.16,-0.04,-0.12
339760.0,1.47,5.76,-6.91,0.05,0.06,-0.16
339770.0,1.65,6.15,-6.84,0.05,0.01,-0.05
339780.0,1.5,6.15,-6.69,0.83,-0.19,0.05
339790.0,1.21,5.57,-6.93,2.12,-0.15,0.23
339800.0,1.35,3.25,-7.92,1.36,0.3,0.35
339810.0,1.92,3.52,-8.31,-0.11,0.13,0.04
339820.0,1.56,3.44,-8.28,-1.33,0.04,-0.21
339830.0,1.82,5.49,-7.64,-1.81,0.15,-0.26
339840.0,1.75,6.15,-7.43,-0.85,-0.05,-0.12
339850.0,1.75,6.02,-7.4,-0.57,0.03,-0.05
339860.0,1.8,6.42,-7.12,-0.13,-0.15,-0.03
339870.0,1.52,6.11,-6.9,0.18,-0.13,-0.01
339880.0,1.61,6.18,-6.85,0.82,-0.01,0.09
339890.0,1.24,5.16,-7.0,1.88,0.06,0.3
339900.0,1.45,3.63,-7.77,1.21,0.81,0.35
339910.0,2.56,3.31,-8.1,-0.15,0.6,-0.03
339920.0,2.46,4.35,-8.17,-1.16,-0.44,-0.31
339930.0,1.66,4.68,-7.81,-1.32,-0.31,-0.27
339940.0,2.0,5.73,-7.48,-1.52,-0.1,-0.25
339950.0,1.74,6.45,-7.17,-0.79,-0.27,-0.12
339960.0,1.58,6.42,-6.99,-0.11,-0.1,-0.02
339970.0,1.71,6.35,-6.88,0.37,-0.1,0.04
339980.0,1.53,6.17,-7.01,1.23,-0.26,0.12
339990.0,1.41,4.75,-7.42,2.0,-0.21,0.28
340000.0,1.13,2.67,-8.33,0.79,-0.01,0.18
340010.0,1.53,3.83,-8.29,-0.99,0.22,-0.12
340020.0,1.65,4.43,-7.71,-2.05,0.26,-0.29
340030.0,1.8,6.4,-7.29,-1.21,0.03,-0.16
340040.0,1.6,5.97,-7.32,-0.32,-0.06,0.0
340050.0,1.59,5.87,-7.28,-0.51,0.03,-0.07
340060.0,1.64,6.37,-6.95,-0.13,-0.05,-0.04
340070.0,1.41,5.86,-6.84,-0.13,-0.01,-0.03
340080.0,1.4,5.97,-6.67,0.13,0.07,-0.0
340090.0,1.38,6.16,-6.48,1.03,0.16,0.07
340100.0,1.5,4.18,-7.48,1.57,0.22,0.2
340110.0,1.9,3.9,-8.26,-0.48,0.21,0.01
340120.0,1.97,5.12,-7.81,-1.33,-0.03,-0.21
340130.0,1.77,6.21,-7.3,-1.07,-0.09,-0.13
340140.0,1.86,6.28,-7.17,-0.6,0.05,-0.06
340150.0,1.89,6.36,-7.01,-0.35,-0.21,-0.05
340160.0,1.46,6.33,-6.84,-0.05,-0.24,-0.05
340170.0,1.46,6.1,-6.76,0.42,-0.06,0.02
340180.0,1.51,5.81,-6.95,0.95,-0.09,0.13
340190.0,1.36,5.33,-7.14,1.53,-0.08,0.24
340200.0,1.21,3.12,-7.63,1.19,0.13,0.27
340210.0,1.82,3.8,-8.35,-0.61,0.22,-0.0
340220.0,1.84,4.64,-7.87,-1.72,0.12,-0.26
340230.0,1.73,6.09,-7.25,-1.42,0.05,-0.27
340240.0,1.78,6.12,-7.27,-0.93,-0.02,-0.12
340250.0,1.65,6.46,-6.94,-0.73,-0.01,-0.11
340260.0,1.69,6.73,-6.63,-0.07,-0.02,-0.04
340270.0,1.59,6.31,-6.7,0.2,0.1,-0.01
340280.0,1.73,6.42,-6.83,0.83,0.24,0.09
340290.0,1.83,6.03,-6.85,2.27,-0.09,0.31
340300.0,1.32,2.9,-8.02,2.5,-0.12,0.37
340310.0,1.87,2.54,-8.77,-0.79,0.32,-0.03
340320.0,2.08,4.69,-7.82,-1.57,0.01,-0.31
340330.0,1.71,5.14,-7.24,-1.43,0.01,-0.21
340340.0,1.88,5.84,-7.33,-1.0,0.06,-0.11
340350.0,1.89,6.08,-7.27,-0.5,-0.09,-0.07
340360.0,1.64,5.96,-7.24,-0.15,-0.06,-0.01
340370.0,1.76,6.17,-6.98,0.02,0.05,0.05
340380.0,1.77,6.28,-6.77,0.74,-0.06,0.12
340390.0,1.55,5.24,-6.98,1.85,0.01,0.27
340400.0,1.66,3.4,-7.62,1.45,0.43,0.34
340410.0,2.26,3.16,-8.26,-0.24,0.35,0.01
340420.0,2.39,4.34,-8.11,-0.87,0.04,-0.13
340430.0,2.26,4.62,-7.96,-1.04,0.02,-0.13
340440.0,2.37,5.44,-7.86,-1.14,0.09,-0.14
340450.0,2.41,5.67,-7.57,-0.87,-0.03,-0.13
340460.0,2.23,6.11,-7.2,-0.5,-0.28,-0.13
340470.0,1.94,5.98,-7.13,-0.07,-0.08,-0.06
340480.0,2.0,6.07,-6.93,0.42,0.03,0.06
340490.0,1.94,5.87,-6.74,1.43,-0.19,0.22
340500.0,1.53,3.94,-7.41,2.01,-0.09,0.42
340510.0,1.95,2.26,-8.2,-0.13,0.16,0.07
340520.0,2.18,4.37,-8.04,-1.69,0.11,-0.32
340530.0,2.22,5.45,-7.72,-1.43,0.03,-0.25
340540.0,2.25,6.07,-7.61,-1.04,-0.16,-0.14
340550.0,2.02,6.26,-7.36,-0.52,-0.27,-0.11
340560.0,1.82,6.08,-7.11,-0.04,-0.13,-0.05
340570.0,1.78,6.15,-6.94,0.55,-0.17,-0.0
340580.0,1.62,5.74,-6.98,1.72,-0.28,0.09
340590.0,1.22,3.92,-7.37,2.42,-0.04,0.2
340600.0,1.38,2.65,-7.89,1.66,0.65,0.26
340610.0,2.1,1.69,-8.69,0.27,0.15,0.05
340620.0,2.0,2.37,-9.01,-1.35,-0.14,-0.12
340630.0,1.93,3.88,-8.41,-1.77,0.1,-0.21
340640.0,2.21,5.02,-8.09,-1.53,0.08,-0.16
340650.0,1.99,5.18,-7.95,-1.02,-0.11,-0.06
340660.0,1.94,5.79,-7.47,-0.72,-0.11,-0.11
340670.0,1.82,5.84,-7.22,0.22,-0.12,0.0
340680.0,1.76,5.56,-7.29,1.21,-0.15,0.12
340690.0,1.61,4.35,-7.53,2.04,-0.16,0.22
340700.0,1.46,2.14,-8.26,1.2,-0.16,0.18
340710.0,1.39,2.35,-8.5,-1.28,0.14,-0.15
340720.0,1.84,4.49,-8.09,-2.11,0.37,-0.23
340730.0,2.11,5.57,-7.83,-1.23,0.09,-0.12
340740.0,1.9,5.48,-7.69,-0.82,0.0,-0.07
340750.0,1.95,6.03,-7.31,-0.57,0.0,-0.1
340760.0,1.78,5.88,-7.01,0.29,-0.09,-0.02
340770.0,1.69,5.68,-7.05,1.37,-0.06,0.1
340780.0,1.61,4.32,-7.56,2.29,0.06,0.29
340790.0,1.75,2.22,-8.47,1.45,0.1,0.19
340800.0,1.94,2.5,-8.9,-0.67,0.05,-0.08
340810.0,1.91,3.65,-8.39,-1.5,0.21,-0.21
340820.0,2.2,4.58,-8.1,-1.68,0.14,-0.2
340830.0,2.11,5.64,-7.74,-1.25,-0.14,-0.12
340840.0,1.88,5.65,-7.42,-0.43,-0.15,-0.07
340850.0,1.83,5.75,-7.25,0.16,-0.02,-0.0
340860.0,1.88,5.48,-7.22,1.1,-0.15,0.16
340870.0,1.4,4.28,-7.4,1.9,-0.1,0.26
340880.0,1.63,2.62,-7.8,1.5,0.43,0.24
340890.0,2.19,2.31,-8.77,-0.22,0.33,-0.03
340900.0,2.14,2.87,-8.66,-1.29,0.1,-0.22
340910.0,2.23,4.38,-8.29,-1.7,0.2,-0.26
340920.0,2.44,5.3,-7.85,-1.51,0.0,-0.17
340930.0,2.17,5.85,-7.59,-0.69,-0.21,-0.1
340940.0,2.05,5.7,-7.18,0.04,-0.13,-0.03
340950.0,1.99,5.55,-7.03,0.71,-0.23,0.04
340960.0,1.51,4.7,-7.11,1.58,-0.35,0.12
340970.0,1.32,3.22,-7.71,1.76,0.04,0.12
340980.0,1.78,1.91,-8.8,0.45,0.03,0.11
340990.0,1.79,2.55,-9.14,-1.32,0.16,-0.08
341000.0,2.4,4.44,-8.6,-2.12,0.34,-0.15
341010.0,2.36,5.7,-7.97,-1.42,-0.1,-0.12
341020.0,2.03,5.68,-7.64,-0.66,-0.11,-0.11
341030.0,2.09,5.99,-7.32,-0.59,-0.06,-0.18
341040.0,1.71,5.94,-7.01,0.14,-0.22,-0.12
341050.0,1.51,5.68,-6.98,1.0,-0.19,-0.03
341060.0,1.44,4.52,-7.32,1.82,-0.15,0.06
341070.0,1.27,3.02,-7.92,1.16,-0.2,0.05
341080.0,1.34,2.72,-8.28,-0.25,0.06,0.01
341090.0,1.51,3.68,-8.23,-1.05,0.13,-0.07
341100.0,1.62,4.37,-8.17,-1.54,0.29,-0.11
341110.0,2.03,5.49,-7.87,-1.42,0.21,-0.05
341120.0,1.81,5.83,-7.55,-0.9,0.02,-0.09
341130.0,1.82,6.16,-7.22,-0.78,0.11,-0.13
341140.0,1.8,6.42,-6.91,0.05,-0.06,-0.07
341150.0,1.67,6.06,-6.78,1.01,-0.26,0.05
341160.0,1.4,5.07,-6.98,1.91,-0.36,0.09
341170.0,1.18,3.48,-7.43,1.74,-0.16,0.14
341180.0,1.26,2.66,-8.39,0.55,-0.07,0.08
