miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
808840.0,1.62,9.26,-1.3,1.09,0.24,-0.09
808850.0,1.79,8.85,-2.0,0.71,0.27,-0.08
808860.0,1.72,8.94,-2.1,0.1,0.07,-0.01
808870.0,1.84,9.0,-2.07,-0.37,0.02,-0.05
808880.0,1.69,9.18,-1.7,-0.79,-0.08,-0.02
808890.0,1.65,9.47,-1.21,-0.89,-0.11,-0.03
808900.0,1.67,9.53,-0.78,-0.89,-0.09,-0.02
808910.0,1.64,9.7,-0.41,-0.83,-0.12,-0.0
808920.0,1.71,9.79,0.02,-0.58,-0.1,-0.0
808930.0,1.63,9.86,0.17,-0.29,-0.11,0.01
808940.0,1.67,9.82,0.06,0.09,-0.01,-0.01
808950.0,1.66,9.59,-0.31,0.16,0.04,0.01
808960.0,1.68,9.69,-0.19,0.15,0.02,0.04
808970.0,1.69,9.87,-0.21,0.53,0.11,0.05
808980.0,1.74,9.55,-0.78,0.72,0.18,-0.0
808990.0,1.81,9.07,-1.45,0.48,0.21,-0.03
809000.0,1.9,9.07,-1.5,-0.11,0.06,-0.03
809010.0,1.78,9.31,-1.36,-0.41,0.04,-0.05
809020.0,1.83,9.27,-0.99,-0.76,-0.03,-0.08
809030.0,1.73,9.64,-0.57,-0.8,-0.13,-0.05
809040.0,1.7,9.66,-0.17,-0.75,-0.13,-0.05
809050.0,1.67,9.76,0.12,-0.62,-0.14,-0.01
809060.0,1.69,9.8,0.35,-0.4,-0.11,0.0
809070.0,1.62,9.87,0.37,-0.1,-0.06,0.0
809080.0,1.75,9.63,0.22,0.03,0.01,0.0
809090.0,1.71,9.76,0.25,0.16,0.0,0.03
809100.0,1.71,9.76,0.12,0.38,0.06,0.03
809110.0,1.78,9.75,-0.15,0.64,0.13,0.03
809120.0,1.8,9.62,-0.61,0.77,0.16,0.01
809130.0,1.8,9.25,-1.19,0.8,0.22,-0.05
809140.0,1.93,8.76,-1.81,0.15,0.17,-0.06
809150.0,1.91,9.05,-1.54,-0.53,-0.05,-0.02
809160.0,1.89,9.32,-1.04,-0.82,-0.08,-0.09
809170.0,1.74,9.47,-0.64,-0.98,-0.17,-0.05
809180.0,1.67,9.79,0.03,-0.92,-0.21,-0.04
809190.0,1.65,9.97,0.35,-0.5,-0.16,-0.03
809200.0,1.64,9.94,0.39,0.02,-0.02,-0.02
809210.0,1.65,9.72,0.03,0.33,0.08,0.0
809220.0,1.77,9.63,-0.13,0.38,0.06,-0.0
809230.0,1.67,9.64,-0.41,0.44,0.08,0.02
809240.0,1.73,9.51,-0.66,0.49,0.12,0.01
809250.0,1.72,9.42,-1.13,0.41,0.14,0.01
809260.0,1.83,9.27,-1.16,0.22,0.16,0.0
809270.0,1.86,9.31,-1.3,0.02,0.11,-0.03
809280.0,1.86,9.18,-1.35,-0.27,0.09,-0.06
809290.0,1.85,9.25,-1.11,-0.67,-0.02,-0.07
809300.0,1.79,9.53,-0.63,-0.83,-0.11,-0.05
809310.0,1.75,9.62,-0.26,-0.82,-0.13,-0.06
809320.0,1.68,9.75,0.15,-0.72,-0.17,-0.02
809330.0,1.66,9.97,0.51,-0.31,-0.12,-0.02
809340.0,1.68,9.89,0.36,0.14,-0.01,-0.02
809350.0,1.73,9.69,0.05,0.37,0.01,0.0
809360.0,1.69,9.59,-0.26,0.32,-0.03,-0.01
809370.0,1.65,9.8,-0.33,0.49,0.01,0.02
809380.0,1.6,9.73,-0.65,0.88,0.17,-0.0
809390.0,1.85,9.1,-1.51,0.76,0.27,-0.06
809400.0,1.82,8.92,-1.93,0.05,0.14,-0.03
809410.0,1.79,9.17,-1.59,-0.43,0.06,-0.02
809420.0,1.86,9.22,-1.12,-0.72,0.02,-0.01
809430.0,1.88,9.44,-0.82,-0.83,-0.14,-0.03
809440.0,1.75,9.58,-0.38,-0.85,-0.2,-0.05
809450.0,1.63,9.78,-0.02,-0.72,-0.17,-0.07
809460.0,1.66,9.9,0.28,-0.35,-0.14,-0.02
809470.0,1.69,9.7,0.06,-0.11,-0.06,-0.01
809480.0,1.63,9.73,0.08,-0.08,-0.05,0.02
809490.0,1.69,9.85,0.23,0.23,0.04,0.05
809500.0,1.64,9.88,0.02,0.65,0.13,0.03
809510.0,1.9,9.36,-0.78,0.63,0.19,0.0
809520.0,1.78,9.25,-1.07,0.17,0.05,0.05
809530.0,1.82,9.49,-0.92,0.08,0.09,0.04
809540.0,1.95,9.41,-0.94,0.08,0.16,0.01
809550.0,1.87,9.38,-1.04,-0.02,0.16,-0.02
809560.0,1.99,9.08,-1.16,-0.37,0.08,-0.03
809570.0,1.91,9.23,-0.82,-0.84,-0.11,-0.04
809580.0,1.89,9.59,-0.2,-0.99,-0.17,-0.06
809590.0,1.82,9.78,0.31,-0.82,-0.21,-0.08
809600.0,1.71,9.89,0.53,-0.5,-0.2,-0.03
809610.0,1.71,9.93,0.59,-0.05,-0.06,-0.02
809620.0,1.74,9.83,0.5,0.36,0.04,0.02
809630.0,1.76,9.67,0.01,0.59,0.16,-0.0
809640.0,1.86,9.51,-0.24,0.54,0.1,0.0
809650.0,1.8,9.55,-0.63,0.52,0.13,-0.01
809660.0,1.83,9.33,-1.01,0.29,0.15,-0.03
809670.0,1.82,9.28,-1.1,-0.06,0.11,-0.02
809680.0,1.85,9.56,-0.81,-0.18,0.09,-0.01
809690.0,1.89,9.46,-0.83,-0.18,0.11,-0.07
809700.0,1.91,9.31,-0.83,-0.37,0.01,-0.09
809710.0,1.87,9.39,-0.61,-0.6,-0.09,-0.09
