miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
343980.0,1.23,9.63,1.5,0.53,0.07,0.01
343990.0,1.15,9.86,1.39,0.65,0.1,0.0
344000.0,1.22,9.81,1.15,1.01,0.19,0.0
344010.0,1.29,9.68,0.49,1.13,0.11,0.02
344020.0,1.27,9.37,-0.48,0.9,0.07,-0.0
344030.0,1.31,9.2,-0.91,0.25,0.03,-0.02
344040.0,1.24,9.47,-0.69,-0.32,0.02,-0.04
344050.0,1.23,9.59,-0.33,-0.45,0.02,-0.04
344060.0,1.27,9.16,-0.59,-1.01,0.04,-0.06
344070.0,1.32,9.5,0.47,-1.78,-0.13,-0.08
344080.0,1.09,10.1,1.87,-1.43,-0.2,-0.06
344090.0,1.1,9.94,2.15,-0.82,-0.04,-0.04
344100.0,1.08,9.97,2.4,-0.23,-0.07,-0.01
344110.0,1.15,10.03,2.38,0.51,0.03,0.03
344120.0,1.14,9.97,1.77,1.25,0.13,0.03
344130.0,1.26,9.59,0.83,1.5,0.22,0.01
344140.0,1.32,9.32,-0.1,1.12,0.11,0.01
344150.0,1.27,9.13,-0.88,0.35,0.03,-0.01
344160.0,1.27,9.19,-0.83,-0.54,0.02,-0.06
344170.0,1.21,9.52,-0.01,-1.1,-0.04,-0.06
344180.0,1.26,9.43,0.52,-1.53,-0.05,-0.07
344190.0,1.2,9.68,1.65,-1.76,-0.22,-0.05
344200.0,1.06,10.05,2.66,-1.24,-0.23,-0.04
344210.0,1.13,9.93,2.89,-0.42,-0.03,-0.01
344220.0,1.15,9.89,2.83,0.24,-0.05,0.01
344230.0,1.16,9.84,2.42,0.73,0.06,0.03
344240.0,1.18,9.87,1.95,1.2,0.14,0.03
344250.0,1.18,9.65,1.08,1.49,0.26,0.02
344260.0,1.33,9.35,0.23,1.18,0.22,-0.01
344270.0,1.34,9.11,-0.65,0.34,0.05,-0.01
344280.0,1.28,9.32,-0.38,-0.62,-0.02,-0.05
344290.0,1.22,9.71,0.54,-0.85,-0.06,-0.05
344300.0,1.25,9.3,0.42,-1.24,-0.03,-0.06
344310.0,1.23,9.58,1.5,-1.66,-0.19,-0.07
344320.0,1.1,9.88,2.54,-1.47,-0.22,-0.05
344330.0,1.14,9.98,3.21,-0.67,-0.1,-0.02
344340.0,1.16,9.88,3.11,0.19,0.0,0.01
344350.0,1.15,9.78,2.68,0.68,0.04,0.02
344360.0,1.16,9.83,2.19,1.09,0.13,0.03
344370.0,1.23,9.7,1.54,1.4,0.23,0.02
344380.0,1.26,9.5,0.68,1.32,0.21,0.01
344390.0,1.35,9.29,-0.1,0.81,0.12,0.01
344400.0,1.32,9.32,-0.46,0.03,-0.02,-0.01
344410.0,1.28,9.59,-0.02,-0.42,0.0,-0.03
344420.0,1.27,9.51,0.11,-0.57,-0.01,-0.05
344430.0,1.25,9.37,0.23,-1.08,-0.04,-0.06
344440.0,1.31,9.31,0.93,-1.82,-0.15,-0.08
344450.0,1.17,9.88,2.53,-1.85,-0.34,-0.03
344460.0,1.08,10.12,3.41,-0.85,-0.14,-0.02
344470.0,1.19,9.87,3.33,0.26,0.05,0.01
344480.0,1.24,9.73,2.64,0.76,0.04,0.02
344490.0,1.16,9.8,2.11,1.08,0.19,0.02
344500.0,1.27,9.77,1.66,1.42,0.28,0.01
344510.0,1.3,9.52,0.81,1.41,0.21,0.02
344520.0,1.35,9.25,-0.22,0.87,0.09,0.01
344530.0,1.35,9.19,-0.61,0.05,0.01,-0.01
344540.0,1.3,9.59,-0.06,-0.44,-0.02,-0.03
344550.0,1.28,9.41,-0.01,-0.59,-0.0,-0.05
344560.0,1.32,9.15,0.2,-1.49,-0.07,-0.07
344570.0,1.22,9.74,1.61,-1.91,-0.3,-0.08
344580.0,1.14,10.17,2.83,-1.18,-0.2,-0.02
344590.0,1.11,10.04,2.98,-0.05,-0.02,0.0
344600.0,1.2,9.87,2.54,0.73,0.04,0.03
344610.0,1.22,9.83,1.86,1.17,0.12,0.04
344620.0,1.27,9.59,1.03,1.33,0.23,0.02
344630.0,1.31,9.4,0.32,1.06,0.22,0.0
344640.0,1.39,9.27,-0.23,0.38,0.09,-0.01
344650.0,1.28,9.51,-0.15,-0.23,-0.02,-0.03
344660.0,1.28,9.79,0.36,-0.25,0.01,-0.03
344670.0,1.28,9.44,-0.03,-0.28,0.01,-0.04
344680.0,1.36,9.26,0.08,-1.05,-0.03,-0.06
344690.0,1.23,9.82,1.19,-1.34,-0.17,-0.06
344700.0,1.17,10.04,1.97,-0.89,-0.1,-0.04
344710.0,1.15,10.06,2.25,-0.05,-0.02,-0.0
344720.0,1.23,9.86,1.77,0.56,0.02,0.02
344730.0,1.2,9.75,1.22,0.77,0.06,0.02
344740.0,1.24,9.73,0.82,1.01,0.2,0.0
344750.0,1.36,9.49,0.19,0.88,0.15,0.0
344760.0,1.3,9.38,-0.39,0.41,0.03,-0.0
344770.0,1.28,9.46,-0.43,-0.09,-0.01,-0.02
344780.0,1.27,9.69,-0.09,-0.23,-0.0,-0.03
344790.0,1.32,9.46,-0.33,-0.27,0.01,-0.03
344800.0,1.32,9.21,-0.37,-1.11,-0.04,-0.06
344810.0,1.22,9.78,0.96,-1.51,-0.21,-0.06
344820.0,1.12,10.18,1.91,-0.85,-0.15,-0.02
344830.0,1.18,10.09,2.01,0.14,0.01,0.01
344840.0,1.22,9.89,1.49,0.74,0.03,0.03
344850.0,1.24,9.72,0.79,1.02,0.1,0.04
344860.0,1.26,9.64,0.2,1.09,0.2,0.0
344870.0,1.36,9.38,-0.47,0.8,0.16,-0.01
344880.0,1.34,9.3,-0.77,0.23,0.04,-0.01
344890.0,1.31,9.48,-0.7,-0.15,0.01,-0.02
344900.0,1.3,9.68,-0.39,-0.2,-0.0,-0.03
344910.0,1.29,9.3,-0.82,-0.26,0.02,-0.03
344920.0,1.37,9.22,-0.64,-1.06,-0.02,-0.06
344930.0,1.32,9.6,0.46,-1.62,-0.15,-0.08
344940.0,1.16,10.15,1.63,-1.18,-0.2,-0.04
344950.0,1.2,10.05,1.77,-0.32,-0.04,-0.02
344960.0,1.2,9.92,1.45,0.21,-0.05,0.02
344970.0,1.22,9.97,1.38,0.53,0.04,0.02
344980.0,1.21,9.96,1.05,1.16,0.13,0.04
344990.0,1.32,9.56,0.12,1.34,0.16,0.02
345000.0,1.31,9.24,-0.96,0.87,0.05,0.01
345010.0,1.34,9.2,-1.21,0.09,0.02,-0.01
345020.0,1.31,9.51,-0.76,-0.34,-0.0,-0.03
345030.0,1.29,9.73,-0.4,-0.23,0.01,-0.02
345040.0,1.28,9.45,-0.77,-0.18,0.02,-0.03
345050.0,1.34,9.35,-0.68,-0.72,-0.01,-0.05
345060.0,1.26,9.53,-0.19,-0.98,-0.06,-0.05
345070.0,1.24,9.81,0.66,-1.06,-0.13,-0.05
345080.0,1.16,10.15,1.3,-0.49,-0.09,-0.02
345090.0,1.22,10.06,1.22,0.32,0.02,0.01
345100.0,1.24,9.76,0.51,0.73,0.06,0.03
345110.0,1.3,9.6,0.02,0.77,0.09,0.01
345120.0,1.3,9.46,-0.49,0.57,0.08,0.0
345130.0,1.32,9.37,-0.75,0.21,0.04,-0.01
345140.0,1.32,9.45,-0.8,-0.17,0.01,-0.03
345150.0,1.32,9.63,-0.43,-0.3,0.01,-0.03
345160.0,1.3,9.63,-0.37,-0.25,0.02,-0.03
345170.0,1.33,9.33,-0.6,-0.67,0.03,-0.05
345180.0,1.3,9.57,0.07,-1.08,-0.07,-0.05
345190.0,1.26,9.92,0.9,-0.96,-0.15,-0.03
345200.0,1.16,10.18,1.41,-0.22,-0.07,-0.01
345210.0,1.19,10.03,1.08,0.65,0.02,0.02
345220.0,1.26,9.74,0.31,1.12,0.11,0.02
345230.0,1.34,9.41,-0.56,1.0,0.12,0.01
345240.0,1.38,9.17,-1.11,0.4,0.04,-0.01
345250.0,1.31,9.36,-1.08,-0.16,0.01,-0.02
345260.0,1.28,9.69,-0.59,-0.25,0.01,-0.03
345270.0,1.28,9.65,-0.59,-0.11,0.01,-0.02
345280.0,1.33,9.2,-1.16,-0.48,0.06,-0.05
345290.0,1.35,9.52,-0.42,-1.09,-0.06,-0.05
345300.0,1.25,9.7,0.44,-1.21,-0.12,-0.04
345310.0,1.25,9.87,0.91,-0.99,-0.09,-0.04
345320.0,1.21,10.02,1.42,-0.52,-0.09,-0.02
345330.0,1.19,10.07,1.44,0.18,0.02,0.01
345340.0,1.25,9.99,1.2,0.74,0.06,0.02
345350.0,1.24,9.75,0.5,1.15,0.12,0.02
345360.0,1.32,9.45,-0.37,1.07,0.11,0.02
345370.0,1.35,9.22,-1.04,0.55,0.05,-0.01
345380.0,1.34,9.32,-1.09,-0.05,0.01,-0.02
345390.0,1.28,9.66,-0.68,-0.22,0.0,-0.02
345400.0,1.3,9.4,-0.86,-0.24,0.04,-0.03
345410.0,1.34,9.18,-0.92,-0.9,0.01,-0.05
345420.0,1.33,9.62,0.11,-1.37,-0.11,-0.06
345430.0,1.24,9.99,1.06,-1.08,-0.18,-0.05
