miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2565255,8.31,3.88,3.2,-0.35,-0.36,0.37
2565269,8.31,4.02,2.86,0.34,0.18,0.54
2565283,8.37,3.63,2.4,0.94,0.72,0.63
2565296,8.49,3.31,1.71,1.31,1.21,0.66
2565310,8.74,3.15,1.02,1.49,1.62,0.68
2565324,9.02,2.87,0.25,1.54,2.0,0.72
2565337,9.27,2.74,-0.48,1.49,2.33,0.77
2565351,9.66,2.76,-1.17,1.39,2.56,0.83
2565365,10.17,2.68,-1.58,1.24,2.67,0.91
2565379,10.73,2.45,-1.66,0.97,2.53,0.96
2565392,11.0,2.08,-1.52,0.61,2.15,0.93
2565406,11.41,1.86,-1.12,0.12,1.49,0.82
2565420,11.53,1.93,-0.77,-0.41,0.63,0.63
2565433,11.35,2.33,-0.48,-0.81,-0.22,0.39
2565447,11.04,2.79,-0.1,-1.1,-1.08,0.08
2565461,10.87,3.05,0.49,-1.27,-1.8,-0.22
2565474,10.73,3.06,1.13,-1.39,-2.33,-0.44
2565488,10.53,2.97,1.9,-1.53,-2.76,-0.61
2565502,10.31,2.92,2.69,-1.69,-3.02,-0.7
2565515,10.06,2.87,3.21,-1.88,-3.13,-0.73
2565529,9.7,2.97,3.61,-2.02,-3.07,-0.69
2565543,9.18,3.3,3.7,-2.05,-2.82,-0.6
2565556,8.75,3.55,3.71,-1.92,-2.41,-0.49
2565570,8.3,3.67,3.69,-1.6,-1.83,-0.38
2565584,7.94,3.76,3.61,-1.19,-1.16,-0.29
2565597,7.91,3.71,3.53,-0.76,-0.52,-0.22
2565611,8.23,3.48,3.52,-0.3,0.09,-0.18
2565625,8.74,3.27,3.51,0.08,0.54,-0.13
2565638,9.08,3.24,3.25,0.35,0.84,-0.07
2565652,9.16,3.34,2.71,0.58,1.08,0.0
2565666,9.02,3.47,2.01,0.79,1.34,0.07
2565679,8.83,3.59,1.18,0.99,1.62,0.11
2565693,8.76,3.56,0.36,1.22,1.98,0.13
2565707,8.99,3.31,-0.34,1.43,2.34,0.14
2565720,9.38,2.93,-0.81,1.55,2.6,0.17
2565734,9.9,2.48,-1.23,1.5,2.77,0.22
2565748,10.55,2.25,-1.54,1.31,2.78,0.32
2565761,11.09,2.08,-1.62,1.01,2.59,0.44
2565775,11.53,1.78,-1.39,0.59,2.17,0.55
2565789,11.69,1.71,-1.04,0.11,1.51,0.55
2565803,11.6,1.98,-0.63,-0.31,0.76,0.44
2565816,11.25,2.41,-0.25,-0.64,-0.09,0.18
2565830,10.94,2.64,0.33,-0.84,-0.91,-0.15
2565844,10.7,2.64,1.05,-0.99,-1.57,-0.44
2565857,10.48,2.56,1.77,-1.16,-2.15,-0.67
2565871,10.14,2.54,2.43,-1.34,-2.55,-0.83
2565885,9.76,2.59,2.85,-1.5,-2.73,-0.88
2565898,9.38,2.6,3.19,-1.6,-2.74,-0.86
2565912,8.87,2.72,3.55,-1.61,-2.59,-0.77
2565926,8.51,2.95,3.62,-1.5,-2.31,-0.63
