miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2367013,4.11,9.14,2.37,1.33,-0.15,-0.01
2367027,4.13,9.53,2.22,1.65,-0.19,-0.04
2367041,4.15,9.78,2.11,2.16,-0.25,-0.08
2367054,4.14,9.87,1.95,2.78,-0.31,-0.09
2367068,4.07,9.65,1.7,3.32,-0.34,-0.08
2367082,4.0,9.17,1.38,3.72,-0.33,-0.06
2367095,3.94,8.52,0.94,3.84,-0.27,-0.02
2367109,3.81,7.85,0.38,3.62,-0.17,0.05
2367122,3.71,7.13,-0.24,3.1,-0.04,0.12
2367135,3.65,6.55,-0.88,2.21,0.14,0.18
2367149,3.81,6.49,-1.33,1.22,0.3,0.19
2367163,4.03,7.04,-1.66,0.28,0.41,0.17
2367177,4.21,7.86,-1.79,-0.37,0.42,0.12
2367190,4.36,8.83,-1.79,-0.57,0.35,0.03
2367204,4.39,9.14,-1.79,-0.5,0.22,-0.05
2367218,4.33,8.92,-1.76,-0.45,0.11,-0.06
2367231,4.17,8.36,-1.78,-0.63,0.09,-0.02
2367245,4.09,7.97,-1.67,-1.03,0.12,0.02
2367259,4.16,8.03,-1.47,-1.49,0.18,0.04
2367272,4.29,8.54,-1.25,-1.74,0.2,0.02
2367286,4.32,8.95,-1.01,-1.82,0.17,-0.02
2367300,4.27,8.66,-0.8,-1.96,0.16,-0.03
2367313,4.22,8.23,-0.49,-2.3,0.18,-0.01
2367327,4.28,8.34,-0.09,-2.74,0.23,-0.01
2367341,4.46,9.34,0.37,-2.88,0.22,-0.06
2367354,4.57,10.31,0.76,-2.53,0.14,-0.12
2367368,4.43,10.31,1.13,-1.92,0.03,-0.17
2367382,4.3,9.63,1.35,-1.43,-0.03,-0.16
2367395,4.21,8.98,1.55,-1.29,-0.0,-0.1
2367409,4.19,8.8,1.64,-1.27,0.06,-0.04
2367423,4.24,8.99,1.78,-1.22,0.09,-0.02
2367436,4.28,9.36,1.95,-0.99,0.07,-0.05
2367450,4.32,9.52,2.05,-0.65,0.01,-0.08
2367464,4.27,9.54,2.12,-0.29,-0.04,-0.1
2367477,4.21,9.46,2.17,0.12,-0.09,-0.11
2367491,4.19,9.53,2.15,0.56,-0.13,-0.1
2367505,4.18,9.53,2.02,1.01,-0.18,-0.11
2367518,4.26,9.58,1.89,1.53,-0.24,-0.11
2367532,4.32,9.96,1.75,2.18,-0.33,-0.13
2367546,4.3,10.17,1.55,2.91,-0.44,-0.14
2367559,4.19,9.99,1.27,3.67,-0.53,-0.13
2367573,4.03,9.24,0.95,4.21,-0.55,-0.08
2367587,3.82,8.35,0.46,4.31,-0.48,-0.01
2367601,3.64,7.21,-0.27,3.91,-0.28,0.09
2367615,3.63,6.51,-0.97,3.18,-0.05,0.15
2367628,3.64,6.02,-1.66,2.08,0.2,0.2
2367642,3.88,6.14,-2.14,0.88,0.38,0.19
2367656,4.15,6.69,-2.3,-0.11,0.45,0.12
2367669,4.33,7.75,-2.43,-0.79,0.4,0.02
2367683,4.37,8.42,-2.33,-1.09,0.28,-0.04
2367697,4.33,8.96,-2.18,-1.07,0.16,-0.07
2367710,4.22,9.06,-2.0,-0.87,0.07,-0.07
2367724,4.07,8.48,-1.82,-0.81,0.05,-0.03
2367738,3.93,7.44,-1.71,-1.12,0.12,0.02
2367751,3.91,6.85,-1.56,-1.93,0.26,0.08
2367765,4.22,7.7,-1.21,-2.59,0.35,0.07
2367779,4.59,9.33,-0.92,-2.72,0.28,0.0
2367792,4.64,9.97,-0.65,-2.33,0.1,-0.05
2367806,4.46,9.4,-0.3,-2.08,-0.03,-0.06
2367820,4.32,8.87,0.02,-2.09,-0.08,-0.03
2367833,4.16,8.54,0.32,-2.29,-0.05,-0.02
2367847,4.07,8.38,0.69,-2.55,0.03,-0.03
2367861,4.2,8.87,1.14,-2.71,0.11,-0.07
2367874,4.29,9.32,1.51,-2.68,0.14,-0.1
2367888,4.49,10.04,1.83,-2.33,0.1,-0.12
2367902,4.36,10.26,2.09,-1.75,0.02,-0.11
2367915,4.24,9.96,2.29,-1.14,-0.04,-0.1
2367929,4.11,9.12,2.4,-0.85,-0.03,-0.07
2367943,4.07,8.8,2.51,-0.75,0.04,-0.03
2367956,4.08,8.88,2.56,-0.69,0.11,0.01
2367970,4.2,9.18,2.63,-0.51,0.13,0.02
2367984,4.34,9.5,2.71,-0.18,0.08,-0.01
2367997,4.35,9.5,2.6,0.19,-0.02,-0.06
2368011,4.34,9.56,2.51,0.54,-0.11,-0.08
2368025,4.22,9.4,2.45,0.92,-0.17,-0.1
2368038,4.23,9.47,2.35,1.35,-0.22,-0.09
2368052,4.19,9.82,2.24,1.9,-0.27,-0.09
2368066,4.24,10.16,2.06,2.67,-0.32,-0.07
2368079,4.21,10.13,1.78,3.48,-0.37,-0.04
2368093,4.21,9.63,1.41,4.03,-0.41,-0.0
2368107,4.17,8.74,0.95,4.24,-0.42,0.03
2368120,3.94,7.52,0.25,3.94,-0.34,0.06
2368134,3.71,6.25,-0.49,3.13,-0.18,0.08
2368148,3.6,5.46,-1.2,1.68,0.07,0.1
2368162,3.89,6.19,-1.59,0.27,0.3,0.09
2368175,4.09,7.09,-1.74,-0.68,0.43,0.04
2368189,4.33,7.74,-1.68,-1.31,0.43,-0.04
2368203,4.55,8.33,-1.48,-1.63,0.33,-0.09
2368216,4.44,8.6,-1.32,-1.78,0.21,-0.08
2368230,4.3,8.69,-1.02,-1.91,0.11,-0.06
2368244,4.19,8.78,-0.77,-1.94,0.06,-0.05
2368257,4.1,8.59,-0.49,-2.03,0.07,-0.03
2368271,4.12,8.25,-0.07,-2.27,0.11,-0.01
2368285,4.22,8.51,0.32,-2.51,0.15,-0.0
2368298,4.26,8.69,0.69,-2.7,0.17,-0.0
2368312,4.43,9.62,1.14,-2.61,0.15,-0.03
2368326,4.35,9.18,1.51,-2.51,0.1,-0.04
2368339,4.33,8.57,1.9,-2.68,0.1,-0.03
2368353,4.33,8.8,2.37,-2.94,0.13,-0.03
2368367,4.33,10.0,2.68,-2.8,0.14,-0.06
2368380,4.35,10.77,2.99,-2.19,0.09,-0.11
2368394,4.33,10.77,3.26,-1.27,0.01,-0.16
2368408,4.29,10.35,3.33,-0.39,-0.07,-0.15
2368421,4.2,9.83,3.3,0.3,-0.13,-0.12
2368435,4.16,9.41,3.22,0.88,-0.16,-0.09
2368449,4.03,8.51,3.03,1.18,-0.16,-0.05
2368462,3.96,7.71,2.87,1.02,-0.1,-0.0
2368476,4.01,7.6,2.73,0.54,0.01,0.02
2368490,4.19,8.23,2.56,0.18,0.06,0.01
2368503,4.23,8.89,2.41,0.04,0.05,-0.03
2368517,4.23,9.28,2.4,0.16,0.0,-0.08
2368531,4.22,9.29,2.38,0.37,-0.05,-0.11
2368544,4.24,9.4,2.3,0.66,-0.12,-0.13
2368558,4.31,9.7,2.21,1.12,-0.21,-0.15
2368572,4.3,10.08,2.07,1.75,-0.32,-0.17
2368585,4.23,10.21,1.97,2.57,-0.42,-0.18
2368599,4.11,9.8,1.73,3.31,-0.48,-0.15
2368613,4.01,9.12,1.45,3.74,-0.48,-0.1
2368626,3.91,8.3,0.99,3.83,-0.43,-0.03
2368640,3.79,7.71,0.38,3.56,-0.32,0.06
2368654,3.7,7.34,-0.29,3.09,-0.18,0.1
2368667,3.7,7.31,-0.9,2.48,-0.02,0.1
2368681,3.84,7.35,-1.44,1.85,0.09,0.07
2368695,3.92,6.99,-1.86,1.15,0.15,0.01
2368708,4.05,6.86,-2.16,0.25,0.19,-0.05
2368722,4.09,6.72,-2.27,-0.79,0.22,-0.04
2368736,4.05,6.89,-2.2,-1.74,0.26,0.01
2368749,4.09,7.26,-1.87,-2.69,0.31,0.07
2368763,4.33,8.62,-1.3,-3.14,0.28,0.05
2368777,4.31,9.54,-0.82,-3.06,0.19,-0.01
2368791,4.13,9.29,-0.34,-2.91,0.12,-0.07
2368804,4.13,9.11,0.15,-2.86,0.12,-0.09
