miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2587672,4.09,8.81,1.99,-0.2,-0.76,-0.33
2587686,3.73,8.31,2.82,-0.29,-0.97,-0.31
2587699,3.17,8.18,3.27,-0.42,-0.97,-0.26
2587713,2.45,8.3,3.22,-0.51,-0.75,-0.2
2587727,1.91,8.67,2.83,-0.44,-0.25,-0.13
2587740,1.72,8.9,2.13,-0.26,0.43,-0.06
2587754,2.04,8.82,1.46,-0.11,1.09,0.02
2587768,2.55,8.96,0.56,0.0,1.69,0.14
2587781,3.16,9.22,-0.49,0.09,2.15,0.27
2587795,3.76,9.48,-1.47,0.2,2.36,0.36
2587809,4.31,9.88,-2.48,0.43,2.33,0.38
2587822,4.69,9.88,-3.46,0.61,2.06,0.31
2587836,4.92,9.55,-4.2,0.69,1.67,0.2
2587850,5.3,9.0,-4.69,0.59,1.15,0.08
2587863,5.49,8.4,-4.77,0.31,0.61,-0.0
2587877,5.36,8.27,-4.47,-0.06,0.01,-0.07
2587891,4.91,8.59,-3.82,-0.37,-0.55,-0.08
2587904,4.63,8.94,-2.96,-0.49,-0.98,-0.08
2587918,4.51,9.2,-1.81,-0.47,-1.33,-0.06
2587932,4.49,9.27,-0.47,-0.41,-1.62,-0.04
2587945,4.29,9.34,0.68,-0.39,-1.82,-0.01
2587959,3.88,9.47,1.72,-0.43,-1.95,-0.0
2587973,3.36,9.65,2.45,-0.46,-1.94,-0.02
2587987,2.93,9.83,2.91,-0.47,-1.8,-0.07
2588000,2.55,9.89,3.26,-0.46,-1.49,-0.14
2588014,2.29,9.99,3.38,-0.4,-1.06,-0.2
2588028,2.2,9.95,3.43,-0.33,-0.6,-0.23
2588041,2.1,9.9,3.29,-0.24,-0.11,-0.21
2588055,2.3,9.69,3.13,-0.2,0.3,-0.2
2588069,2.49,9.65,2.78,-0.15,0.58,-0.21
2588082,2.61,9.62,2.28,-0.08,0.77,-0.23
2588096,2.7,9.54,1.8,0.03,0.87,-0.24
2588110,2.93,9.14,1.72,0.13,0.82,-0.28
2588123,3.24,8.51,2.04,0.18,0.56,-0.32
2588137,3.35,7.89,2.41,0.06,0.16,-0.31
2588151,3.17,7.63,2.68,-0.17,-0.19,-0.24
2588164,2.76,7.76,2.89,-0.42,-0.4,-0.15
2588178,2.34,8.4,2.98,-0.53,-0.4,-0.06
2588192,2.15,9.16,2.82,-0.47,-0.22,0.0
2588205,1.99,9.56,2.58,-0.23,0.1,0.06
2588219,2.04,9.51,2.18,0.02,0.52,0.12
2588233,2.13,9.17,1.51,0.09,0.93,0.16
2588246,2.3,8.86,0.76,0.02,1.35,0.16
2588260,2.58,9.22,-0.31,-0.03,1.66,0.17
2588274,3.04,9.84,-1.36,0.04,1.82,0.2
2588287,3.68,10.49,-2.26,0.3,1.83,0.26
2588301,4.38,10.63,-2.82,0.58,1.66,0.29
2588315,4.69,10.19,-3.26,0.68,1.36,0.27
2588328,4.8,9.45,-3.49,0.53,0.92,0.16
2588342,4.98,9.14,-3.39,0.2,0.42,0.04
2588356,4.97,9.2,-3.0,-0.13,-0.11,-0.05
2588369,4.66,9.44,-2.37,-0.35,-0.66,-0.11
2588383,4.47,9.46,-1.36,-0.38,-1.14,-0.14
2588397,4.21,9.38,-0.42,-0.35,-1.47,-0.12
2588410,3.79,9.28,0.47,-0.33,-1.7,-0.07
2588424,3.41,9.32,1.3,-0.34,-1.79,-0.01
2588438,3.1,9.41,1.92,-0.34,-1.8,0.04
2588451,2.84,9.36,2.58,-0.32,-1.73,0.04
2588465,2.64,9.24,3.22,-0.31,-1.61,0.01
2588479,2.51,9.13,3.79,-0.3,-1.46,-0.03
2588492,2.3,9.09,4.17,-0.28,-1.23,-0.08
2588506,2.13,8.95,4.34,-0.24,-0.93,-0.12
2588520,1.86,8.86,4.29,-0.19,-0.58,-0.14
2588533,1.71,8.76,4.08,-0.12,-0.14,-0.14
2588547,1.93,8.68,3.78,-0.08,0.34,-0.09
2588561,2.13,8.59,3.44,-0.07,0.73,-0.01
2588575,2.26,8.71,2.73,-0.04,1.08,0.06
2588588,2.29,8.71,2.0,0.0,1.38,0.1
2588602,2.32,8.66,1.1,0.07,1.69,0.15
2588616,2.64,8.74,0.17,0.13,2.01,0.23
2588629,3.23,8.91,-0.76,0.16,2.27,0.34
2588643,4.1,9.51,-1.72,0.22,2.37,0.46
2588657,4.72,10.18,-2.63,0.33,2.2,0.52
2588670,5.29,10.9,-3.44,0.47,1.78,0.46
2588684,5.72,11.11,-3.99,0.61,1.08,0.31
2588698,5.9,10.54,-4.18,0.59,0.26,0.11
2588712,5.68,9.71,-4.04,0.33,-0.5,-0.05
2588725,5.31,9.06,-3.52,-0.1,-1.05,-0.17
2588739,5.01,8.88,-2.58,-0.44,-1.42,-0.22
2588753,4.57,9.01,-1.19,-0.68,-1.71,-0.23
2588766,4.17,9.22,0.18,-0.8,-1.94,-0.21
2588780,3.69,9.39,1.22,-0.81,-2.07,-0.19
2588794,3.06,9.38,2.19,-0.73,-2.07,-0.17
2588807,2.73,9.27,3.0,-0.58,-1.93,-0.16
2588821,2.53,9.12,3.63,-0.44,-1.67,-0.17
2588835,2.34,8.91,4.11,-0.29,-1.3,-0.18
2588848,2.07,8.8,4.23,-0.13,-0.82,-0.16
2588862,1.96,8.54,4.2,-0.02,-0.3,-0.13
2588876,2.08,8.37,4.0,0.04,0.26,-0.08
2588889,2.11,8.4,3.45,0.05,0.76,-0.02
2588903,2.33,8.51,2.64,0.05,1.24,0.06
2588917,2.49,8.65,1.62,0.03,1.68,0.13
2588930,2.53,8.84,0.56,0.02,2.05,0.2
2588944,2.88,9.0,-0.43,0.09,2.38,0.26
2588958,3.63,9.37,-1.29,0.25,2.56,0.33
2588972,4.33,9.74,-2.08,0.44,2.5,0.37
2588985,5.22,10.27,-2.71,0.63,2.07,0.3
2588999,5.77,10.45,-3.03,0.75,1.27,0.15
2589013,5.87,10.13,-3.01,0.58,0.37,0.01
2589026,5.65,9.09,-2.68,0.12,-0.59,-0.16
2589040,4.99,8.65,-1.93,-0.41,-1.34,-0.34
2589054,4.47,8.5,-0.91,-0.85,-1.85,-0.45
2589067,3.84,8.63,0.21,-1.17,-2.18,-0.48
2589081,3.48,8.88,1.36,-1.29,-2.32,-0.41
2589095,2.96,8.96,2.15,-1.21,-2.32,-0.3
2589108,2.47,8.89,2.82,-0.96,-2.17,-0.17
2589122,2.1,8.8,3.45,-0.66,-1.86,-0.04
2589136,1.84,8.79,3.9,-0.38,-1.44,0.05
2589149,1.58,8.92,4.05,-0.08,-0.87,0.14
2589163,1.68,8.8,4.05,0.13,-0.25,0.21
2589177,1.93,8.73,3.73,0.18,0.3,0.28
2589190,2.09,8.79,2.99,0.13,0.84,0.35
2589204,2.34,9.04,2.04,0.09,1.28,0.39
2589218,2.67,9.34,1.15,0.11,1.6,0.43
2589231,3.08,9.79,0.05,0.2,1.85,0.48
2589245,3.64,10.33,-0.87,0.36,1.92,0.5
2589259,4.32,10.85,-1.58,0.52,1.8,0.48
2589272,4.88,11.07,-2.09,0.67,1.43,0.38
2589287,5.14,10.76,-2.26,0.65,0.89,0.24
2589300,5.17,10.12,-2.22,0.37,0.3,0.06
2589314,5.19,9.71,-1.89,0.0,-0.25,-0.1
2589328,5.03,9.65,-1.29,-0.34,-0.75,-0.22
2589341,4.66,9.36,-0.4,-0.5,-1.13,-0.29
2589355,4.23,9.1,0.73,-0.54,-1.43,-0.29
2589369,3.71,8.87,1.8,-0.59,-1.67,-0.26
2589382,3.28,8.65,2.71,-0.64,-1.8,-0.23
2589396,2.96,8.66,3.35,-0.62,-1.81,-0.2
2589410,2.57,8.82,3.82,-0.51,-1.65,-0.17
2589423,2.24,8.94,4.1,-0.3,-1.33,-0.15
2589437,1.99,8.9,4.2,-0.09,-0.88,-0.13
2589451,1.87,8.64,4.09,0.09,-0.27,-0.1
