miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2388953,9.02,-0.62,1.23,3.17,0.2,0.19
2388966,9.29,-0.51,0.81,1.76,0.42,0.16
2388980,9.59,0.09,0.6,0.59,0.53,0.13
2388994,9.8,1.04,0.53,-0.31,0.54,0.1
2389007,9.95,2.05,0.5,-0.77,0.46,0.05
2389021,9.97,2.69,0.47,-0.87,0.36,-0.0
2389035,9.96,2.97,0.46,-0.78,0.24,-0.04
2389048,9.91,2.83,0.49,-0.67,0.16,-0.06
2389062,9.72,1.72,0.37,-0.91,0.14,-0.08
2389076,9.49,0.15,0.41,-1.82,0.27,-0.08
2389089,9.56,-0.2,0.74,-3.1,0.47,-0.08
2389103,9.82,0.78,1.2,-4.06,0.6,-0.11
2389117,9.99,2.58,1.51,-4.41,0.59,-0.18
2389130,9.98,3.51,1.6,-4.23,0.49,-0.25
2389144,9.98,3.61,1.7,-3.92,0.39,-0.29
2389158,9.95,3.4,1.92,-3.63,0.29,-0.32
2389171,9.89,2.87,2.07,-3.46,0.21,-0.34
2389185,9.87,2.95,2.32,-3.25,0.14,-0.37
2389199,9.8,3.18,2.54,-2.86,0.06,-0.41
2389212,9.82,3.46,2.69,-2.27,-0.03,-0.42
2389226,9.71,3.25,2.8,-1.69,-0.11,-0.39
2389240,9.63,2.94,2.9,-1.13,-0.16,-0.33
2389253,9.57,2.64,2.99,-0.68,-0.18,-0.26
2389267,9.51,2.47,2.98,-0.32,-0.18,-0.2
2389281,9.46,2.29,3.02,0.01,-0.17,-0.13
2389294,9.46,2.19,3.09,0.28,-0.17,-0.07
2389308,9.45,2.26,3.09,0.54,-0.18,-0.03
2389322,9.45,2.24,3.1,0.83,-0.21,-0.0
2389335,9.51,2.41,3.12,1.15,-0.24,0.02
2389350,9.6,2.71,3.17,1.66,-0.31,0.04
2389363,9.64,2.98,3.22,2.25,-0.39,0.05
2389377,9.65,3.37,3.2,3.05,-0.48,0.08
2389391,9.57,3.49,3.18,3.89,-0.54,0.12
2389404,9.4,3.31,3.1,4.57,-0.53,0.17
2389418,9.27,2.91,2.97,5.08,-0.44,0.22
2389432,9.22,2.12,2.7,5.21,-0.3,0.26
2389445,9.23,1.45,2.41,5.0,-0.16,0.27
2389459,9.22,0.8,1.91,4.43,0.01,0.25
2389473,9.3,0.36,1.42,3.6,0.19,0.22
2389486,9.41,0.22,1.04,2.68,0.33,0.18
2389500,9.55,0.43,0.65,1.7,0.44,0.16
2389514,9.68,0.84,0.35,0.86,0.5,0.13
2389527,9.8,1.32,0.23,0.26,0.5,0.09
2389541,9.92,1.74,0.22,-0.2,0.44,0.05
2389555,9.9,1.56,0.18,-0.62,0.36,0.0
2389568,9.69,0.56,0.11,-1.41,0.35,-0.04
2389582,9.58,-0.06,0.25,-2.55,0.44,-0.06
2389596,9.57,-0.24,0.5,-3.8,0.59,-0.08
2389609,9.86,1.09,1.01,-4.78,0.72,-0.12
2389623,10.14,2.85,1.33,-5.02,0.72,-0.21
2389637,10.29,4.05,1.41,-4.64,0.6,-0.29
2389650,10.32,4.69,1.53,-3.86,0.4,-0.36
2389664,10.3,4.61,1.67,-2.96,0.18,-0.38
2389678,10.16,3.87,1.7,-2.31,-0.0,-0.35
2389691,9.96,3.03,1.71,-1.86,-0.11,-0.28
2389705,9.8,2.52,1.82,-1.64,-0.14,-0.24
2389719,9.72,2.01,1.92,-1.61,-0.13,-0.21
2389732,9.67,2.02,2.08,-1.64,-0.11,-0.2
2389746,9.72,2.24,2.3,-1.64,-0.11,-0.19
2389760,9.75,2.6,2.44,-1.52,-0.14,-0.18
2389773,9.75,2.94,2.6,-1.22,-0.2,-0.17
2389787,9.71,3.05,2.72,-0.77,-0.27,-0.17
2389801,9.65,3.15,2.83,-0.25,-0.33,-0.15
2389814,9.62,2.92,2.92,0.3,-0.39,-0.11
2389828,9.58,2.77,3.0,0.82,-0.43,-0.06
2389842,9.62,2.73,3.04,1.29,-0.46,-0.02
2389855,9.68,2.83,3.13,1.84,-0.5,0.02
2389869,9.69,3.12,3.14,2.51,-0.56,0.05
2389883,9.73,3.49,3.12,3.24,-0.63,0.08
2389896,9.61,3.75,3.07,4.14,-0.67,0.12
2389910,9.42,3.3,2.98,4.86,-0.65,0.15
2389924,9.21,2.42,2.88,5.18,-0.55,0.17
2389938,9.07,1.36,2.62,5.03,-0.39,0.18
2389952,9.12,0.65,2.2,4.46,-0.18,0.17
2389965,9.1,0.34,1.63,3.61,0.04,0.14
2389979,9.25,0.74,1.17,2.84,0.25,0.12
2389993,9.38,1.07,0.78,2.15,0.41,0.09
2390006,9.54,1.4,0.48,1.63,0.5,0.07
2390020,9.7,1.57,0.32,1.23,0.51,0.05
2390034,9.86,1.62,0.16,0.85,0.47,0.04
2390047,9.98,1.65,0.04,0.49,0.39,0.01
2390061,9.98,1.71,-0.02,0.19,0.31,-0.02
2390075,9.91,1.47,-0.09,-0.22,0.24,-0.04
2390088,9.77,0.77,-0.13,-0.86,0.24,-0.07
2390102,9.65,0.15,-0.08,-1.74,0.32,-0.09
2390116,9.59,-0.11,0.15,-2.91,0.45,-0.12
2390129,9.69,0.3,0.5,-4.01,0.59,-0.15
2390143,9.77,0.92,0.78,-4.78,0.68,-0.19
2390157,9.91,1.84,1.13,-5.27,0.74,-0.25
2390170,10.16,3.34,1.44,-5.16,0.69,-0.32
2390184,10.17,3.76,1.53,-4.76,0.55,-0.39
2390198,10.09,3.56,1.78,-4.36,0.39,-0.43
