miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
1204189,0.91,4.74,-8.21,-0.29,0.08,-0.11
1204203,0.75,4.46,-8.23,0.22,0.07,-0.03
1204216,0.63,4.13,-8.3,0.6,0.1,-0.0
1204230,0.57,4.02,-8.36,0.91,0.19,-0.01
1204244,0.65,3.78,-8.5,1.17,0.33,-0.01
1204257,0.91,3.73,-8.58,1.41,0.47,0.09
1204271,1.01,3.46,-8.63,1.66,0.6,0.25
1204285,1.13,3.14,-8.64,1.9,0.7,0.43
1204298,1.14,2.63,-8.59,2.05,0.79,0.57
1204312,1.4,1.83,-8.52,2.06,0.62,0.56
1204326,1.71,1.02,-8.96,1.82,0.23,0.43
1204339,2.04,0.51,-9.26,1.37,-0.14,0.29
1204353,1.99,0.19,-9.51,0.67,-0.52,0.12
1204367,1.78,-0.15,-9.48,-0.24,-0.8,-0.03
1204380,1.31,-0.23,-9.61,-1.28,-0.87,-0.15
1204394,0.77,-0.56,-9.45,-2.63,-0.66,-0.28
1204407,0.54,0.59,-9.02,-3.64,-0.35,-0.43
1204420,0.63,2.48,-8.65,-4.14,-0.07,-0.54
1204434,0.82,4.33,-8.27,-3.99,0.12,-0.56
1204448,1.1,5.77,-8.11,-3.27,0.17,-0.49
1204461,1.28,6.5,-8.04,-2.27,0.1,-0.35
1204475,1.27,6.52,-8.02,-1.13,-0.04,-0.2
1204489,1.1,6.01,-7.92,-0.12,-0.18,-0.08
1204503,0.89,5.4,-7.87,0.58,-0.24,0.02
1204516,0.72,5.08,-7.95,1.19,-0.25,0.11
1204530,0.68,4.63,-8.01,1.65,-0.17,0.15
1204544,0.65,4.21,-8.06,1.99,-0.06,0.18
1204557,0.68,3.79,-8.26,2.25,0.08,0.22
1204571,0.75,3.06,-8.38,2.34,0.17,0.25
1204585,0.79,2.3,-8.49,2.25,0.21,0.26
1204598,0.87,1.76,-8.65,1.96,0.24,0.25
1204612,0.9,1.36,-8.8,1.56,0.27,0.24
1204626,0.96,1.08,-8.91,1.11,0.28,0.2
1204639,1.06,0.34,-8.92,0.41,0.18,0.09
1204653,1.11,-0.11,-9.06,-0.5,0.05,-0.07
1204667,1.16,0.12,-9.03,-1.49,-0.01,-0.22
1204680,1.08,0.8,-9.0,-2.51,-0.0,-0.35
1204694,0.82,1.64,-8.66,-3.29,0.13,-0.43
1204708,0.91,2.68,-8.23,-3.68,0.25,-0.48
1204721,1.02,4.32,-7.99,-3.58,0.31,-0.49
1204735,1.09,5.56,-7.91,-3.03,0.31,-0.45
1204749,1.16,6.29,-7.88,-2.2,0.27,-0.38
1204762,1.31,6.44,-7.78,-1.22,0.19,-0.25
1204776,1.28,5.98,-7.7,-0.41,0.1,-0.1
1204790,1.17,5.57,-7.75,0.16,0.03,0.02
1204803,1.1,5.13,-7.86,0.6,0.01,0.13
1204817,1.05,5.04,-8.01,0.99,0.03,0.18
1204831,1.07,4.71,-8.06,1.27,0.08,0.21
1204844,1.11,4.56,-8.19,1.57,0.15,0.24
1204858,1.28,4.68,-8.32,1.93,0.2,0.31
1204872,1.4,4.58,-8.35,2.39,0.23,0.41
1204885,1.28,4.36,-8.34,2.92,0.29,0.51
1204899,1.18,3.22,-8.26,3.2,0.39,0.56
1204913,1.2,1.88,-8.49,3.14,0.41,0.52
1204926,1.47,0.5,-8.77,2.62,0.38,0.42
1204940,1.69,-0.42,-9.12,1.82,0.29,0.28
1204954,1.91,-0.89,-9.35,0.74,0.11,0.11
1204967,1.88,-0.65,-9.46,-0.35,-0.06,-0.06
1204981,1.8,0.12,-9.49,-1.14,-0.2,-0.2
1204995,1.58,0.47,-9.42,-1.91,-0.3,-0.34
1205008,1.36,0.72,-9.19,-2.64,-0.27,-0.48
1205022,1.3,1.05,-8.81,-3.37,-0.14,-0.59
1205036,1.38,2.41,-8.52,-3.86,-0.07,-0.66
1205049,1.35,4.08,-8.34,-3.83,0.01,-0.64
1205063,1.56,5.43,-8.28,-3.3,0.01,-0.53
1205077,1.66,6.25,-8.11,-2.37,-0.08,-0.35
1205090,1.53,6.48,-7.95,-1.27,-0.21,-0.2
1205104,1.4,6.25,-7.92,-0.31,-0.32,-0.08
1205118,1.19,5.64,-7.84,0.51,-0.39,0.04
1205131,1.12,5.24,-7.84,1.2,-0.42,0.14
1205145,1.19,5.19,-7.9,1.8,-0.42,0.25
1205159,0.99,4.77,-7.99,2.39,-0.37,0.35
1205172,0.8,3.9,-8.15,2.77,-0.24,0.4
1205186,0.67,2.95,-8.3,2.85,-0.06,0.42
1205200,0.68,1.95,-8.5,2.6,0.21,0.42
1205214,0.79,1.37,-8.62,2.18,0.42,0.37
1205228,1.06,1.01,-8.63,1.62,0.56,0.31
1205241,1.27,0.86,-8.82,1.07,0.57,0.25
1205255,1.54,0.76,-8.9,0.52,0.4,0.14
1205269,1.87,0.62,-9.07,-0.03,0.05,0.0
1205282,1.93,0.89,-9.26,-0.52,-0.3,-0.12
1205296,1.69,0.71,-9.26,-1.22,-0.58,-0.25
1205310,1.3,1.02,-9.13,-1.93,-0.69,-0.34
1205323,0.81,1.25,-8.97,-2.6,-0.53,-0.39
1205337,0.58,2.13,-8.66,-3.07,-0.21,-0.43
1205351,0.57,3.08,-8.23,-3.28,0.1,-0.46
1205364,0.63,3.6,-8.05,-3.26,0.29,-0.46
1205378,0.99,4.69,-7.97,-2.98,0.36,-0.45
1205392,1.24,5.54,-8.06,-2.45,0.32,-0.38
1205405,1.4,6.14,-8.08,-1.82,0.22,-0.29
1205419,1.51,6.26,-8.01,-1.08,0.08,-0.16
1205433,1.41,6.05,-7.97,-0.4,-0.04,-0.03
1205446,1.2,5.77,-7.89,0.13,-0.11,0.05
1205460,1.09,5.39,-7.86,0.58,-0.14,0.12
1205474,1.11,5.39,-7.87,1.01,-0.14,0.17
1205487,1.09,5.2,-7.93,1.38,-0.11,0.22
1205501,1.11,5.0,-7.93,1.78,-0.06,0.28
1205515,1.1,4.63,-7.95,2.13,0.02,0.34
1205528,1.03,4.31,-7.99,2.43,0.1,0.4
1205542,0.93,3.79,-8.17,2.65,0.27,0.46
1205556,0.91,2.96,-8.34,2.7,0.48,0.49
1205569,1.16,2.02,-8.33,2.53,0.52,0.44
1205583,1.49,1.01,-8.59,2.08,0.32,0.33
1205597,1.86,0.25,-8.94,1.35,-0.02,0.2
1205610,1.93,0.07,-9.21,0.51,-0.36,0.06
1205624,1.72,0.22,-9.28,-0.43,-0.62,-0.11
1205638,1.32,0.61,-9.29,-1.32,-0.74,-0.26
1205651,0.67,0.43,-9.09,-2.26,-0.58,-0.36
1205665,0.4,0.9,-8.67,-3.18,-0.22,-0.48
1205679,0.49,2.07,-8.16,-3.84,0.16,-0.56
1205692,0.56,3.52,-7.81,-4.01,0.4,-0.61
1205706,0.76,4.9,-7.62,-3.73,0.55,-0.61
1205720,1.26,6.21,-7.61,-2.99,0.56,-0.5
1205734,1.56,7.02,-7.66,-2.06,0.45,-0.34
1205747,1.59,7.06,-7.72,-0.99,0.29,-0.15
1205761,1.54,6.68,-7.71,0.0,0.11,0.03
1205775,1.32,6.1,-7.65,0.72,-0.01,0.16
1205788,1.21,5.66,-7.7,1.35,-0.08,0.24
1205802,1.15,5.25,-7.89,1.81,-0.06,0.3
1205816,1.23,4.96,-8.08,2.18,0.0,0.34
1205829,1.29,4.6,-8.28,2.52,0.08,0.4
1205843,1.27,3.95,-8.47,2.74,0.16,0.46
1205857,1.34,3.19,-8.56,2.8,0.22,0.53
1205870,1.42,2.34,-8.55,2.65,0.2,0.56
1205884,1.56,1.48,-8.76,2.25,0.02,0.48
1205898,1.7,0.89,-9.04,1.7,-0.19,0.38
1205911,1.69,0.62,-9.31,0.96,-0.4,0.22
1205925,1.55,0.43,-9.38,0.12,-0.52,0.03
1205939,1.42,0.43,-9.25,-0.7,-0.59,-0.14
1205952,1.13,1.11,-9.17,-1.47,-0.56,-0.27
1205966,0.76,1.38,-8.86,-2.14,-0.36,-0.37
1205980,0.54,1.71,-8.67,-2.69,-0.08,-0.43
1205993,0.64,2.35,-8.37,-3.15,0.19,-0.48
1206007,0.97,3.69,-8.22,-3.23,0.35,-0.49
1206021,1.18,4.7,-8.18,-3.01,0.38,-0.46
1206034,1.32,5.39,-8.11,-2.52,0.32,-0.4
1206048,1.46,5.93,-7.98,-1.9,0.22,-0.33
1206062,1.47,6.14,-7.88,-1.17,0.09,-0.23
1206075,1.38,5.96,-7.79,-0.5,-0.01,-0.13
1206089,1.26,5.76,-7.79,0.07,-0.07,-0.02
1206103,1.15,5.29,-7.73,0.55,-0.09,0.08
1206116,1.11,5.32,-7.74,1.06,-0.1,0.16
1206130,1.08,5.08,-7.8,1.48,-0.1,0.22
1206144,1.03,4.8,-7.85,1.93,-0.05,0.26
1206157,1.02,4.46,-7.96,2.33,0.03,0.33
1206171,0.94,3.93,-8.1,2.6,0.17,0.4
1206185,0.87,3.25,-8.18,2.77,0.38,0.48
1206198,0.89,2.51,-8.11,2.8,0.6,0.54
1206212,1.1,1.85,-8.37,2.67,0.71,0.54
1206226,1.5,0.95,-8.74,2.3,0.59,0.48
1206239,2.05,-0.03,-9.06,1.65,0.23,0.37
1206253,2.28,-0.56,-9.31,0.8,-0.19,0.21
1206267,2.11,-0.44,-9.41,-0.23,-0.56,0.01
1206280,1.7,0.01,-9.52,-1.28,-0.76,-0.16
1206294,1.07,0.07,-9.36,-2.3,-0.64,-0.29
1206308,0.9,0.71,-8.88,-3.23,-0.41,-0.47
1206321,0.71,2.25,-8.53,-3.75,-0.09,-0.59
1206335,0.87,3.62,-8.22,-3.81,0.17,-0.62
1206349,1.12,4.66,-7.94,-3.5,0.31,-0.56
1206362,1.25,5.84,-7.92,-2.8,0.32,-0.49
1206376,1.36,6.4,-7.9,-1.96,0.26,-0.4
1206390,1.44,6.45,-7.86,-1.01,0.16,-0.28
1206403,1.53,6.22,-7.98,-0.13,0.07,-0.13
1206417,1.48,5.81,-7.98,0.54,0.02,0.04
1206431,1.29,5.19,-8.02,1.12,-0.02,0.17
1206444,1.15,4.89,-8.17,1.62,-0.02,0.24
1206458,1.19,4.49,-8.25,2.01,0.03,0.27
1206472,1.2,4.1,-8.34,2.34,0.11,0.33
1206485,1.24,3.47,-8.38,2.53,0.23,0.41
1206499,1.2,2.82,-8.32,2.54,0.34,0.47
1206513,1.26,2.07,-8.32,2.34,0.37,0.47
1206527,1.49,1.45,-8.47,1.95,0.27,0.42
1206540,1.73,0.9,-8.8,1.41,0.05,0.31
1206554,1.82,0.42,-9.18,0.64,-0.18,0.14
1206568,1.74,0.1,-9.24,-0.32,-0.35,-0.08
1206581,1.52,0.3,-9.17,-1.3,-0.4,-0.29
1206595,1.28,0.4,-8.95,-2.43,-0.33,-0.41
1206609,1.11,1.75,-8.67,-3.22,-0.21,-0.53
1206622,0.9,2.55,-8.37,-3.71,0.01,-0.6
1206636,1.03,3.77,-7.99,-3.81,0.19,-0.63
1206650,1.15,5.25,-7.79,-3.49,0.29,-0.6
1206664,1.29,6.25,-7.63,-2.77,0.29,-0.55
1206677,1.42,6.77,-7.61,-1.9,0.23,-0.45
1206691,1.69,6.97,-7.68,-0.89,0.15,-0.24
1206705,1.54,6.58,-7.68,0.02,0.05,-0.01
1206718,1.35,5.94,-7.6,0.71,-0.01,0.14
1206732,1.3,5.72,-7.69,1.37,-0.07,0.27
1206746,1.33,5.49,-7.77,1.97,-0.09,0.37
1206759,1.3,5.21,-8.0,2.51,-0.07,0.47
1206773,1.21,4.58,-8.12,2.99,0.03,0.55
1206787,1.23,3.6,-8.26,3.25,0.11,0.57
1206800,1.36,2.48,-8.37,3.17,0.11,0.56
1206814,1.47,1.34,-8.58,2.74,0.04,0.49
1206828,1.64,0.52,-8.86,2.02,-0.14,0.36
1206841,1.69,0.2,-9.11,1.2,-0.31,0.21
1206855,1.57,0.21,-9.32,0.23,-0.4,0.04
1206869,1.32,0.03,-9.35,-0.84,-0.39,-0.16
1206882,1.06,-0.31,-9.11,-1.99,-0.27,-0.36
1206896,0.96,0.32,-8.78,-3.18,-0.11,-0.58
1206910,0.85,2.07,-8.48,-3.9,0.1,-0.72
1206923,1.04,3.75,-8.13,-3.97,0.23,-0.74
1206937,1.02,5.22,-7.82,-3.47,0.31,-0.68
1206951,1.2,6.25,-7.72,-2.54,0.29,-0.57
1206965,1.45,6.82,-7.86,-1.45,0.23,-0.35
1206978,1.52,6.68,-7.89,-0.3,0.14,-0.07
1206992,1.36,5.98,-7.82,0.67,0.06,0.15
1207006,1.28,5.54,-7.83,1.41,-0.01,0.3
1207019,1.22,5.13,-7.9,2.05,-0.03,0.41
1207033,1.22,4.65,-8.05,2.58,0.03,0.5
1207047,1.28,4.04,-8.21,2.91,0.13,0.55
1207060,1.29,3.08,-8.22,3.02,0.24,0.58
1207074,1.35,2.1,-8.3,2.84,0.31,0.57
1207088,1.33,1.36,-8.43,2.46,0.36,0.51
1207101,1.38,0.84,-8.54,1.9,0.41,0.43
1207115,1.57,0.68,-8.58,1.33,0.39,0.34
1207129,1.78,0.62,-8.83,0.7,0.25,0.22
1207142,1.88,0.58,-9.16,0.09,0.09,0.07
1207156,1.84,0.53,-9.39,-0.51,-0.01,-0.11
1207170,1.69,0.08,-9.29,-1.38,-0.03,-0.33
1207183,1.65,-0.01,-9.03,-2.4,-0.01,-0.54
1207197,1.7,1.11,-8.81,-3.17,-0.0,-0.69
1207211,1.63,2.7,-8.79,-3.56,0.02,-0.75
1207224,1.69,4.2,-8.57,-3.36,0.02,-0.71
1207238,1.76,5.11,-8.33,-2.85,-0.06,-0.64
1207252,1.59,5.49,-8.24,-2.09,-0.11,-0.5
1207265,1.56,5.6,-8.09,-1.31,-0.16,-0.37
1207279,1.44,5.45,-8.14,-0.67,-0.19,-0.27
1207293,1.48,5.31,-8.19,-0.08,-0.17,-0.14
1207306,1.56,5.06,-8.24,0.38,-0.11,0.03
1207320,1.51,4.8,-8.18,0.74,-0.06,0.16
1207334,1.42,4.53,-8.15,1.08,-0.01,0.24
1207347,1.44,4.38,-8.25,1.4,0.03,0.29
1207361,1.49,4.25,-8.33,1.69,0.06,0.35
1207375,1.59,3.85,-8.44,1.98,0.06,0.41
1207389,1.6,3.25,-8.41,2.13,0.01,0.43
1207402,1.51,2.58,-8.48,2.11,-0.04,0.41
1207416,1.57,2.03,-8.62,1.92,-0.1,0.37
1207430,1.52,1.38,-8.81,1.51,-0.14,0.29
1207444,1.32,0.4,-9.06,0.74,-0.08,0.13
1207457,1.3,-0.09,-9.09,-0.14,-0.0,-0.08
1207471,1.24,-0.08,-8.91,-1.3,0.12,-0.34
1207485,1.3,0.46,-8.68,-2.35,0.24,-0.58
1207498,1.43,1.73,-8.54,-3.05,0.33,-0.71
1207512,1.52,3.16,-8.4,-3.27,0.37,-0.73
1207526,1.67,4.62,-8.27,-2.94,0.34,-0.67
1207539,1.77,5.3,-8.15,-2.36,0.24,-0.55
1207553,1.7,5.6,-8.09,-1.55,0.11,-0.41
1207567,1.72,5.56,-8.05,-0.77,-0.02,-0.26
1207580,1.64,5.21,-8.08,-0.18,-0.12,-0.11
1207594,1.47,4.77,-8.12,0.28,-0.15,0.02
1207608,1.49,4.48,-8.1,0.6,-0.14,0.14
1207621,1.52,4.38,-8.12,0.84,-0.12,0.22
1207635,1.54,4.34,-8.14,1.11,-0.11,0.29
1207649,1.64,4.6,-8.18,1.5,-0.11,0.35
1207662,1.64,4.62,-8.24,1.96,-0.15,0.43
