miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
1740748,9.31,0.5,1.24,5.69,-0.1,1.47
1740761,9.81,-0.24,0.86,5.49,-0.08,1.54
1740775,9.65,-0.8,0.24,5.07,0.1,1.48
1740789,10.58,-1.81,0.36,4.23,0.08,1.29
1740802,10.71,-2.64,0.3,3.2,-0.03,0.94
1740816,10.58,-2.4,0.02,1.77,-0.2,0.61
1740830,10.67,-2.58,0.01,0.15,-0.33,0.28
1740843,10.29,-2.98,-0.02,-1.46,-0.39,-0.07
1740857,9.75,-3.96,-0.03,-3.78,-0.21,-0.42
1740871,9.86,-4.26,0.88,-6.07,0.06,-0.79
1740884,9.9,-2.35,1.98,-7.46,0.24,-1.18
1740898,9.68,0.12,2.62,-8.04,0.34,-1.42
1740912,9.66,2.14,3.0,-7.48,0.35,-1.46
1740925,9.68,3.92,2.87,-6.03,0.3,-1.39
1740939,9.59,5.32,2.29,-3.79,0.2,-1.21
1740953,9.72,5.84,1.66,-1.25,0.09,-0.85
1740966,9.79,5.46,1.22,1.03,0.02,-0.37
1740980,9.95,4.8,1.42,3.17,-0.11,0.24
1740994,9.88,3.72,1.72,4.78,-0.27,0.81
1741007,9.73,2.6,1.73,5.88,-0.38,1.2
1741021,9.31,0.69,2.29,6.62,-0.42,1.36
1741035,9.95,0.54,0.94,6.84,-0.25,1.41
1741049,10.02,-0.64,0.86,6.62,-0.05,1.32
1741062,10.58,-2.5,0.65,5.79,-0.02,1.09
1741076,10.15,-3.78,0.13,4.03,-0.08,0.83
1741090,9.67,-5.0,-0.72,1.36,-0.02,0.58
1741103,9.98,-7.37,-0.43,-2.18,0.14,0.16
1741117,10.06,-6.03,0.7,-5.33,0.21,-0.41
1741131,9.9,-3.47,1.91,-7.52,0.26,-0.95
1741144,9.76,-0.78,2.97,-8.56,0.27,-1.37
1741158,9.5,1.9,3.47,-8.21,0.15,-1.52
1741172,9.15,4.64,3.05,-6.59,0.0,-1.46
1741185,9.76,7.77,2.45,-3.44,-0.22,-1.23
1741199,10.42,9.18,1.65,0.64,-0.45,-0.71
1741213,10.24,8.21,1.65,4.35,-0.56,-0.08
1741226,9.54,4.48,2.35,7.12,-0.45,0.48
1741240,9.04,0.71,2.65,8.41,-0.2,0.88
1741254,8.95,-1.66,2.3,8.49,-0.0,1.11
1741267,8.69,-3.9,2.61,7.71,0.15,1.17
1741281,9.52,-3.18,0.51,6.22,0.3,1.19
1741295,9.51,-4.08,-0.22,4.39,0.52,1.05
1741308,10.45,-5.95,-0.36,2.05,0.58,0.68
1741322,10.47,-5.3,-0.02,-0.68,0.48,0.31
1741336,10.59,-4.27,0.61,-3.21,0.31,-0.01
1741349,10.62,-3.42,1.58,-5.18,0.07,-0.5
1741363,9.97,-1.71,2.04,-6.31,-0.15,-0.99
1741377,9.54,-0.94,2.31,-7.05,-0.19,-1.32
1741391,9.48,-0.26,2.79,-7.29,-0.15,-1.58
1741405,9.58,0.81,2.95,-7.1,-0.11,-1.65
1741418,9.67,1.74,2.91,-6.33,-0.09,-1.56
1741432,9.35,2.81,2.44,-5.06,-0.04,-1.33
1741446,8.9,3.77,2.15,-3.24,0.04,-0.94
1741459,8.84,4.63,1.7,-1.12,0.11,-0.39
1741473,9.17,5.21,1.03,0.96,0.29,0.21
1741487,9.85,4.67,1.0,3.09,0.47,0.8
1741500,9.88,4.1,1.02,5.09,0.56,1.19
1741514,9.76,3.04,1.16,6.5,0.62,1.4
1741528,9.87,0.55,1.39,7.25,0.62,1.37
1741541,10.01,-0.03,0.64,7.35,0.75,1.35
1741555,10.15,-1.73,0.73,6.76,0.83,1.27
1741569,10.91,-4.38,0.12,5.2,0.7,1.04
1741582,10.37,-6.14,-0.68,2.34,0.6,0.8
1741596,10.88,-7.04,-0.44,-0.84,0.44,0.48
1741610,10.84,-6.25,0.37,-4.14,0.22,-0.08
1741623,10.45,-4.24,1.62,-6.68,0.05,-0.68
1741637,10.15,-1.48,2.82,-7.93,-0.12,-1.12
1741651,9.9,0.93,3.46,-8.08,-0.37,-1.38
1741664,9.77,2.98,3.44,-7.02,-0.62,-1.45
1741678,9.86,5.01,2.78,-5.0,-0.82,-1.35
1741692,9.82,6.86,1.67,-2.04,-0.76,-1.03
1741705,9.55,6.52,1.16,1.1,-0.51,-0.51
1741719,9.31,5.25,1.38,3.68,-0.17,0.02
1741733,9.12,3.48,1.76,5.64,0.18,0.58
1741746,9.15,1.67,1.66,6.79,0.47,0.98
1741760,9.19,0.71,1.3,7.46,0.71,1.12
1741774,9.46,-0.34,1.02,7.54,0.94,1.11
1741787,9.84,-2.05,0.65,6.76,1.07,1.03
1741801,10.12,-3.91,0.17,5.1,1.07,0.97
1741815,10.36,-6.13,-0.55,2.25,0.95,0.92
1741828,11.25,-7.25,0.15,-0.81,0.7,0.62
1741842,10.94,-5.77,0.6,-3.94,0.34,0.23
1741856,10.74,-4.41,1.73,-6.72,0.03,-0.33
1741870,10.29,-2.26,2.8,-8.38,-0.19,-0.94
1741883,9.79,-0.37,3.45,-8.73,-0.31,-1.37
1741897,9.73,1.54,4.16,-8.73,-0.45,-1.69
1741911,9.67,3.43,4.0,-7.41,-0.62,-1.81
1741924,9.59,5.24,3.04,-5.39,-0.61,-1.67
1741938,9.55,6.28,1.88,-2.61,-0.4,-1.24
1741952,9.53,5.71,1.3,0.26,-0.08,-0.72
1741965,9.68,4.12,1.52,2.53,0.17,-0.24
1741979,9.51,2.74,1.9,4.32,0.28,0.26
1741993,9.53,2.17,1.88,5.57,0.26,0.71
1742006,9.72,1.92,1.71,6.41,0.22,1.02
1742020,9.79,1.24,1.42,6.98,0.26,1.19
1742034,9.81,0.36,1.08,7.1,0.35,1.24
1742047,10.11,-0.68,0.83,6.77,0.42,1.17
1742061,9.93,-1.91,0.29,5.99,0.43,1.04
1742075,10.65,-3.33,0.28,4.97,0.35,0.8
1742088,10.43,-3.79,-0.35,3.13,0.13,0.6
1742102,10.52,-4.91,-0.38,0.7,-0.07,0.34
1742116,10.78,-5.08,0.12,-1.66,-0.32,0.08
1742129,10.59,-4.6,0.84,-4.26,-0.53,-0.28
1742143,10.36,-3.48,1.7,-6.3,-0.63,-0.71
1742157,10.03,-1.97,2.33,-7.6,-0.6,-1.09
1742170,9.76,-0.34,2.97,-8.22,-0.52,-1.37
1742184,9.58,1.18,3.33,-8.01,-0.41,-1.48
1742198,9.28,2.74,2.93,-6.95,-0.25,-1.47
1742211,8.84,4.4,1.81,-4.9,0.06,-1.31
1742225,9.04,5.23,1.05,-2.3,0.38,-0.97
1742239,9.64,4.99,0.99,0.16,0.55,-0.56
1742252,10.12,3.88,1.39,2.4,0.55,-0.07
1742266,10.26,2.94,1.73,4.11,0.36,0.42
1742280,10.06,1.96,1.71,5.2,0.17,0.81
1742293,9.99,1.14,1.56,6.03,0.04,1.1
1742307,9.85,0.32,1.32,6.43,0.0,1.24
1742321,9.84,-0.21,0.73,6.28,0.04,1.26
1742334,9.73,-1.25,0.36,5.92,0.21,1.17
1742348,10.67,-3.06,0.63,5.08,0.16,0.95
1742362,10.26,-3.58,0.53,3.71,-0.04,0.76
1742376,10.17,-4.34,0.26,1.48,-0.24,0.59
1742389,10.21,-4.92,0.33,-1.06,-0.38,0.37
1742403,10.04,-4.67,0.5,-3.51,-0.39,0.08
1742417,9.95,-3.74,1.24,-5.76,-0.31,-0.32
1742430,9.83,-2.16,2.08,-7.36,-0.18,-0.74
1742444,9.7,-1.07,2.92,-8.11,-0.06,-1.04
1742458,9.54,0.72,3.54,-7.97,0.01,-1.21
1742471,9.27,2.69,3.3,-6.85,0.07,-1.21
1742485,9.08,4.43,2.47,-4.99,0.2,-1.05
1742499,9.2,5.51,1.59,-2.45,0.38,-0.71
1742512,9.49,5.24,1.13,0.17,0.52,-0.31
1742526,9.83,4.26,1.12,2.3,0.58,0.07
1742540,10.23,3.56,1.5,4.26,0.47,0.49
1742553,10.01,3.05,1.42,5.84,0.3,0.86
1742567,9.67,1.6,0.96,6.82,0.28,1.09
1742581,9.74,-0.13,0.43,7.25,0.45,1.14
1742594,10.14,-1.95,0.36,6.55,0.48,1.1
1742608,9.94,-3.22,0.04,5.42,0.47,1.07
1742622,11.0,-4.69,0.24,3.59,0.21,0.96
