miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
485701,2.93,2.05,-7.91,-0.04,0.3,0.15
485715,2.91,2.11,-8.11,-0.17,-0.42,-0.02
485729,2.7,2.29,-8.33,-0.35,-1.08,-0.15
485742,1.95,2.54,-8.74,-0.65,-1.34,-0.2
485756,1.55,2.55,-8.59,-0.88,-1.33,-0.25
485770,0.92,3.04,-8.8,-1.01,-1.02,-0.27
485784,0.86,3.43,-8.51,-0.99,-0.64,-0.27
485797,0.91,3.71,-8.37,-0.82,-0.35,-0.25
485811,0.97,3.9,-8.27,-0.55,-0.11,-0.19
485825,1.07,3.96,-8.27,-0.23,0.02,-0.11
485838,1.14,3.72,-8.43,0.01,0.08,-0.02
485852,1.24,3.35,-8.53,0.15,0.11,0.05
485866,1.3,3.24,-8.68,0.19,0.11,0.09
485879,1.37,3.15,-8.77,0.17,0.11,0.1
485893,1.41,3.2,-8.8,0.13,0.11,0.09
485907,1.43,3.16,-8.85,0.08,0.11,0.07
485920,1.43,3.24,-8.91,0.02,0.11,0.04
485934,1.43,3.22,-8.89,-0.04,0.09,0.02
485948,1.44,3.24,-8.92,-0.1,0.06,-0.0
485961,1.46,3.31,-8.92,-0.15,0.03,-0.02
485975,1.48,3.46,-8.89,-0.16,-0.02,-0.02
485989,1.42,3.49,-8.91,-0.14,-0.05,-0.03
486002,1.39,3.43,-8.9,-0.1,-0.05,-0.04
486016,1.36,3.36,-8.86,-0.08,-0.01,-0.07
486030,1.33,3.38,-8.88,-0.07,0.03,-0.1
486043,1.3,3.34,-8.82,-0.07,0.09,-0.11
486057,1.29,3.33,-8.77,-0.03,0.17,-0.13
486071,1.28,3.28,-8.63,0.03,0.26,-0.13
486084,1.2,3.31,-8.63,0.14,0.39,-0.12
486098,1.2,3.41,-8.74,0.27,0.53,-0.08
486112,1.32,3.38,-8.75,0.43,0.66,-0.0
486125,1.49,3.14,-8.59,0.61,0.78,0.11
486139,1.52,3.04,-8.64,0.72,0.93,0.26
486153,1.66,2.68,-8.35,0.74,1.05,0.41
486166,1.88,2.26,-8.09,0.7,1.07,0.52
486180,2.34,1.74,-7.97,0.53,0.86,0.55
486194,2.65,1.46,-7.9,0.28,0.47,0.51
486207,2.92,1.53,-7.9,-0.0,-0.13,0.34
486221,2.89,1.78,-8.03,-0.28,-0.73,0.13
486235,2.56,2.16,-8.32,-0.5,-1.14,-0.05
486248,1.95,2.46,-8.55,-0.71,-1.27,-0.19
486262,1.42,2.72,-8.63,-0.9,-1.09,-0.28
486276,1.32,2.81,-8.37,-1.0,-0.86,-0.34
486289,1.22,3.08,-8.31,-0.96,-0.6,-0.36
486303,1.18,3.4,-8.29,-0.82,-0.37,-0.33
486317,1.17,3.55,-8.29,-0.6,-0.21,-0.25
486330,1.23,3.55,-8.38,-0.32,-0.12,-0.17
486344,1.34,3.37,-8.54,-0.09,-0.09,-0.07
486358,1.44,3.12,-8.72,0.02,-0.12,-0.02
486371,1.46,2.98,-9.01,0.05,-0.16,0.0
486385,1.45,3.0,-9.18,0.01,-0.18,0.01
486399,1.43,2.95,-9.17,-0.07,-0.16,-0.01
486412,1.41,3.04,-9.16,-0.17,-0.11,-0.05
486426,1.41,3.21,-9.07,-0.23,-0.06,-0.07
486440,1.37,3.36,-8.99,-0.24,-0.02,-0.09
486453,1.37,3.45,-8.95,-0.19,-0.02,-0.09
486467,1.37,3.44,-8.98,-0.13,-0.03,-0.08
486481,1.33,3.32,-8.95,-0.08,-0.01,-0.07
486494,1.28,3.23,-8.92,-0.08,0.02,-0.07
486508,1.28,3.21,-8.82,-0.11,0.07,-0.08
486522,1.26,3.2,-8.73,-0.09,0.14,-0.1
486535,1.23,3.16,-8.72,-0.09,0.23,-0.12
