miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
3167520,0.98,0.23,-8.88,3.74,-0.48,0.16
3167534,0.83,-0.63,-9.02,3.54,-0.46,0.19
3167547,0.6,-1.65,-9.15,3.1,-0.43,0.2
3167561,0.5,-2.36,-9.3,2.46,-0.36,0.17
3167575,0.49,-2.45,-9.48,1.85,-0.27,0.12
3167588,0.42,-2.53,-9.59,1.21,-0.16,0.1
3167602,0.46,-2.41,-9.59,0.66,-0.08,0.07
3167616,0.52,-2.21,-9.64,0.26,-0.03,0.04
3167629,0.53,-2.04,-9.66,-0.06,0.01,0.01
3167643,0.5,-2.22,-9.71,-0.43,0.06,-0.02
3167657,0.42,-2.92,-9.63,-1.02,0.16,-0.03
3167670,0.37,-3.06,-9.62,-1.88,0.3,-0.06
3167684,0.38,-2.87,-9.53,-2.81,0.46,-0.11
3167698,0.53,-1.87,-9.4,-3.51,0.58,-0.16
3167711,0.81,-0.68,-9.34,-3.95,0.67,-0.19
3167725,0.96,0.22,-9.19,-4.09,0.7,-0.21
3167739,1.14,1.25,-8.94,-4.02,0.67,-0.23
3167753,1.29,2.2,-8.83,-3.74,0.57,-0.24
3167766,1.42,2.92,-8.8,-3.34,0.46,-0.25
3167780,1.49,3.38,-8.74,-2.85,0.34,-0.25
3167794,1.49,3.69,-8.61,-2.37,0.24,-0.25
3167807,1.54,3.87,-8.52,-1.95,0.17,-0.24
3167821,1.43,3.79,-8.42,-1.6,0.13,-0.22
3167835,1.34,3.51,-8.3,-1.4,0.13,-0.21
3167848,1.3,3.49,-8.21,-1.3,0.14,-0.2
3167862,1.29,3.66,-8.11,-1.18,0.14,-0.2
3167876,1.37,3.98,-8.07,-0.96,0.1,-0.2
3167889,1.47,4.41,-8.0,-0.61,0.04,-0.18
3167903,1.5,4.64,-8.01,-0.1,-0.06,-0.14
3167917,1.51,4.59,-7.87,0.45,-0.16,-0.08
3167930,1.52,4.83,-7.91,1.07,-0.28,-0.05
3167944,1.41,4.56,-7.84,1.77,-0.39,0.02
3167958,1.34,4.21,-7.8,2.45,-0.5,0.06
3167971,1.17,3.42,-7.81,2.95,-0.56,0.1
3167985,0.97,2.4,-7.84,3.27,-0.58,0.1
3167999,0.84,1.42,-7.93,3.34,-0.55,0.09
3168012,0.71,0.7,-8.09,3.23,-0.5,0.07
3168026,0.72,0.31,-8.27,3.03,-0.45,0.05
3168040,0.79,0.31,-8.45,2.92,-0.43,0.05
3168053,0.76,0.08,-8.59,2.91,-0.4,0.09
3168067,0.74,-0.22,-8.58,2.96,-0.4,0.12
3168081,0.62,-0.65,-8.63,3.03,-0.4,0.14
3168094,0.46,-1.32,-8.61,2.99,-0.4,0.13
3168108,0.33,-2.04,-8.61,2.8,-0.35,0.1
3168122,0.28,-2.6,-8.66,2.41,-0.27,0.07
3168135,0.32,-2.61,-8.93,2.1,-0.19,0.04
3168150,0.2,-3.15,-9.01,1.71,-0.08,0.05
3168163,0.27,-3.55,-9.09,1.22,0.01,0.06
3168177,0.34,-3.88,-9.17,0.68,0.09,0.05
3168191,0.38,-3.79,-9.31,0.21,0.12,0.04
3168204,0.38,-3.67,-9.37,-0.24,0.15,0.03
3168218,0.28,-3.97,-9.47,-0.79,0.22,0.04
3168232,0.14,-4.45,-9.41,-1.6,0.34,0.05
3168245,0.18,-4.09,-9.41,-2.56,0.49,0.0
3168259,0.29,-3.19,-9.42,-3.36,0.64,-0.05
3168273,0.55,-2.31,-9.41,-3.89,0.76,-0.09
3168286,0.83,-1.23,-9.33,-4.21,0.82,-0.12
3168300,1.04,-0.12,-9.29,-4.27,0.81,-0.14
3168314,1.25,0.84,-9.22,-4.12,0.73,-0.15
3168327,1.38,1.72,-9.17,-3.77,0.61,-0.16
3168341,1.49,2.38,-9.13,-3.32,0.48,-0.16
3168355,1.49,2.8,-9.07,-2.87,0.37,-0.16
3168368,1.45,2.9,-8.94,-2.47,0.29,-0.14
3168382,1.48,3.07,-8.75,-2.14,0.23,-0.14
3168396,1.41,3.08,-8.71,-1.88,0.2,-0.15
3168409,1.4,3.09,-8.58,-1.67,0.18,-0.16
3168423,1.37,3.07,-8.41,-1.53,0.17,-0.17
3168437,1.41,3.24,-8.34,-1.4,0.15,-0.18
3168450,1.48,3.47,-8.26,-1.21,0.12,-0.17
3168464,1.44,3.67,-8.17,-0.96,0.08,-0.15
3168478,1.45,3.7,-8.11,-0.72,0.04,-0.14
3168491,1.43,3.7,-8.04,-0.45,-0.01,-0.12
3168505,1.37,3.63,-8.01,-0.21,-0.03,-0.1
3168519,1.35,3.54,-8.05,-0.01,-0.05,-0.07
3168532,1.24,3.27,-8.01,0.14,-0.04,-0.03
3168546,1.3,3.41,-7.99,0.31,-0.05,-0.01
3168560,1.32,3.53,-8.07,0.54,-0.07,0.02
3168573,1.32,3.62,-8.11,0.89,-0.11,0.05
3168587,1.41,3.59,-8.17,1.27,-0.16,0.09
3168601,1.34,3.36,-8.21,1.62,-0.21,0.12
3168614,1.3,2.96,-8.31,1.9,-0.24,0.13
3168628,1.25,2.45,-8.38,2.08,-0.25,0.14
3168642,1.23,2.16,-8.53,2.2,-0.25,0.13
3168655,1.28,2.02,-8.71,2.35,-0.27,0.12
3168669,1.34,1.95,-8.75,2.57,-0.32,0.12
3168683,1.39,2.12,-8.83,2.97,-0.41,0.11
3168696,1.25,1.53,-8.8,3.47,-0.49,0.14
3168710,1.05,0.51,-8.71,3.77,-0.55,0.15
3168724,0.74,-0.95,-8.75,3.74,-0.54,0.14
3168738,0.67,-2.04,-8.9,3.35,-0.48,0.1
3168751,0.56,-2.63,-9.1,2.81,-0.38,0.06
3168765,0.53,-2.79,-9.29,2.2,-0.26,0.04
3168779,0.57,-3.0,-9.36,1.63,-0.14,0.04
3168792,0.64,-3.13,-9.42,1.13,-0.07,0.05
3168806,0.7,-3.29,-9.49,0.6,-0.02,0.04
3168820,0.67,-3.19,-9.51,0.09,-0.0,0.02
3168833,0.66,-3.07,-9.57,-0.37,0.03,-0.0
3168847,0.48,-3.66,-9.57,-1.05,0.12,-0.01
3168861,0.32,-4.02,-9.49,-2.06,0.28,-0.04
3168874,0.31,-3.73,-9.37,-3.09,0.46,-0.1
3168888,0.42,-2.8,-9.32,-4.03,0.65,-0.17
3168902,0.67,-1.5,-9.15,-4.64,0.78,-0.21
3168915,0.96,-0.12,-9.01,-4.82,0.82,-0.23
3168929,1.24,1.32,-8.92,-4.62,0.77,-0.25
3168943,1.45,2.38,-8.88,-4.13,0.64,-0.26
3168956,1.6,3.05,-8.82,-3.57,0.5,-0.28
3168970,1.63,3.49,-8.76,-2.94,0.35,-0.31
3168984,1.55,3.53,-8.67,-2.45,0.25,-0.32
3168997,1.56,3.69,-8.6,-2.09,0.2,-0.32
3169011,1.59,3.77,-8.59,-1.74,0.17,-0.29
3169025,1.49,3.63,-8.51,-1.47,0.15,-0.24
3169038,1.5,3.6,-8.41,-1.28,0.13,-0.22
3169052,1.47,3.45,-8.26,-1.13,0.1,-0.2
3169066,1.43,3.44,-8.17,-1.04,0.07,-0.2
3169079,1.37,3.3,-8.06,-1.04,0.07,-0.19
3169093,1.34,3.34,-7.94,-1.08,0.08,-0.18
3169107,1.36,3.59,-7.82,-1.09,0.08,-0.17
3169120,1.34,3.85,-7.74,-1.03,0.08,-0.14
3169134,1.35,4.19,-7.69,-0.85,0.07,-0.11
3169148,1.42,4.63,-7.64,-0.51,0.04,-0.08
3169161,1.5,4.9,-7.68,-0.05,-0.01,-0.03
3169175,1.6,4.91,-7.56,0.5,-0.09,0.04
3169189,1.71,5.24,-7.62,1.2,-0.23,0.09
3169202,1.6,5.11,-7.75,1.93,-0.35,0.15
3169216,1.47,4.52,-7.78,2.63,-0.44,0.21
3169230,1.36,3.66,-7.81,3.13,-0.5,0.25
3169243,1.26,3.0,-7.92,3.43,-0.53,0.25
3169257,1.18,2.37,-8.0,3.64,-0.55,0.23
3169271,1.24,2.18,-8.24,3.88,-0.59,0.19
3169284,1.07,1.46,-8.44,4.09,-0.61,0.2
3169298,0.83,0.11,-8.56,4.02,-0.59,0.2
3169312,0.69,-0.93,-8.76,3.66,-0.53,0.18
3169325,0.54,-1.75,-8.97,3.1,-0.43,0.14
3169339,0.48,-2.23,-9.26,2.39,-0.3,0.09
3169353,0.51,-2.37,-9.39,1.66,-0.16,0.06
3169367,0.65,-2.03,-9.52,1.14,-0.09,0.03
3169380,0.76,-1.56,-9.58,0.85,-0.07,0.01
3169394,0.78,-1.2,-9.67,0.85,-0.1,0.01
3169408,0.72,-1.56,-9.63,0.84,-0.12,0.03
3169421,0.65,-2.08,-9.54,0.69,-0.12,0.04
3169435,0.49,-2.41,-9.55,0.4,-0.09,0.03
3169449,0.45,-2.52,-9.58,-0.0,-0.03,-0.0
3169462,0.45,-2.53,-9.58,-0.44,0.04,-0.04
3169476,0.45,-2.76,-9.49,-0.92,0.12,-0.05
3169490,0.52,-2.47,-9.48,-1.43,0.19,-0.08
3169503,0.62,-1.92,-9.51,-1.8,0.23,-0.1
3169517,0.64,-1.44,-9.48,-2.0,0.25,-0.11
3169531,0.73,-1.05,-9.44,-2.11,0.27,-0.11
3169544,0.76,-0.85,-9.32,-2.23,0.29,-0.11
3169558,0.78,-0.72,-9.22,-2.42,0.32,-0.12
3169572,0.86,-0.25,-9.04,-2.61,0.34,-0.15
3169585,0.95,0.46,-9.02,-2.68,0.34,-0.18
3169599,0.98,0.96,-8.89,-2.63,0.33,-0.22
3169613,1.1,1.53,-8.78,-2.48,0.3,-0.25
3169627,1.21,2.04,-8.75,-2.22,0.26,-0.26
3169640,1.2,2.25,-8.74,-1.93,0.22,-0.25
3169654,1.2,2.3,-8.59,-1.69,0.18,-0.23
3169668,1.16,2.32,-8.55,-1.48,0.14,-0.21
3169681,1.12,2.33,-8.49,-1.33,0.13,-0.19
3169695,1.07,2.38,-8.4,-1.22,0.12,-0.19
3169709,1.09,2.58,-8.35,-1.08,0.12,-0.18
3169722,1.13,2.9,-8.31,-0.84,0.09,-0.17
3169736,1.2,3.21,-8.25,-0.51,0.05,-0.14
3169750,1.23,3.36,-8.29,-0.05,-0.01,-0.09
3169764,1.22,3.22,-8.22,0.41,-0.06,-0.02
3169777,1.22,3.29,-8.26,0.89,-0.13,0.02
3169791,1.22,3.07,-8.28,1.41,-0.2,0.06
3169805,1.2,2.61,-8.28,1.86,-0.25,0.1
3169818,1.16,2.05,-8.33,2.14,-0.29,0.12
3169832,1.06,1.48,-8.41,2.32,-0.31,0.12
3169846,0.98,1.21,-8.56,2.45,-0.33,0.1
3169859,0.9,0.82,-8.62,2.54,-0.32,0.08
3169873,0.96,0.76,-8.78,2.7,-0.33,0.07
3169887,0.97,0.35,-8.81,2.9,-0.35,0.1
3169900,0.89,-0.11,-8.8,3.05,-0.39,0.11
3169914,0.75,-1.07,-8.87,3.05,-0.39,0.12
3169928,0.57,-2.06,-8.96,2.74,-0.34,0.11
3169941,0.46,-2.75,-9.04,2.21,-0.24,0.09
3169955,0.35,-2.73,-9.23,1.64,-0.13,0.05
3169969,0.46,-2.53,-9.27,1.23,-0.05,0.03
3169982,0.77,-2.04,-9.26,1.11,-0.04,0.01
3169996,0.79,-1.43,-9.39,1.39,-0.12,0.01
3170010,0.64,-2.31,-9.29,1.6,-0.17,0.07
3170023,0.45,-3.45,-9.16,1.43,-0.18,0.1
3170037,0.26,-4.21,-9.18,0.86,-0.12,0.09
3170051,0.25,-4.17,-9.24,0.17,-0.02,0.06
3170064,0.3,-3.84,-9.24,-0.39,0.06,0.02
3170078,0.29,-3.93,-9.25,-0.97,0.16,0.01
3170092,0.25,-3.99,-9.13,-1.68,0.25,-0.01
3170105,0.31,-3.52,-9.2,-2.28,0.34,-0.04
3170119,0.37,-2.9,-9.3,-2.79,0.44,-0.07
3170133,0.48,-2.47,-9.25,-3.21,0.53,-0.09
3170146,0.63,-1.83,-9.15,-3.53,0.59,-0.11
3170160,0.77,-0.94,-9.11,-3.7,0.62,-0.14
3170174,0.96,0.07,-9.13,-3.64,0.6,-0.18
3170187,1.13,0.8,-9.04,-3.43,0.54,-0.2
3170201,1.27,1.55,-8.99,-3.04,0.43,-0.23
3170215,1.28,1.91,-8.99,-2.61,0.32,-0.23
3170228,1.24,2.01,-8.94,-2.28,0.24,-0.23
3170242,1.23,2.06,-8.88,-2.02,0.2,-0.21
3170256,1.22,2.24,-8.76,-1.8,0.17,-0.18
3170269,1.2,2.44,-8.64,-1.58,0.16,-0.16
3170283,1.21,2.55,-8.54,-1.32,0.13,-0.15
3170297,1.2,2.53,-8.41,-1.08,0.1,-0.14
3170310,1.16,2.48,-8.33,-0.9,0.07,-0.12
3170324,1.11,2.56,-8.23,-0.71,0.05,-0.1
3170338,1.11,2.63,-8.22,-0.51,0.05,-0.07
3170352,1.11,2.63,-8.17,-0.29,0.04,-0.03
3170365,1.09,2.39,-8.21,-0.13,0.06,0.01
3170379,1.09,2.22,-8.14,-0.09,0.08,0.04
3170393,1.1,2.28,-8.15,-0.06,0.1,0.05
3170406,1.15,2.45,-8.21,0.02,0.1,0.06
3170420,1.21,2.69,-8.22,0.18,0.1,0.08
3170434,1.33,3.05,-8.35,0.51,0.07,0.1
3170447,1.46,3.25,-8.46,0.98,0.03,0.14
3170461,1.54,3.3,-8.49,1.5,-0.05,0.17
3170475,1.62,3.25,-8.61,2.13,-0.16,0.2
3170488,1.64,3.09,-8.64,2.82,-0.29,0.21
3170502,1.53,2.62,-8.67,3.49,-0.41,0.22
3170516,1.4,1.79,-8.66,4.12,-0.53,0.23
3170529,1.13,0.41,-8.61,4.46,-0.58,0.22
3170543,1.01,-0.79,-8.75,4.47,-0.58,0.2
3170557,0.71,-2.29,-8.84,4.12,-0.52,0.18
3170570,0.59,-3.6,-8.98,3.37,-0.4,0.14
3170584,0.58,-3.89,-9.12,2.55,-0.3,0.08
3170598,0.59,-3.81,-9.41,1.79,-0.19,0.03
3170611,0.68,-3.82,-9.46,1.13,-0.09,0.03
3170625,0.74,-3.83,-9.5,0.58,-0.04,0.03
3170639,0.79,-3.67,-9.51,0.06,-0.01,0.02
3170652,0.77,-3.54,-9.49,-0.41,0.01,0.01
3170666,0.66,-3.67,-9.49,-0.89,0.05,0.01
3170680,0.57,-3.85,-9.37,-1.57,0.13,-0.02
3170693,0.53,-3.52,-9.33,-2.28,0.24,-0.07
3170707,0.53,-3.0,-9.31,-2.87,0.37,-0.12
3170721,0.69,-2.42,-9.23,-3.37,0.5,-0.16
3170734,0.86,-1.69,-9.07,-3.74,0.58,-0.19
3170748,1.06,-0.72,-9.05,-3.88,0.6,-0.21
3170762,1.22,0.18,-9.03,-3.82,0.57,-0.22
3170775,1.41,1.07,-8.95,-3.58,0.49,-0.23
3170789,1.5,1.68,-8.89,-3.25,0.41,-0.24
3170803,1.55,2.19,-8.78,-2.85,0.31,-0.25
3170816,1.53,2.5,-8.66,-2.44,0.22,-0.25
3170830,1.49,2.66,-8.54,-2.09,0.15,-0.25
3170844,1.42,2.8,-8.47,-1.76,0.11,-0.25
3170857,1.35,2.8,-8.34,-1.48,0.1,-0.24
3170871,1.33,2.93,-8.26,-1.21,0.08,-0.24
3170885,1.36,3.18,-8.28,-0.85,0.05,-0.23
3170898,1.37,3.43,-8.29,-0.38,-0.01,-0.2
3170912,1.4,3.34,-8.31,0.11,-0.07,-0.15
3170926,1.38,3.31,-8.26,0.64,-0.16,-0.08
3170939,1.38,3.22,-8.28,1.21,-0.25,-0.02
3170953,1.35,2.94,-8.31,1.72,-0.32,0.05
3170967,1.25,2.36,-8.27,2.17,-0.38,0.1
3170981,1.15,1.81,-8.27,2.49,-0.42,0.12
3170994,1.12,1.36,-8.34,2.69,-0.43,0.11
3171008,1.07,0.94,-8.48,2.87,-0.43,0.1
3171022,1.02,0.56,-8.53,2.98,-0.43,0.1
3171035,1.02,0.16,-8.55,3.08,-0.43,0.1
3171049,0.94,-0.29,-8.71,3.17,-0.44,0.11
3171063,0.79,-1.14,-8.69,3.13,-0.44,0.12
3171076,0.71,-1.86,-8.74,2.95,-0.42,0.11
3171090,0.57,-2.38,-8.86,2.64,-0.38,0.09
3171104,0.43,-3.02,-9.0,2.2,-0.29,0.08
3171117,0.38,-3.31,-9.07,1.62,-0.18,0.07
3171131,0.43,-3.56,-9.17,1.02,-0.06,0.07
3171145,0.4,-3.45,-9.19,0.49,0.02,0.07
3171158,0.55,-3.25,-9.23,0.02,0.07,0.05
3171172,0.6,-2.98,-9.31,-0.36,0.09,0.04
3171186,0.5,-3.26,-9.39,-0.77,0.14,0.04
3171199,0.48,-3.72,-9.36,-1.47,0.24,0.02
3171213,0.41,-3.65,-9.37,-2.34,0.36,-0.03
3171227,0.43,-3.23,-9.35,-3.13,0.5,-0.09
3171240,0.62,-2.17,-9.31,-3.77,0.61,-0.16
3171254,0.81,-0.94,-9.28,-4.06,0.67,-0.2
3171268,1.02,0.13,-9.3,-4.03,0.67,-0.23
3171281,1.2,0.87,-9.25,-3.82,0.62,-0.23
3171295,1.33,1.65,-9.13,-3.5,0.52,-0.23
3171309,1.39,2.24,-9.12,-3.12,0.41,-0.24
3171322,1.41,2.62,-9.06,-2.7,0.31,-0.25
3171336,1.42,2.86,-9.01,-2.32,0.23,-0.25
3171350,1.44,3.05,-8.95,-2.02,0.17,-0.26
3171363,1.47,3.06,-8.91,-1.76,0.13,-0.26
3171377,1.43,2.86,-8.72,-1.65,0.11,-0.24
3171391,1.42,2.97,-8.64,-1.61,0.09,-0.24
3171404,1.33,2.92,-8.44,-1.62,0.09,-0.23
3171418,1.3,3.08,-8.21,-1.65,0.1,-0.25
3171432,1.27,3.27,-8.09,-1.65,0.1,-0.26
3171445,1.21,3.39,-7.91,-1.62,0.1,-0.26
3171459,1.18,3.78,-7.8,-1.52,0.1,-0.26
3171473,1.22,4.1,-7.76,-1.33,0.09,-0.23
3171486,1.24,4.42,-7.66,-1.01,0.08,-0.18
3171500,1.3,4.77,-7.62,-0.56,0.03,-0.11
3171513,1.32,4.93,-7.65,-0.09,-0.02,-0.04
3171526,1.36,4.86,-7.53,0.48,-0.09,0.03
3171540,1.46,4.92,-7.55,1.12,-0.2,0.08
3171554,1.46,4.84,-7.67,1.75,-0.3,0.13
3171568,1.45,4.65,-7.76,2.44,-0.39,0.19
3171581,1.33,4.15,-7.8,3.08,-0.46,0.24
3171595,1.23,3.49,-7.87,3.56,-0.51,0.26
3171609,1.13,2.52,-7.95,3.88,-0.55,0.27
3171622,1.03,1.79,-8.23,4.03,-0.57,0.25
3171636,0.82,0.63,-8.4,3.93,-0.54,0.23
3171650,0.7,-0.33,-8.63,3.58,-0.49,0.19
3171663,0.59,-0.97,-8.88,3.06,-0.41,0.15
3171677,0.56,-1.37,-9.1,2.53,-0.32,0.12
3171691,0.68,-1.09,-9.34,2.12,-0.27,0.08
3171704,0.78,-0.97,-9.44,1.91,-0.24,0.08
3171718,0.66,-1.18,-9.44,1.79,-0.24,0.08
3171732,0.61,-1.66,-9.43,1.55,-0.22,0.09
3171745,0.44,-2.29,-9.44,1.12,-0.17,0.07
3171759,0.38,-2.63,-9.54,0.56,-0.09,0.02
3171773,0.37,-2.71,-9.58,-0.1,0.01,-0.03
3171786,0.38,-2.74,-9.68,-0.73,0.11,-0.07
3171800,0.36,-3.0,-9.5,-1.53,0.24,-0.09
3171814,0.47,-2.54,-9.53,-2.28,0.34,-0.14
3171827,0.5,-1.88,-9.45,-2.84,0.43,-0.16
3171841,0.59,-1.06,-9.36,-3.24,0.51,-0.18
3171855,0.79,-0.18,-9.16,-3.45,0.55,-0.19
3171868,0.92,0.63,-9.03,-3.45,0.54,-0.21
3171882,1.05,1.43,-8.99,-3.27,0.49,-0.24
3171896,1.16,1.94,-8.86,-3.0,0.44,-0.27
3171909,1.18,2.35,-8.82,-2.72,0.38,-0.3
3171923,1.26,2.56,-8.76,-2.43,0.33,-0.32
3171937,1.31,2.78,-8.71,-2.2,0.3,-0.3
3171950,1.29,2.93,-8.7,-2.02,0.28,-0.26
3171964,1.26,3.06,-8.62,-1.83,0.27,-0.22
3171978,1.31,3.17,-8.53,-1.64,0.26,-0.2
3171991,1.32,3.29,-8.37,-1.44,0.22,-0.21
3172005,1.33,3.36,-8.28,-1.26,0.18,-0.21
3172019,1.28,3.28,-8.17,-1.14,0.15,-0.19
3172032,1.21,3.37,-8.17,-1.05,0.14,-0.18
3172046,1.16,3.49,-8.12,-0.94,0.13,-0.15
3172060,1.23,3.85,-8.1,-0.75,0.11,-0.12
3172073,1.35,4.26,-8.09,-0.42,0.06,-0.08
3172087,1.41,4.43,-8.19,0.05,-0.01,-0.0
3172101,1.43,4.46,-8.1,0.58,-0.09,0.07
3172114,1.49,4.48,-8.13,1.12,-0.18,0.12
3172128,1.46,4.41,-8.14,1.73,-0.29,0.18
3172142,1.41,4.08,-8.14,2.35,-0.39,0.24
3172156,1.33,3.64,-8.17,2.86,-0.46,0.27
3172169,1.21,2.93,-8.18,3.3,-0.52,0.29
3172183,1.07,2.1,-8.18,3.58,-0.56,0.29
3172197,1.02,1.48,-8.39,3.74,-0.59,0.27
3172210,0.89,0.63,-8.51,3.74,-0.58,0.26
3172224,0.87,0.14,-8.71,3.69,-0.56,0.24
3172238,0.72,-0.5,-8.87,3.59,-0.52,0.24
3172252,0.68,-1.15,-8.94,3.4,-0.48,0.23
3172265,0.58,-2.01,-9.0,3.03,-0.43,0.22
3172279,0.41,-2.56,-9.1,2.49,-0.35,0.19
3172293,0.46,-2.63,-9.26,1.96,-0.29,0.15
3172306,0.37,-2.66,-9.27,1.46,-0.21,0.13
3172320,0.45,-2.67,-9.33,1.03,-0.14,0.1
3172334,0.36,-2.83,-9.33,0.64,-0.08,0.08
3172347,0.4,-2.86,-9.34,0.22,-0.03,0.05
3172361,0.32,-2.97,-9.31,-0.22,0.02,0.02
3172375,0.24,-3.32,-9.43,-0.76,0.09,-0.01
3172388,0.18,-3.77,-9.35,-1.61,0.22,-0.04
3172402,0.12,-3.54,-9.29,-2.54,0.37,-0.1
3172416,0.18,-2.76,-9.23,-3.27,0.5,-0.16
3172429,0.41,-1.67,-9.22,-3.77,0.62,-0.19
3172443,0.67,-0.64,-9.16,-4.0,0.7,-0.2
3172457,0.9,0.37,-9.09,-3.96,0.69,-0.2
3172471,1.06,1.28,-9.05,-3.72,0.62,-0.2
3172484,1.19,1.87,-8.98,-3.36,0.53,-0.22
3172498,1.27,2.36,-8.91,-3.0,0.42,-0.25
3172512,1.23,2.54,-8.82,-2.66,0.33,-0.27
3172525,1.26,2.77,-8.74,-2.39,0.27,-0.3
3172539,1.21,2.89,-8.67,-2.19,0.24,-0.32
3172553,1.2,3.02,-8.59,-2.04,0.23,-0.33
3172566,1.12,3.0,-8.47,-1.93,0.25,-0.33
3172580,1.14,3.2,-8.39,-1.83,0.27,-0.33
3172594,1.21,3.54,-8.27,-1.67,0.26,-0.32
3172607,1.28,3.87,-8.19,-1.42,0.22,-0.3
3172621,1.34,4.16,-8.12,-1.1,0.17,-0.26
3172635,1.32,4.35,-8.07,-0.69,0.08,-0.21
3172648,1.34,4.49,-8.04,-0.21,-0.01,-0.15
3172662,1.31,4.31,-8.04,0.22,-0.08,-0.08
3172676,1.26,4.32,-7.99,0.71,-0.16,-0.03
3172689,1.34,4.26,-8.01,1.24,-0.25,0.03
3172703,1.23,3.97,-7.99,1.73,-0.32,0.08
3172717,1.14,3.4,-8.01,2.16,-0.37,0.13
3172730,1.04,2.73,-8.09,2.43,-0.4,0.17
3172744,0.99,2.09,-8.14,2.53,-0.39,0.19
3172758,0.94,1.48,-8.26,2.49,-0.37,0.18
3172771,0.85,1.05,-8.47,2.34,-0.34,0.16
3172785,0.91,1.08,-8.66,2.23,-0.31,0.14
3172799,0.93,0.97,-8.72,2.2,-0.29,0.15
3172812,1.0,1.34,-8.88,2.4,-0.33,0.15
3172826,0.91,1.11,-8.85,2.7,-0.38,0.19
3172840,0.74,0.31,-8.79,2.94,-0.42,0.22
3172853,0.59,-0.37,-8.77,3.0,-0.44,0.21
3172867,0.46,-1.01,-8.87,2.91,-0.42,0.18
3172881,0.43,-1.28,-8.97,2.79,-0.38,0.14
3172894,0.43,-1.4,-9.08,2.77,-0.34,0.12
3172908,0.39,-2.25,-9.08,2.65,-0.28,0.13
3172922,0.32,-3.07,-9.19,2.31,-0.21,0.12
3172935,0.26,-3.88,-9.19,1.75,-0.14,0.11
