miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
3193358,8.93,2.51,-2.31,0.66,-0.14,0.0
3193372,8.9,2.33,-2.32,0.89,-0.15,0.05
3193386,8.89,2.19,-2.35,1.1,-0.16,0.09
3193399,8.94,2.13,-2.44,1.31,-0.17,0.13
3193413,8.98,2.11,-2.51,1.53,-0.19,0.17
3193427,8.97,1.99,-2.68,1.77,-0.21,0.22
3193440,8.97,1.85,-2.79,2.03,-0.21,0.27
3193454,8.97,1.66,-2.91,2.23,-0.21,0.3
3193468,8.96,1.51,-3.02,2.45,-0.21,0.34
3193481,8.93,1.19,-3.08,2.63,-0.19,0.37
3193495,8.93,0.83,-3.2,2.73,-0.17,0.39
3193509,8.98,0.57,-3.29,2.77,-0.16,0.39
3193523,9.05,0.7,-3.41,2.87,-0.17,0.39
3193537,9.03,0.45,-3.53,3.01,-0.19,0.4
3193550,9.04,0.05,-3.56,3.06,-0.2,0.4
3193564,8.93,-0.69,-3.68,2.94,-0.18,0.4
3193578,8.85,-1.61,-3.82,2.51,-0.13,0.37
3193591,8.78,-2.28,-3.96,1.84,-0.06,0.3
3193605,8.75,-2.64,-4.14,0.93,0.03,0.21
3193619,8.8,-2.51,-4.21,-0.0,0.13,0.09
3193632,8.92,-1.97,-4.28,-0.74,0.19,-0.01
3193646,8.95,-1.9,-4.17,-1.45,0.26,-0.08
3193660,8.98,-1.46,-4.12,-2.09,0.31,-0.17
3193673,9.0,-1.18,-4.05,-2.59,0.36,-0.23
3193687,9.02,-0.86,-3.96,-3.07,0.42,-0.29
3193701,9.12,-0.2,-3.67,-3.43,0.46,-0.35
3193714,9.22,0.69,-3.55,-3.55,0.43,-0.4
3193728,9.32,1.68,-3.56,-3.34,0.35,-0.44
3193742,9.29,2.06,-3.3,-2.95,0.25,-0.45
3193755,9.31,2.19,-3.44,-2.57,0.18,-0.42
3193769,9.21,2.13,-3.31,-2.22,0.11,-0.38
3193783,9.17,2.13,-3.23,-1.93,0.06,-0.33
3193796,9.12,2.15,-3.15,-1.69,0.02,-0.29
3193810,9.02,1.93,-3.07,-1.5,0.01,-0.27
3193824,8.99,1.83,-2.97,-1.4,0.01,-0.27
3193837,9.02,1.97,-2.88,-1.32,0.01,-0.27
3193851,9.01,2.21,-2.77,-1.19,-0.0,-0.26
3193865,9.03,2.44,-2.69,-0.98,-0.03,-0.23
3193878,9.03,2.48,-2.72,-0.75,-0.04,-0.19
3193892,9.01,2.53,-2.68,-0.47,-0.05,-0.15
3193905,8.95,2.52,-2.57,-0.2,-0.06,-0.1
3193918,8.91,2.34,-2.56,0.05,-0.07,-0.05
3193932,8.92,2.35,-2.52,0.3,-0.08,-0.01
3193946,8.98,2.51,-2.61,0.6,-0.11,0.04
3193960,9.01,2.57,-2.58,1.0,-0.14,0.11
3193973,9.0,2.38,-2.68,1.39,-0.17,0.17
3193987,8.99,1.99,-2.72,1.69,-0.18,0.22
3194001,8.91,1.53,-2.78,1.88,-0.18,0.26
3194014,8.89,1.16,-2.91,1.93,-0.17,0.27
3194028,8.87,0.99,-3.01,1.91,-0.14,0.26
3194042,8.96,0.84,-3.21,1.89,-0.11,0.24
3194055,8.95,0.79,-3.35,1.86,-0.09,0.23
3194069,9.01,0.76,-3.4,1.88,-0.06,0.23
3194083,9.06,0.95,-3.51,1.98,-0.08,0.24
3194096,9.08,0.91,-3.57,2.18,-0.1,0.28
3194110,9.11,1.09,-3.55,2.46,-0.15,0.3
3194124,9.08,0.88,-3.64,2.87,-0.21,0.33
3194137,8.98,-0.01,-3.57,3.06,-0.22,0.36
3194151,8.92,-0.79,-3.6,3.0,-0.21,0.34
3194165,8.83,-1.63,-3.75,2.62,-0.17,0.31
3194178,8.78,-2.26,-3.92,1.99,-0.09,0.26
3194192,8.81,-2.59,-4.05,1.23,-0.01,0.2
3194206,8.86,-2.69,-4.1,0.37,0.08,0.12
3194219,8.9,-2.43,-4.1,-0.46,0.14,0.02
3194233,8.93,-2.3,-4.2,-1.17,0.2,-0.07
3194247,8.89,-2.05,-4.1,-1.92,0.27,-0.17
3194260,8.93,-1.47,-4.03,-2.56,0.33,-0.27
3194274,9.0,-0.85,-3.92,-2.96,0.37,-0.34
3194288,9.06,-0.26,-3.8,-3.21,0.4,-0.4
3194301,9.15,0.4,-3.69,-3.29,0.4,-0.44
3194315,9.19,0.92,-3.57,-3.22,0.37,-0.46
3194329,9.22,1.5,-3.51,-2.97,0.3,-0.48
3194342,9.23,1.81,-3.32,-2.59,0.22,-0.46
3194356,9.22,1.98,-3.45,-2.27,0.12,-0.43
3194370,9.15,2.21,-3.3,-1.87,0.05,-0.37
3194383,9.13,2.02,-3.39,-1.51,0.0,-0.32
3194397,9.03,1.66,-3.27,-1.31,-0.0,-0.29
3194411,8.99,1.37,-3.15,-1.24,0.02,-0.28
3194424,8.93,1.33,-3.1,-1.28,0.04,-0.28
3194438,8.94,1.45,-3.0,-1.34,0.06,-0.28
3194452,8.98,1.58,-2.95,-1.36,0.07,-0.28
3194465,8.95,1.61,-2.84,-1.35,0.08,-0.28
3194479,8.93,1.68,-2.76,-1.35,0.09,-0.28
3194493,9.0,2.02,-2.68,-1.28,0.07,-0.27
3194506,9.0,2.32,-2.66,-1.11,0.05,-0.24
3194520,9.05,2.65,-2.57,-0.83,0.01,-0.19
3194534,9.09,2.93,-2.56,-0.41,-0.04,-0.11
3194548,9.07,2.85,-2.57,0.07,-0.07,0.01
3194562,9.11,3.06,-2.56,0.62,-0.13,0.11
3194575,9.07,3.01,-2.53,1.15,-0.2,0.2
3194589,9.08,2.88,-2.6,1.72,-0.26,0.29
3194603,9.03,2.51,-2.68,2.22,-0.3,0.37
3194616,8.92,2.03,-2.7,2.54,-0.32,0.41
3194630,8.86,1.45,-2.78,2.74,-0.31,0.43
3194644,8.88,1.12,-2.95,2.8,-0.29,0.42
3194657,8.82,0.81,-3.1,2.81,-0.26,0.41
3194671,8.91,0.73,-3.25,2.83,-0.22,0.38
3194685,8.93,0.77,-3.4,2.92,-0.21,0.37
3194698,8.89,0.23,-3.47,2.96,-0.18,0.38
3194712,8.94,-0.03,-3.55,2.94,-0.16,0.36
3194726,8.88,-0.56,-3.68,2.84,-0.15,0.34
3194739,8.83,-1.25,-3.73,2.57,-0.12,0.31
3194753,8.86,-1.69,-3.89,2.12,-0.09,0.25
3194767,8.96,-1.66,-4.03,1.66,-0.08,0.19
3194780,9.0,-1.59,-4.21,1.31,-0.06,0.15
3194794,9.01,-1.62,-4.21,0.96,-0.03,0.12
3194808,8.99,-1.84,-4.25,0.57,-0.0,0.09
3194821,8.97,-2.02,-4.28,0.12,0.03,0.05
3194835,8.89,-2.28,-4.35,-0.47,0.07,0.0
3194849,8.77,-2.99,-4.22,-1.33,0.18,-0.07
3194862,8.71,-3.06,-4.01,-2.32,0.29,-0.19
3194876,8.76,-2.32,-3.78,-3.3,0.38,-0.33
3194890,8.91,-1.15,-3.63,-3.89,0.43,-0.44
3194903,9.04,0.1,-3.6,-4.11,0.44,-0.51
3194917,9.18,1.18,-3.51,-3.95,0.4,-0.55
3194931,9.28,1.79,-3.51,-3.55,0.33,-0.54
3194944,9.3,2.09,-3.55,-3.01,0.24,-0.5
3194958,9.25,2.29,-3.16,-2.48,0.12,-0.48
3194972,9.24,2.26,-3.45,-2.03,0.04,-0.4
3194986,9.09,2.02,-3.33,-1.66,-0.01,-0.33
3194999,8.98,1.73,-3.23,-1.42,-0.02,-0.29
3195013,8.95,1.57,-3.14,-1.28,-0.03,-0.28
3195027,8.9,1.47,-3.1,-1.18,-0.02,-0.27
3195040,8.88,1.36,-3.07,-1.17,0.01,-0.26
3195054,8.87,1.5,-2.98,-1.18,0.03,-0.25
3195068,8.87,1.76,-2.9,-1.13,0.04,-0.23
3195081,8.92,2.15,-2.79,-0.95,0.01,-0.2
3195095,8.99,2.47,-2.72,-0.67,-0.03,-0.16
3195109,9.0,2.66,-2.8,-0.26,-0.07,-0.07
3195123,8.96,2.55,-2.68,0.21,-0.09,0.02
3195136,9.02,2.65,-2.66,0.69,-0.14,0.09
3195150,9.02,2.65,-2.69,1.23,-0.2,0.18
3195164,8.99,2.55,-2.69,1.74,-0.24,0.25
3195177,9.0,2.4,-2.7,2.28,-0.29,0.32
3195191,8.96,2.31,-2.84,2.81,-0.33,0.38
3195205,8.87,1.83,-2.82,3.29,-0.34,0.43
3195218,8.76,1.35,-2.86,3.68,-0.35,0.44
3195232,8.74,1.02,-3.0,3.98,-0.35,0.44
3195246,8.74,0.55,-3.05,4.22,-0.32,0.44
3195259,8.67,-0.2,-3.21,4.36,-0.28,0.44
3195273,8.55,-1.45,-3.25,4.15,-0.2,0.42
3195287,8.63,-2.17,-3.47,3.63,-0.11,0.36
3195300,8.69,-2.54,-3.77,2.99,-0.03,0.29
3195314,8.75,-2.94,-3.99,2.3,0.05,0.23
3195328,8.83,-3.2,-4.15,1.47,0.14,0.17
3195342,8.92,-3.13,-4.2,0.64,0.19,0.09
3195355,9.01,-2.79,-4.29,-0.02,0.2,0.03
3195369,9.02,-2.44,-4.39,-0.58,0.19,-0.03
3195383,8.91,-2.79,-4.35,-1.2,0.22,-0.07
3195396,8.88,-2.67,-4.31,-1.84,0.27,-0.14
3195410,8.81,-2.43,-4.26,-2.54,0.33,-0.21
3195424,8.9,-1.75,-4.16,-3.11,0.4,-0.29
3195437,9.04,-0.89,-4.05,-3.41,0.43,-0.35
3195451,9.11,-0.22,-3.94,-3.52,0.43,-0.39
3195465,9.21,0.47,-3.78,-3.44,0.39,-0.42
3195478,9.27,1.06,-3.65,-3.2,0.3,-0.42
3195492,9.11,1.78,-3.62,-2.84,0.19,-0.43
3195506,9.23,1.48,-3.63,-2.42,0.12,-0.39
3195519,9.13,1.55,-3.42,-2.15,0.03,-0.37
3195533,9.1,1.65,-3.44,-1.83,-0.0,-0.3
3195547,9.02,1.49,-3.42,-1.61,-0.03,-0.25
3195560,8.95,1.34,-3.26,-1.43,-0.04,-0.25
3195574,8.96,1.28,-3.22,-1.28,-0.04,-0.25
3195588,8.94,1.29,-3.21,-1.15,-0.04,-0.25
3195601,8.92,1.15,-3.09,-1.1,-0.01,-0.26
3195615,8.91,1.22,-3.04,-1.1,0.02,-0.26
3195629,8.94,1.29,-2.98,-1.07,0.04,-0.24
