miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
1375874,-1.75,-6.14,8.83,1.0,0.11,0.38
1375888,-1.71,-6.32,9.0,1.46,0.21,0.52
1375901,-1.48,-6.98,9.03,2.16,0.38,0.74
1375915,-1.71,-6.71,8.99,2.92,0.54,0.88
1375929,-2.11,-4.68,8.9,3.27,0.63,0.89
1375942,-2.51,-3.19,9.11,3.16,0.61,0.86
1375956,-2.96,-1.98,9.51,2.64,0.5,0.77
1375970,-3.11,-1.82,9.82,2.04,0.33,0.71
1375983,-3.07,-1.65,9.95,1.45,0.17,0.56
1375997,-2.91,-1.58,10.06,0.86,0.06,0.36
1376011,-2.8,-1.72,10.07,0.34,-0.01,0.15
1376024,-2.73,-1.83,10.06,-0.1,-0.04,-0.02
1376039,-2.84,-1.44,10.0,-0.74,-0.12,-0.23
1376052,-3.19,-0.01,10.16,-1.96,-0.3,-0.65
1376066,-3.36,0.98,10.15,-3.61,-0.61,-1.18
1376080,-2.76,-0.75,9.56,-4.8,-0.86,-1.46
1376093,-2.28,-3.72,8.95,-5.47,-0.97,-1.56
1376107,-1.48,-6.06,8.4,-5.35,-0.9,-1.43
1376121,-1.14,-7.25,7.98,-4.79,-0.73,-1.29
1376134,-1.02,-8.31,7.57,-3.91,-0.53,-1.14
1376148,-1.18,-8.58,7.47,-2.95,-0.39,-0.96
1376162,-1.33,-8.81,7.58,-2.0,-0.32,-0.67
1376175,-1.21,-8.71,7.62,-1.08,-0.28,-0.31
1376189,-0.74,-8.79,7.62,-0.17,-0.12,0.05
1376203,-0.5,-9.1,7.69,0.74,0.14,0.31
1376216,-0.82,-8.81,7.74,1.68,0.42,0.57
1376230,-1.05,-8.48,7.9,2.61,0.64,0.82
1376244,-1.31,-7.9,7.84,3.34,0.75,0.96
1376257,-1.73,-6.31,7.96,3.79,0.79,1.02
1376271,-2.02,-4.94,8.34,3.84,0.72,1.07
1376285,-2.25,-4.08,8.61,3.6,0.61,1.06
1376299,-2.45,-2.98,8.96,3.01,0.49,0.93
1376312,-2.61,-2.35,9.3,2.24,0.35,0.73
1376326,-2.69,-2.19,9.49,1.46,0.22,0.48
1376340,-2.76,-2.31,9.71,0.7,0.09,0.23
1376353,-2.66,-2.44,9.77,0.02,-0.02,0.03
1376367,-2.67,-1.83,9.75,-0.84,-0.12,-0.24
1376381,-3.09,0.14,9.78,-2.49,-0.34,-0.83
1376394,-2.83,0.29,9.3,-4.34,-0.64,-1.39
1376408,-2.19,-2.99,8.63,-5.35,-0.82,-1.59
1376422,-1.84,-6.68,8.09,-5.43,-0.83,-1.47
1376435,-0.93,-8.76,7.6,-4.61,-0.66,-1.16
1376449,-0.58,-9.87,7.34,-3.37,-0.39,-0.86
1376463,-0.82,-10.19,7.35,-1.93,-0.12,-0.56
