miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
1031725,9.83,-0.35,2.7,-0.12,-0.01,-0.0
1031739,9.89,-0.29,2.74,-0.12,0.03,-0.0
1031752,9.94,-0.32,2.78,-0.11,0.09,-0.0
1031766,10.03,-0.36,2.8,-0.11,0.19,-0.01
1031780,10.1,-0.39,2.89,-0.08,0.31,-0.01
1031793,10.13,-0.42,2.96,-0.07,0.43,-0.01
1031807,10.11,-0.39,3.06,-0.07,0.55,-0.02
1031821,10.1,-0.32,3.13,-0.08,0.68,-0.03
1031834,10.03,-0.3,3.19,-0.08,0.81,-0.01
1031848,9.9,-0.31,3.28,-0.08,0.92,0.0
1031862,9.78,-0.38,3.47,-0.08,1.01,0.01
1031875,9.64,-0.44,3.61,-0.07,1.04,0.03
1031889,9.54,-0.4,3.7,-0.07,1.03,0.04
1031903,9.47,-0.34,3.77,-0.1,0.98,0.05
1031916,9.37,-0.34,3.9,-0.14,0.89,0.05
1031930,9.26,-0.35,3.96,-0.19,0.75,0.04
1031944,9.14,-0.47,4.06,-0.23,0.55,0.01
1031957,9.12,-0.58,4.06,-0.22,0.35,-0.01
1031971,9.17,-0.67,3.93,-0.18,0.15,-0.02
1031985,9.18,-0.61,3.83,-0.16,-0.02,-0.04
1031998,9.22,-0.54,3.76,-0.13,-0.15,-0.04
1032012,9.26,-0.54,3.72,-0.12,-0.28,-0.03
1032026,9.18,-0.52,3.65,-0.15,-0.42,-0.07
1032040,9.08,-0.46,3.67,-0.15,-0.6,-0.08
1032053,9.25,-0.52,3.56,-0.12,-0.78,-0.06
1032067,9.48,-0.54,3.26,-0.08,-0.87,-0.04
1032081,9.64,-0.5,3.06,-0.06,-0.87,-0.01
1032094,9.68,-0.46,3.02,-0.04,-0.86,0.02
1032108,9.65,-0.46,3.02,-0.05,-0.87,0.04
1032122,9.68,-0.45,2.91,-0.08,-0.89,0.04
1032136,9.73,-0.43,2.77,-0.1,-0.9,0.03
1032149,9.8,-0.37,2.71,-0.1,-0.87,0.03
1032163,9.91,-0.37,2.62,-0.1,-0.81,0.04
1032177,10.06,-0.38,2.54,-0.11,-0.71,0.04
1032190,10.16,-0.44,2.47,-0.1,-0.54,0.04
1032204,10.18,-0.47,2.46,-0.09,-0.34,0.03
1032218,10.15,-0.45,2.54,-0.08,-0.16,0.01
1032231,10.1,-0.4,2.7,-0.09,0.01,-0.01
1032245,10.09,-0.37,2.74,-0.09,0.16,-0.02
1032259,10.05,-0.38,2.81,-0.1,0.28,-0.01
1032272,9.97,-0.42,3.0,-0.12,0.34,-0.0
1032286,9.87,-0.45,3.08,-0.15,0.33,-0.01
1032300,9.79,-0.42,3.09,-0.17,0.29,-0.01
1032313,9.8,-0.42,3.11,-0.17,0.26,-0.01
1032327,9.82,-0.53,3.11,-0.15,0.25,-0.0
1032341,9.87,-0.6,3.09,-0.13,0.26,-0.02
1032354,9.94,-0.54,3.15,-0.11,0.29,-0.03
1032368,10.03,-0.47,3.15,-0.09,0.38,-0.03
1032382,10.1,-0.47,3.18,-0.08,0.51,-0.01
1032396,10.13,-0.53,3.3,-0.05,0.67,0.0
1032409,10.04,-0.6,3.4,-0.02,0.83,0.01
1032423,9.92,-0.51,3.47,-0.02,0.94,0.01
1032437,9.68,-0.34,3.63,-0.07,1.0,0.0
1032450,9.49,-0.27,3.79,-0.13,0.99,0.02
1032464,9.38,-0.35,3.85,-0.16,0.92,0.04
1032478,9.29,-0.47,3.94,-0.19,0.8,0.04
1032491,9.25,-0.59,3.97,-0.18,0.67,0.04
1032505,9.2,-0.7,3.97,-0.14,0.55,0.04
1032519,9.19,-0.69,3.97,-0.1,0.42,0.02
1032532,9.23,-0.64,3.95,-0.09,0.31,-0.0
1032546,9.22,-0.58,3.95,-0.09,0.21,-0.03
1032560,9.25,-0.56,3.91,-0.1,0.11,-0.04
1032573,9.29,-0.54,3.83,-0.12,0.02,-0.05
1032587,9.19,-0.53,3.8,-0.16,-0.08,-0.1
1032601,9.11,-0.51,3.84,-0.19,-0.22,-0.14
1032614,8.91,-0.58,3.84,-0.21,-0.46,-0.17
1032628,8.88,-0.66,3.86,-0.16,-0.72,-0.18
1032642,9.26,-0.75,3.55,-0.07,-0.95,-0.15
1032655,9.58,-0.66,3.04,-0.0,-0.99,-0.13
1032669,9.72,-0.45,3.0,0.0,-0.93,-0.1
1032683,9.71,-0.36,3.08,-0.04,-0.91,-0.04
1032696,9.73,-0.43,3.04,-0.1,-0.93,-0.0
1032711,9.79,-0.5,2.86,-0.14,-0.93,0.01
1032724,9.73,-0.51,2.82,-0.15,-0.9,-0.02
1032738,9.77,-0.47,2.74,-0.15,-0.85,-0.04
1032752,9.91,-0.42,2.6,-0.13,-0.79,-0.04
1032765,10.07,-0.36,2.47,-0.13,-0.68,-0.04
1032779,10.12,-0.34,2.41,-0.13,-0.51,-0.04
