miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
1605721,-2.72,-3.71,7.77,2.36,0.46,0.63
1605735,-3.49,0.11,8.37,0.16,-0.08,-0.02
1605749,-3.28,0.36,8.56,-2.44,-0.72,-0.78
1605762,-1.86,-2.97,7.86,-4.2,-1.12,-1.3
1605776,-0.46,-7.41,7.01,-4.77,-1.09,-1.52
1605790,0.7,-10.64,6.08,-4.01,-0.62,-1.3
1605804,1.55,-13.74,5.87,-1.94,0.08,-0.48
1605817,0.96,-16.45,6.15,1.28,0.74,0.67
1605831,-0.38,-13.54,5.91,3.91,1.03,1.25
1605845,-1.18,-8.23,5.98,5.04,1.01,1.46
1605858,-1.82,-4.56,6.58,4.99,0.81,1.52
1605872,-3.01,-1.4,7.69,3.4,0.41,1.22
1605886,-3.87,2.14,8.7,0.57,-0.19,0.37
1605899,-3.14,1.05,8.88,-2.29,-0.82,-0.54
1605913,-1.88,-3.87,8.16,-4.03,-1.14,-1.11
1605927,-0.37,-7.71,7.5,-4.26,-0.97,-1.34
1605940,0.95,-11.32,6.82,-2.96,-0.31,-0.91
1605954,1.09,-15.08,7.04,-0.23,0.49,0.13
1605968,-0.08,-14.63,7.07,2.41,0.99,0.83
1605981,-1.53,-8.92,6.74,3.81,1.05,1.0
1605995,-2.02,-4.76,7.03,4.01,0.88,1.04
1606009,-2.87,-2.56,7.73,3.07,0.57,0.93
1606022,-3.72,-0.11,8.71,0.92,0.03,0.4
1606036,-3.88,1.04,9.27,-1.86,-0.68,-0.48
1606050,-2.82,-0.78,8.59,-4.1,-1.24,-1.24
1606063,-0.59,-5.42,7.37,-5.15,-1.31,-1.66
1606077,0.59,-9.58,6.49,-4.7,-0.84,-1.55
1606091,1.3,-13.24,6.29,-2.83,-0.09,-0.81
1606104,0.85,-15.73,6.65,0.13,0.6,0.2
1606118,-0.49,-13.19,6.55,2.66,0.91,0.74
1606132,-1.44,-8.24,6.28,3.68,0.82,0.94
1606145,-1.99,-4.15,6.85,3.47,0.58,0.97
1606159,-3.36,-0.51,8.07,1.44,0.08,0.55
1606173,-3.5,1.18,8.82,-1.18,-0.55,-0.21
1606186,-2.35,-2.11,8.31,-3.48,-1.12,-0.9
1606200,-0.72,-7.01,7.42,-4.38,-1.21,-1.26
1606214,0.34,-10.12,6.77,-3.9,-0.87,-1.2
1606228,1.3,-12.96,6.48,-2.09,-0.15,-0.57
1606241,1.08,-15.13,6.5,0.6,0.58,0.39
1606255,0.12,-13.58,6.31,2.91,0.98,0.98
1606269,-1.19,-8.57,6.25,4.13,1.05,1.12
1606282,-1.84,-5.75,6.73,4.39,0.89,1.17
1606296,-2.53,-3.87,7.3,3.67,0.58,1.1
1606310,-3.22,-0.74,8.27,1.63,0.06,0.6
1606324,-3.22,0.78,8.92,-1.02,-0.57,-0.19
1606337,-2.16,-2.59,8.49,-3.07,-1.0,-0.84
1606351,-0.84,-6.38,7.92,-3.84,-1.0,-1.15
1606365,0.14,-9.3,7.3,-3.41,-0.6,-1.06
