miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2002543,9.25,-1.73,0.27,2.17,0.52,-0.17
2002556,8.76,-0.33,1.25,1.51,0.48,-0.12
2002570,8.82,-0.78,1.93,0.91,0.22,0.11
2002584,9.04,-2.58,2.14,0.59,-0.04,0.29
2002597,9.41,-3.78,1.61,0.56,-0.23,0.45
2002611,9.85,-4.81,1.27,0.92,-0.08,0.53
2002625,9.75,-5.66,1.46,1.42,0.05,0.41
2002638,9.34,-5.01,1.53,1.85,0.12,0.29
2002652,8.97,-3.53,1.67,1.81,0.1,-0.03
2002666,8.56,-1.55,1.72,1.24,0.08,-0.27
2002679,8.04,1.12,2.11,-0.27,0.06,-0.67
2002693,7.7,3.48,2.85,-2.23,-0.15,-1.0
2002707,7.65,3.58,3.13,-3.86,-0.65,-0.8
2002720,8.22,0.72,2.15,-4.86,-1.31,-0.17
2002734,9.33,-3.11,0.6,-5.04,-1.62,0.19
2002748,10.64,-6.55,-0.94,-4.59,-1.29,0.03
2002761,11.35,-7.42,-1.58,-3.71,-0.53,-0.28
2002775,11.07,-6.28,-0.78,-2.44,0.2,-0.29
2002789,10.44,-5.78,-0.17,-1.29,0.42,-0.13
2002803,10.26,-5.86,-0.29,-0.35,0.38,-0.18
2002816,10.24,-5.28,-0.77,0.38,0.41,-0.27
2002830,9.92,-4.55,-0.56,1.03,0.5,-0.15
2002844,9.72,-4.17,-0.24,1.56,0.45,0.03
2002857,9.88,-4.05,-0.22,2.0,0.38,0.21
2002871,9.94,-4.23,-0.32,2.37,0.41,0.36
2002885,9.7,-3.85,-0.1,2.43,0.48,0.25
2002898,9.36,-2.8,0.44,2.25,0.49,0.11
2002912,9.13,-2.35,1.01,2.1,0.42,0.21
2002926,9.12,-3.01,1.47,2.11,0.26,0.44
2002939,9.25,-4.06,1.55,2.3,0.11,0.58
2002953,9.39,-4.61,1.18,2.57,0.06,0.57
2002967,9.22,-3.57,0.9,2.41,0.13,0.25
2002980,8.96,-1.94,1.16,1.93,0.25,-0.04
2002994,8.59,-0.69,1.82,1.08,0.32,-0.19
2003008,8.46,-0.04,2.48,0.03,0.18,-0.32
2003021,8.56,0.03,2.66,-0.84,0.05,-0.14
2003035,8.55,-1.33,2.96,-1.58,-0.29,-0.0
2003049,8.81,-2.27,2.3,-2.26,-0.6,-0.14
2003062,9.14,-2.1,1.73,-2.87,-0.69,-0.41
