miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
150730.0,1.83,2.88,-8.33,3.65,0.04,0.95
150740.0,2.22,-1.27,-9.06,2.22,0.03,0.23
150750.0,2.02,-1.31,-9.78,-0.67,-0.21,-0.42
150760.0,1.58,0.23,-9.12,-2.36,-0.21,-0.7
150770.0,1.26,2.05,-8.41,-3.02,-0.09,-0.65
150780.0,1.3,5.34,-7.73,-1.91,-0.05,-0.45
150790.0,1.5,4.89,-8.07,0.83,0.23,0.13
150800.0,1.88,4.05,-8.3,2.68,0.29,0.46
150810.0,1.55,-0.65,-8.9,2.83,-0.13,0.9
150820.0,1.77,-1.65,-9.46,-0.49,-0.1,0.14
150830.0,1.76,1.11,-8.84,-2.98,-0.07,-0.56
150840.0,1.44,3.77,-7.79,-3.2,-0.03,-0.83
150850.0,1.24,5.17,-7.44,-1.67,-0.08,-0.44
150860.0,1.06,6.0,-7.39,-0.07,0.0,-0.04
150870.0,1.3,5.72,-7.54,2.2,0.13,0.54
150880.0,1.73,3.27,-8.58,3.61,0.28,0.95
150890.0,1.99,-0.99,-9.45,2.19,-0.03,0.69
150900.0,1.91,-1.06,-9.43,-1.73,-0.14,-0.27
150910.0,1.33,2.45,-8.36,-3.56,-0.06,-0.81
150920.0,1.46,5.12,-7.6,-2.82,0.02,-0.71
150930.0,1.16,6.37,-7.4,-0.86,-0.02,-0.35
150940.0,1.35,5.97,-7.42,1.31,0.09,0.23
150950.0,1.26,4.64,-7.58,3.87,-0.21,0.86
150960.0,1.19,0.65,-8.75,3.84,-0.12,1.1
150970.0,1.75,-2.08,-9.63,0.12,0.16,0.3
150980.0,1.95,0.9,-9.1,-2.2,-0.08,-0.44
150990.0,1.3,2.72,-8.59,-2.73,-0.06,-0.61
151000.0,1.29,4.28,-8.09,-2.06,0.07,-0.55
151010.0,1.15,5.32,-8.04,-0.61,-0.0,-0.27
151020.0,1.12,4.92,-8.07,1.5,0.04,0.26
151030.0,1.27,2.91,-8.33,2.71,0.14,0.59
151040.0,1.66,1.02,-8.83,2.99,0.25,0.84
151050.0,1.71,-2.45,-9.28,1.62,-0.13,0.6
151060.0,1.59,-1.7,-9.24,-2.24,-0.21,-0.32
151070.0,1.39,2.69,-8.44,-3.23,-0.15,-0.81
151080.0,0.98,4.05,-7.99,-1.45,-0.1,-0.47
151090.0,0.94,4.12,-8.18,0.47,0.22,0.12
151100.0,1.31,3.39,-8.58,2.2,0.54,0.48
151110.0,1.8,0.63,-8.99,2.64,0.57,0.64
151120.0,2.32,-1.42,-9.44,1.16,0.22,0.44
151130.0,2.07,-1.28,-9.14,-0.82,-0.51,0.18
151140.0,1.4,-0.09,-8.65,-3.13,-0.18,-0.64
151150.0,1.58,4.77,-7.93,-2.56,0.12,-0.79
151160.0,1.47,4.95,-8.21,0.46,-0.03,0.03
151170.0,1.42,2.98,-8.68,2.3,0.22,0.55
151180.0,1.84,0.28,-9.14,2.64,0.34,0.69
151190.0,2.34,-2.63,-9.63,0.38,-0.16,0.48
151200.0,1.69,-0.37,-8.86,-3.76,-0.42,-0.59
151210.0,1.3,4.18,-7.72,-3.19,-0.22,-0.98
151220.0,1.05,5.11,-7.56,-0.95,-0.12,-0.37
151230.0,1.0,4.4,-7.94,0.76,0.25,0.1
151240.0,1.21,3.79,-7.95,2.06,0.51,0.39
151250.0,1.74,2.46,-8.79,3.48,0.75,0.81
151260.0,2.46,-2.79,-9.37,2.25,0.4,0.64
151270.0,2.63,-2.29,-9.5,-1.69,-0.24,-0.24
151280.0,1.83,1.44,-8.46,-3.69,-0.47,-0.9
151290.0,1.33,4.27,-7.49,-2.94,-0.24,-0.74
151300.0,1.36,5.87,-7.89,-0.88,0.17,-0.34
151310.0,1.62,4.39,-8.15,0.75,0.56,0.02
151320.0,2.15,3.86,-8.46,1.99,0.36,0.33
151330.0,2.21,1.68,-8.88,3.3,-0.32,1.07
151340.0,1.92,-1.87,-9.45,1.55,-0.43,0.94
151350.0,1.85,-0.81,-9.22,-2.09,-0.23,-0.07
151360.0,1.6,2.72,-8.15,-3.61,0.11,-0.99
151370.0,1.38,5.11,-7.45,-2.51,0.14,-1.05
151380.0,1.17,5.51,-7.89,-0.1,0.23,-0.3
151390.0,1.64,4.62,-8.18,1.84,0.47,0.38
151400.0,2.04,3.31,-8.51,3.73,0.11,1.06
151410.0,1.97,-1.29,-9.04,3.13,-0.2,1.32
151420.0,1.97,-2.76,-9.3,-0.38,-0.39,0.53
151430.0,1.58,0.71,-8.66,-3.48,-0.2,-0.68
151440.0,1.41,3.9,-8.23,-2.86,0.2,-0.98
151450.0,1.56,4.82,-8.29,-0.84,0.25,-0.57
151460.0,1.66,3.95,-8.28,1.12,0.21,0.06
151470.0,1.73,3.79,-8.09,2.94,-0.01,0.74
151480.0,1.49,-0.6,-8.52,3.7,-0.04,1.13
151490.0,1.69,-3.31,-9.01,-0.02,-0.17,0.35
151500.0,1.33,-0.58,-8.52,-3.45,-0.13,-0.77
151510.0,1.52,3.77,-8.36,-3.55,0.2,-0.96
151520.0,1.64,4.52,-8.52,-1.95,0.15,-0.69
151530.0,1.71,4.84,-8.68,-0.1,0.17,-0.21
151540.0,1.88,4.37,-8.47,1.45,0.17,0.23
151550.0,1.73,3.24,-8.41,3.39,-0.18,1.03
151560.0,1.25,-1.36,-8.77,3.2,-0.38,1.13
151570.0,1.46,-2.57,-9.36,-0.96,-0.17,0.1
151580.0,1.54,1.27,-8.52,-3.92,0.04,-0.98
151590.0,1.19,4.36,-7.78,-3.03,0.11,-1.07
151600.0,0.9,5.07,-7.75,-0.67,0.01,-0.24
151610.0,1.23,4.8,-7.67,1.55,0.03,0.55
151620.0,0.97,2.91,-8.12,3.02,0.12,0.89
151630.0,1.56,-0.11,-8.95,2.5,0.73,0.82
151640.0,2.15,-1.42,-9.74,0.83,0.43,0.4
151650.0,2.4,-0.66,-9.84,-0.09,-0.13,0.23
151660.0,2.58,-0.25,-9.9,-0.85,-0.19,0.25
151670.0,2.2,1.68,-8.58,-2.46,-0.26,-0.55
151680.0,1.41,2.62,-7.53,-2.38,-0.2,-1.19
151690.0,0.93,4.4,-7.42,-1.28,0.05,-1.0
151700.0,1.11,3.57,-8.45,1.31,0.34,-0.06
151710.0,1.85,1.78,-9.37,2.9,0.31,0.73
151720.0,1.97,-0.53,-9.48,3.13,-0.32,1.1
151730.0,1.56,-3.43,-9.53,0.65,-0.43,0.54
151740.0,1.55,-1.14,-8.5,-3.38,0.0,-0.53
151750.0,1.39,3.22,-7.28,-3.87,0.14,-1.07
151760.0,1.2,4.59,-7.54,-2.2,0.26,-0.78
151770.0,1.1,4.72,-8.22,0.01,0.65,-0.24
151780.0,1.9,3.2,-9.02,1.71,0.56,0.34
151790.0,2.1,2.11,-9.13,1.78,0.13,0.74
151800.0,2.21,1.28,-9.23,2.07,-0.22,0.87
151810.0,1.97,-1.49,-9.22,-0.01,-0.47,0.44
151820.0,1.39,0.65,-8.56,-2.76,-0.25,-0.64
151830.0,1.29,3.66,-7.6,-3.28,0.03,-1.0
