miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
10170.0,1.36,4.45,-8.09,-1.39,-0.81,-0.48
10180.0,0.8,5.27,-7.64,-0.79,-0.27,-0.37
10190.0,0.74,5.09,-7.75,0.24,0.28,-0.02
10200.0,1.01,4.34,-8.35,1.0,0.79,0.13
10210.0,1.78,3.38,-8.6,0.98,0.88,0.37
10220.0,2.28,2.27,-8.6,0.51,0.29,0.27
10230.0,2.22,3.14,-8.69,-0.87,-0.77,-0.13
10240.0,1.32,3.87,-8.18,-1.36,-0.78,-0.28
10250.0,0.91,5.19,-7.55,-0.96,-0.41,-0.29
10260.0,0.74,5.01,-7.42,0.01,0.04,-0.19
10270.0,0.84,4.68,-7.87,0.74,0.59,0.14
10280.0,1.54,4.0,-8.72,1.29,1.02,0.39
10290.0,2.42,2.79,-9.17,1.16,0.71,0.58
10300.0,2.76,1.99,-9.24,-0.04,-0.29,0.19
10310.0,2.13,2.96,-8.82,-1.67,-1.27,-0.24
10320.0,0.88,4.63,-7.79,-1.96,-0.98,-0.38
10330.0,0.47,5.76,-7.31,-1.32,-0.37,-0.48
10340.0,0.7,6.24,-7.33,0.11,0.2,-0.43
10350.0,0.35,4.94,-7.77,1.49,0.72,0.2
10360.0,1.2,3.78,-8.57,2.34,1.31,0.59
10370.0,2.27,1.61,-8.83,1.24,1.12,0.61
10380.0,2.76,1.67,-8.92,-0.4,-0.4,0.06
10390.0,1.59,1.83,-8.31,-2.43,-1.21,-0.47
10400.0,0.84,5.87,-7.51,-2.41,-0.94,-0.55
10410.0,0.33,6.1,-7.35,-0.33,-0.28,-0.23
10420.0,0.62,5.51,-7.96,0.39,0.83,-0.2
10430.0,1.15,5.13,-8.16,1.23,1.6,0.15
10440.0,2.36,3.83,-8.08,1.88,1.42,0.78
10450.0,2.63,2.07,-8.51,1.66,0.24,0.78
10460.0,3.12,1.44,-8.89,-0.89,-0.94,-0.02
10470.0,1.63,3.69,-8.32,-1.88,-1.53,-0.54
10480.0,0.64,4.61,-7.8,-1.45,-0.93,-0.56
