miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
155330.0,1.79,7.27,-4.79,-0.09,0.18,0.02
155340.0,1.92,7.96,-4.11,-1.51,-0.23,-0.08
155350.0,1.84,9.25,-2.58,-1.21,-0.69,0.05
155360.0,1.33,9.45,-2.53,-0.38,-0.61,-0.08
155370.0,1.21,9.44,-3.0,0.55,-0.21,-0.11
155380.0,1.12,9.24,-3.61,1.47,0.08,-0.06
155390.0,1.01,8.82,-5.37,2.23,0.58,0.07
155400.0,2.07,5.49,-6.49,0.36,1.06,-0.13
155410.0,1.88,7.07,-4.92,-1.24,0.19,-0.11
155420.0,1.47,8.42,-3.16,-1.32,-0.16,-0.07
155430.0,1.61,9.42,-2.77,-0.45,-0.46,0.08
155440.0,1.43,9.18,-3.37,0.69,-0.45,0.05
155450.0,1.48,8.1,-4.74,1.27,-0.22,-0.0
155460.0,1.29,6.87,-6.95,0.84,0.24,-0.03
155470.0,1.68,6.69,-6.31,-0.4,0.5,-0.1
155480.0,1.7,7.98,-4.58,-0.5,0.38,-0.07
155490.0,1.46,7.83,-3.87,-0.33,0.09,0.02
155500.0,1.51,7.98,-4.11,-0.47,-0.19,-0.03
155510.0,1.73,8.15,-4.85,-0.57,-0.31,-0.02
155520.0,1.7,8.43,-4.68,-0.86,-0.34,-0.1
155530.0,1.29,8.86,-3.96,-0.18,-0.22,-0.03
155540.0,1.2,9.1,-3.74,0.84,-0.01,0.02
155550.0,1.32,8.54,-5.51,1.81,0.35,0.11
155560.0,1.7,5.24,-6.42,1.07,0.61,-0.04
155570.0,1.7,6.2,-6.04,-1.04,0.45,-0.17
155580.0,1.84,7.93,-3.93,-1.55,-0.03,-0.13
155590.0,1.56,8.94,-3.46,-1.1,-0.56,0.03
155600.0,1.67,9.23,-3.74,-0.4,-0.6,0.06
155610.0,1.38,8.88,-4.14,0.84,-0.41,0.08
155620.0,1.13,8.13,-5.57,1.7,0.03,0.04
155630.0,1.56,6.06,-7.2,0.94,0.52,-0.07
155640.0,1.77,6.13,-6.29,-0.88,0.59,-0.18
155650.0,1.68,7.45,-4.58,-1.63,0.33,-0.22
155660.0,1.77,8.85,-3.23,-1.64,-0.27,-0.08
155670.0,1.59,9.39,-3.12,-0.58,-0.49,0.07
155680.0,1.52,8.91,-3.67,0.28,-0.31,-0.0
155690.0,1.47,8.61,-4.23,1.04,-0.18,0.03
155700.0,1.33,8.4,-5.03,1.69,-0.08,0.08
155710.0,1.68,6.03,-7.07,0.97,0.49,-0.09
155720.0,1.53,5.37,-6.77,-1.17,0.66,-0.25
155730.0,1.95,7.45,-4.27,-2.34,0.23,-0.32
155740.0,1.68,9.3,-2.68,-2.23,-0.44,-0.14
155750.0,1.32,9.85,-2.19,-0.88,-0.54,0.02
155760.0,1.17,9.91,-2.37,0.75,-0.21,0.05
155770.0,1.34,9.09,-3.29,1.89,0.03,0.08
155780.0,1.32,8.21,-5.06,2.75,0.15,0.2
155790.0,1.96,4.46,-7.71,0.33,0.51,-0.1
155800.0,1.77,6.32,-5.87,-1.64,0.15,-0.17
155810.0,1.66,8.36,-4.08,-2.35,-0.06,-0.28
155820.0,1.48,9.23,-2.71,-1.8,-0.37,-0.11
155830.0,1.26,9.91,-2.22,-0.46,-0.36,0.01
155840.0,1.15,9.8,-2.43,1.23,-0.03,0.08
155850.0,1.22,8.68,-4.13,2.34,0.22,0.14
155860.0,1.73,6.88,-6.06,2.09,0.46,0.14
155870.0,1.93,5.5,-6.74,-0.33,0.26,-0.12
155880.0,1.67,6.75,-5.23,-1.44,0.24,-0.19
155890.0,1.8,8.28,-3.94,-2.14,-0.12,-0.27
155900.0,1.48,9.17,-2.92,-1.64,-0.42,-0.11
155910.0,1.34,9.61,-2.58,-0.84,-0.43,-0.03
155920.0,1.13,9.72,-2.48,0.43,-0.26,0.06
155930.0,1.19,9.26,-3.34,1.39,0.09,0.07
155940.0,1.27,8.8,-4.72,2.12,0.36,0.14
155950.0,1.71,6.44,-5.6,2.21,0.71,0.14
155960.0,1.91,5.2,-6.44,-0.85,0.37,-0.2
155970.0,1.94,7.07,-4.95,-2.28,0.03,-0.31
155980.0,1.78,9.21,-3.0,-2.24,-0.48,-0.2
155990.0,1.27,9.96,-2.09,-1.02,-0.73,0.04
156000.0,1.08,9.85,-2.52,0.6,-0.26,0.03
156010.0,1.32,8.7,-3.52,1.49,0.15,0.01
156020.0,1.56,8.22,-5.18,1.59,0.22,0.09
156030.0,1.42,7.5,-5.36,1.8,0.32,0.12
156040.0,1.79,5.59,-6.57,0.0,0.45,-0.11
156050.0,1.95,6.59,-5.72,-1.89,0.4,-0.27
156060.0,1.75,8.34,-3.36,-2.25,-0.16,-0.25
156070.0,1.45,9.67,-2.55,-1.4,-0.47,-0.07
156080.0,1.26,9.83,-2.35,-0.08,-0.36,0.02
156090.0,1.24,9.5,-2.81,1.47,-0.14,0.12
156100.0,1.46,8.78,-4.64,2.41,0.12,0.15
156110.0,1.69,5.23,-6.83,1.4,0.48,0.07
156120.0,1.96,5.88,-6.61,-1.2,0.3,-0.17
156130.0,1.61,7.83,-4.31,-1.84,0.07,-0.23
156140.0,1.66,8.92,-3.42,-2.06,-0.1,-0.29
156150.0,1.37,9.4,-2.35,-1.25,-0.44,-0.01
156160.0,1.24,9.72,-2.53,-0.16,-0.34,0.04
156170.0,1.27,9.6,-2.51,1.24,-0.04,0.11
156180.0,1.29,8.77,-3.41,2.41,0.08,0.17
156190.0,1.57,7.29,-6.0,2.43,0.24,0.16
156200.0,1.86,4.43,-7.47,-0.09,0.44,-0.1
156210.0,1.85,6.62,-5.82,-1.97,0.33,-0.27
156220.0,1.65,8.48,-3.44,-2.37,-0.14,-0.29
156230.0,1.41,9.78,-2.36,-1.43,-0.45,-0.06
156240.0,1.21,10.02,-2.41,0.24,-0.3,0.08
156250.0,1.37,9.11,-3.11,1.82,0.04,0.12
156260.0,1.66,7.88,-5.05,2.0,0.07,0.11
156270.0,1.65,6.4,-6.38,1.5,0.18,0.07
156280.0,1.67,5.64,-6.94,-0.49,0.33,-0.12
156290.0,2.01,7.14,-5.43,-2.01,0.34,-0.31
156300.0,1.71,8.89,-3.5,-2.24,-0.13,-0.27
156310.0,1.3,9.6,-2.43,-1.12,-0.29,-0.08
156320.0,1.38,9.4,-2.85,-0.12,-0.12,-0.01
156330.0,1.43,9.25,-3.13,0.84,-0.17,0.11
156340.0,1.4,8.79,-3.8,1.61,-0.04,0.15
156350.0,1.44,7.78,-5.32,1.96,0.08,0.19
156360.0,2.09,5.96,-6.59,0.52,0.25,0.07
156370.0,1.63,6.83,-6.05,-0.39,0.16,-0.03
156380.0,1.73,7.29,-5.19,-0.88,0.26,-0.14
156390.0,1.73,7.33,-4.56,-1.79,0.03,-0.2
156400.0,1.9,8.95,-3.75,-1.76,-0.31,-0.11
156410.0,1.6,9.35,-2.9,-1.11,-0.42,-0.05
156420.0,1.34,9.55,-2.73,-0.09,-0.27,0.03
156430.0,1.43,9.7,-2.62,1.32,-0.07,0.13
156440.0,1.33,9.34,-4.05,3.08,0.09,0.19
156450.0,2.07,4.27,-7.54,1.22,0.58,-0.06
156460.0,1.93,6.0,-6.45,-1.34,0.17,-0.16
156470.0,1.93,8.06,-4.47,-2.19,0.09,-0.35
156480.0,1.51,9.25,-2.83,-1.53,-0.28,-0.1
