miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
14960.0,9.49,0.95,-0.7,2.64,0.01,0.24
14970.0,9.65,-0.54,-1.03,0.87,0.17,0.2
14980.0,9.76,-1.19,-0.5,-3.91,0.54,-0.26
14990.0,10.13,4.1,1.26,-4.33,0.21,-0.65
15000.0,9.91,4.7,1.12,-0.11,-0.5,-0.22
15010.0,9.57,2.91,0.7,2.76,-0.5,0.27
15020.0,9.33,1.42,-0.19,3.3,-0.05,0.38
15030.0,9.46,0.25,-1.13,2.16,0.43,0.18
15040.0,10.06,0.4,-1.35,0.5,0.49,0.12
15050.0,10.34,1.34,-0.91,-0.49,0.05,0.07
15060.0,9.93,-0.21,-0.76,-2.11,-0.14,-0.06
15070.0,9.93,2.66,0.62,-3.43,-0.12,-0.55
15080.0,9.72,3.83,0.88,-1.03,-0.34,-0.39
15090.0,9.44,3.29,0.23,1.73,-0.18,0.01
15100.0,9.4,1.45,-0.65,3.49,0.21,0.29
15110.0,9.7,-0.67,-1.15,1.78,0.45,0.36
15120.0,9.8,-1.66,-0.9,-2.89,0.55,-0.18
15130.0,10.26,3.46,0.92,-4.4,0.1,-0.7
15140.0,9.95,4.49,0.98,-0.84,-0.62,-0.35
15150.0,9.43,3.02,0.49,1.94,-0.48,0.16
15160.0,9.32,1.77,-0.39,2.9,0.12,0.31
15170.0,9.67,0.47,-0.95,2.3,0.5,0.19
15180.0,9.93,-0.34,-1.16,0.16,0.43,0.16
15190.0,10.13,0.42,-0.55,-2.94,0.21,-0.34
15200.0,10.12,3.27,0.5,-2.94,-0.15,-0.5
15210.0,9.76,3.51,0.71,-0.72,-0.49,-0.22
15220.0,9.39,3.08,0.31,1.18,-0.3,0.1
15230.0,9.58,2.01,-0.4,2.63,0.13,0.23
15240.0,9.76,0.68,-0.8,2.13,0.24,0.33
15250.0,9.67,-1.33,-1.12,-1.13,0.41,0.01
15260.0,10.13,2.14,0.48,-4.2,0.32,-0.64
15270.0,10.14,4.38,1.07,-1.77,-0.4,-0.47
15280.0,9.55,3.23,0.72,1.08,-0.6,0.01
15290.0,9.38,2.35,0.15,2.6,-0.1,0.27
15300.0,9.48,1.17,-0.78,3.09,0.4,0.29
15310.0,9.85,-0.07,-1.25,1.64,0.52,0.3
15320.0,9.96,-0.82,-1.2,-1.41,0.35,-0.01
15330.0,10.17,1.34,0.33,-4.92,0.33,-0.73
15340.0,10.13,4.81,1.23,-3.04,-0.34,-0.72
15350.0,9.63,3.8,1.03,0.7,-0.75,-0.12
15360.0,9.17,2.63,0.49,2.93,-0.42,0.29
15370.0,9.28,0.95,-0.44,3.25,0.2,0.32
15380.0,9.63,0.09,-1.09,1.73,0.52,0.28
15390.0,10.0,-0.72,-1.01,-1.43,0.54,0.01
15400.0,10.13,1.94,-0.04,-3.41,0.16,-0.46
15410.0,10.03,3.74,0.55,-1.93,-0.3,-0.39
15420.0,9.72,3.01,0.51,0.04,-0.36,-0.03
15430.0,9.5,2.56,0.47,0.93,-0.14,0.11
15440.0,9.53,2.29,0.1,1.74,-0.0,0.16
15450.0,9.49,1.37,-0.9,2.2,0.25,0.16
15460.0,9.9,0.46,-1.35,1.35,0.44,0.25
15470.0,10.11,-0.49,-1.19,-1.4,0.41,-0.04
15480.0,10.38,2.19,0.31,-3.84,0.09,-0.63
15490.0,10.08,3.94,1.1,-1.86,-0.61,-0.53
15500.0,9.34,3.02,0.82,0.63,-0.7,-0.09
15510.0,9.16,2.52,0.08,2.34,-0.09,0.22
15520.0,9.49,1.31,-0.67,2.94,0.43,0.31
15530.0,9.9,0.21,-0.94,1.82,0.41,0.38
15540.0,9.78,-1.65,-0.94,-1.85,0.3,-0.03
15550.0,10.03,2.06,0.65,-5.03,0.27,-0.78
15560.0,10.02,4.77,1.2,-2.3,-0.32,-0.56
15570.0,9.53,3.32,0.91,1.15,-0.54,0.09
15580.0,9.41,2.39,0.34,2.74,-0.13,0.39
15590.0,9.54,1.22,-0.39,2.83,0.28,0.35
15600.0,9.73,0.45,-1.13,1.56,0.45,0.26
15610.0,10.14,0.38,-1.25,-0.32,0.43,0.04
15620.0,10.23,0.83,-0.75,-2.07,0.17,-0.28
15630.0,10.17,2.06,0.3,-3.32,-0.06,-0.59
15640.0,9.93,3.64,1.04,-1.94,-0.49,-0.53
15650.0,9.38,3.09,0.89,0.49,-0.54,-0.13
15660.0,9.27,2.96,0.12,2.64,-0.13,0.26
15670.0,9.53,1.17,-0.54,3.46,0.28,0.46
15680.0,9.6,-0.73,-1.25,1.55,0.46,0.42
15690.0,10.15,-0.75,-0.52,-3.48,0.59,-0.33
15700.0,10.22,2.92,1.07,-4.55,0.08,-0.82
15710.0,9.82,4.18,1.42,-2.11,-0.58,-0.6
15720.0,9.33,3.48,0.95,0.63,-0.52,0.0
15730.0,9.43,3.28,0.66,2.97,-0.12,0.37
15740.0,9.54,1.58,-0.13,4.24,0.25,0.49
15750.0,9.83,-0.07,-1.02,2.86,0.41,0.5
15760.0,9.97,-0.59,-1.26,0.04,0.28,0.19
15770.0,10.09,-0.2,-0.65,-4.01,0.44,-0.62
15780.0,10.22,3.9,0.89,-3.74,-0.03,-0.9
15790.0,9.89,3.85,1.03,-0.27,-0.77,-0.36
15800.0,9.25,2.71,0.62,1.89,-0.66,0.16
15810.0,9.09,1.53,-0.18,2.82,0.01,0.3
15820.0,9.47,0.56,-0.86,2.12,0.49,0.3
15830.0,9.87,0.04,-1.28,0.54,0.62,0.32
15840.0,10.01,-1.1,-1.07,-2.51,0.62,-0.1
15850.0,10.26,2.65,0.59,-4.4,0.21,-0.81
15860.0,10.12,3.92,1.33,-2.6,-0.45,-0.73
15870.0,9.32,3.56,0.98,-0.02,-0.7,-0.15
15880.0,9.22,3.19,0.43,2.22,-0.16,0.25
15890.0,9.56,2.28,-0.16,3.89,0.2,0.52
15900.0,9.79,0.38,-0.86,3.42,0.37,0.6
15910.0,10.15,-0.62,-1.06,0.8,0.15,0.36
15920.0,9.82,-0.37,-0.85,-2.94,0.12,-0.37
15930.0,9.97,3.0,0.67,-4.28,0.1,-0.88
15940.0,9.98,4.43,1.08,-1.31,-0.44,-0.48
15950.0,9.38,3.58,0.7,2.07,-0.63,0.14
15960.0,9.12,1.53,-0.38,3.77,0.04,0.39
15970.0,9.48,-0.35,-1.21,2.48,0.66,0.31
15980.0,10.14,-0.63,-1.21,-0.67,0.69,0.1
15990.0,10.13,0.39,-0.51,-3.54,0.28,-0.41
16000.0,10.18,3.43,0.79,-3.89,-0.13,-0.7
16010.0,9.81,4.34,0.77,-0.81,-0.62,-0.33
16020.0,9.49,3.68,0.67,2.27,-0.57,0.2
16030.0,9.31,1.59,-0.11,3.79,-0.09,0.39
16040.0,9.44,-0.19,-0.94,2.6,0.35,0.28
16050.0,9.89,-0.4,-0.94,-0.04,0.32,0.15
16060.0,9.91,-0.43,-0.56,-3.66,0.39,-0.41
16070.0,10.13,3.85,0.7,-3.72,0.1,-0.68
16080.0,9.92,4.24,0.84,-0.17,-0.51,-0.2
16090.0,9.31,3.02,0.23,2.5,-0.45,0.26
16100.0,9.4,0.93,-0.73,3.35,0.24,0.32
16110.0,9.81,-0.31,-1.06,1.6,0.5,0.28
16120.0,9.98,0.21,-1.0,-0.81,0.24,0.06
16130.0,10.1,0.53,-0.16,-4.92,0.52,-0.62
16140.0,10.34,4.34,1.37,-4.22,0.13,-0.85
16150.0,9.87,4.39,1.17,-0.41,-0.63,-0.37
16160.0,9.44,3.08,0.74,1.95,-0.56,0.16
16170.0,9.3,2.15,0.31,3.32,-0.17,0.37
16180.0,9.42,0.55,-0.37,3.01,0.14,0.32
16190.0,9.65,0.04,-1.11,1.23,0.36,0.27
16200.0,9.93,0.08,-1.19,-1.01,0.44,0.06
16210.0,10.29,1.63,-0.44,-3.09,0.4,-0.37
16220.0,10.29,3.56,0.48,-2.17,-0.15,-0.44
16230.0,9.83,3.07,0.74,-0.25,-0.58,-0.22
16240.0,9.4,2.84,0.46,1.06,-0.41,-0.01
16250.0,9.45,2.33,-0.09,2.51,0.01,0.13
16260.0,9.5,0.63,-0.9,3.11,0.27,0.34
16270.0,9.78,-1.38,-1.31,0.63,0.45,0.31
16280.0,10.02,-0.49,-0.74,-3.47,0.46,-0.33
16290.0,10.28,3.54,0.71,-3.76,-0.02,-0.66
16300.0,9.79,3.84,0.87,-0.77,-0.65,-0.3
16310.0,9.35,2.97,0.4,1.44,-0.43,0.15
16320.0,9.37,1.98,-0.26,2.95,0.12,0.3
16330.0,9.6,0.44,-0.93,2.44,0.45,0.28
16340.0,10.01,0.03,-1.15,0.52,0.38,0.23
16350.0,9.89,-1.31,-1.02,-3.09,0.39,-0.31
16360.0,10.24,3.64,0.66,-4.4,0.17,-0.76
16370.0,10.13,4.57,0.98,-0.75,-0.56,-0.35
16380.0,9.42,3.01,0.57,1.95,-0.68,0.15
16390.0,9.22,1.53,-0.01,2.81,-0.15,0.26
16400.0,9.43,0.34,-0.83,1.99,0.36,0.14
16410.0,9.85,0.34,-0.97,0.39,0.41,0.17
16420.0,9.66,-0.69,-1.14,-1.6,0.28,-0.04
16430.0,10.13,2.0,0.16,-4.24,0.4,-0.57
16440.0,10.21,4.49,1.03,-2.03,-0.25,-0.47
16450.0,9.61,3.28,0.76,0.94,-0.63,-0.0
16460.0,9.32,2.52,0.34,2.65,-0.3,0.3
16470.0,9.49,1.23,-0.33,2.99,0.14,0.29
16480.0,9.65,0.13,-0.96,1.84,0.3,0.28
16490.0,9.87,-0.01,-1.2,-0.1,0.29,0.14
16500.0,10.08,0.1,-0.87,-2.97,0.44,-0.36
16510.0,10.3,2.91,0.33,-3.64,0.26,-0.63
16520.0,10.02,3.95,0.81,-1.27,-0.41,-0.39
16530.0,9.56,2.92,0.81,0.93,-0.6,-0.01
16540.0,9.21,2.86,0.33,3.08,-0.38,0.27
16550.0,9.24,0.12,-0.73,3.24,0.28,0.3
16560.0,9.66,-1.12,-1.25,0.48,0.63,0.28
16570.0,10.26,0.28,-0.51,-3.47,0.61,-0.37
16580.0,10.42,3.5,0.52,-3.25,0.0,-0.61
16590.0,9.94,3.35,0.79,-0.77,-0.57,-0.25
16600.0,9.41,2.66,0.34,0.53,-0.36,0.05
