miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
232920.0,1.65,3.48,-8.2,0.2,0.11,0.01
232930.0,1.43,2.85,-8.24,0.14,0.5,-0.19
232940.0,1.77,3.21,-8.18,0.09,1.37,-0.68
232950.0,3.22,3.43,-7.98,-0.16,1.66,-0.0
232960.0,3.56,2.95,-7.99,0.04,0.09,0.21
232970.0,3.25,3.24,-8.35,-0.3,-0.71,0.13
232980.0,2.76,3.44,-8.34,-0.48,-0.9,0.07
232990.0,2.55,3.42,-8.49,-0.47,-0.88,0.15
233000.0,2.09,3.87,-8.49,-0.34,-0.99,0.21
233010.0,1.56,3.8,-8.48,-0.14,-0.4,0.09
233020.0,1.77,3.8,-8.34,0.1,0.16,-0.08
233030.0,1.76,3.37,-8.29,0.28,0.15,0.02
233040.0,1.62,3.06,-8.32,-0.04,0.39,-0.15
233050.0,1.63,3.26,-8.01,-0.02,0.99,-0.58
233060.0,2.42,3.17,-7.78,0.11,1.45,0.06
233070.0,3.26,2.58,-7.91,0.16,0.98,0.29
233080.0,3.75,3.14,-8.31,-0.23,-0.14,0.08
233090.0,3.42,2.76,-8.35,-0.57,-1.05,-0.19
233100.0,2.57,3.69,-8.66,-0.58,-1.44,-0.02
233110.0,1.99,3.83,-8.58,-0.23,-0.72,0.08
233120.0,1.88,3.82,-8.46,-0.1,-0.46,0.03
233130.0,1.48,3.78,-8.36,0.23,-0.12,-0.03
233140.0,1.67,3.36,-8.26,0.05,0.4,0.01
233150.0,1.74,3.46,-8.08,0.21,0.48,0.04
233160.0,1.71,2.77,-8.14,0.3,0.88,-0.08
233170.0,2.38,3.11,-7.84,0.04,1.52,-0.4
233180.0,3.41,3.16,-7.84,-0.07,1.56,0.07
233190.0,4.1,2.8,-8.02,-0.01,0.06,0.11
233200.0,3.63,3.03,-8.36,-0.26,-1.03,-0.07
233210.0,3.09,3.07,-8.4,-0.37,-1.06,-0.18
233220.0,2.52,3.6,-8.6,-0.25,-1.03,-0.0
233230.0,2.01,3.28,-8.61,-0.11,-0.74,0.08
233240.0,1.78,3.52,-8.53,-0.05,-0.25,-0.01
233250.0,1.73,3.26,-8.42,0.09,0.25,0.05
233260.0,1.88,3.14,-8.29,0.26,0.54,0.15
233270.0,2.01,2.66,-8.1,0.13,0.74,0.05
233280.0,2.37,2.78,-8.03,0.07,1.05,-0.07
233290.0,3.05,2.58,-7.87,-0.08,1.24,0.01
233300.0,3.78,2.64,-7.89,-0.09,0.55,0.11
233310.0,3.93,2.69,-8.38,-0.22,-0.82,-0.05
233320.0,3.29,2.9,-8.53,-0.42,-1.32,-0.16
233330.0,2.55,3.38,-8.73,-0.44,-1.09,-0.12
233340.0,2.06,3.39,-8.77,-0.13,-0.7,0.05
233350.0,1.84,3.31,-8.74,-0.13,-0.27,-0.02
233360.0,1.79,3.37,-8.52,0.02,0.09,0.03
233370.0,1.74,3.03,-8.37,0.13,0.24,0.09
233380.0,1.77,2.9,-8.2,0.09,0.48,-0.02
233390.0,2.07,2.86,-8.04,0.05,0.9,-0.09
233400.0,2.32,2.61,-7.75,0.05,1.07,0.13
233410.0,2.98,2.63,-7.8,-0.0,1.09,0.15
233420.0,3.73,2.59,-7.83,-0.09,0.37,0.02
233430.0,3.98,2.73,-8.6,-0.32,-1.07,-0.13
233440.0,2.99,3.08,-8.98,-0.33,-1.23,-0.08
233450.0,2.59,3.17,-8.98,-0.29,-0.85,-0.03
233460.0,2.23,3.29,-8.8,-0.17,-0.46,-0.08
233470.0,1.87,3.1,-8.48,-0.11,-0.2,-0.06
233480.0,1.75,2.97,-8.41,0.01,0.16,0.02
233490.0,1.78,3.0,-8.2,0.13,0.55,0.02
233500.0,2.17,2.7,-8.1,0.14,0.97,0.02
233510.0,2.49,2.6,-7.69,0.01,1.0,0.07
233520.0,3.19,2.55,-7.98,-0.08,0.57,0.0
233530.0,3.29,2.53,-7.98,-0.25,-0.43,-0.04
233540.0,2.95,2.8,-8.6,-0.33,-0.79,-0.12
233550.0,2.9,3.0,-9.14,-0.35,-0.96,-0.06
233560.0,2.3,3.39,-9.27,-0.36,-1.01,-0.06
233570.0,1.87,3.54,-8.79,-0.26,-0.54,-0.13
233580.0,1.48,3.24,-8.65,-0.1,-0.44,0.01
233590.0,1.11,3.23,-8.24,-0.1,-0.03,-0.05
233600.0,1.23,3.2,-8.09,0.1,0.43,0.02
233610.0,1.29,2.89,-8.0,0.16,0.64,0.13
233620.0,1.61,2.81,-8.02,0.1,1.12,0.11
233630.0,2.5,2.93,-8.0,0.19,1.54,0.29
233640.0,3.56,2.38,-8.27,0.09,0.68,0.15
233650.0,3.6,2.75,-8.63,-0.31,-0.43,-0.06
233660.0,2.99,2.82,-8.54,-0.3,-0.71,-0.1
233670.0,2.8,3.03,-8.75,-0.22,-0.58,-0.0
233680.0,2.45,3.02,-8.74,-0.24,-0.65,-0.02
233690.0,2.04,3.26,-8.66,-0.21,-0.45,-0.07
233700.0,1.87,3.22,-8.52,-0.1,-0.03,-0.07
233710.0,1.94,2.97,-8.4,0.04,0.12,0.02
233720.0,1.83,2.88,-8.2,-0.06,0.12,-0.04
233730.0,1.81,2.77,-8.17,-0.0,0.44,-0.1
233740.0,2.25,3.04,-8.12,0.01,0.99,-0.02
233750.0,2.97,2.47,-8.12,0.1,0.69,0.11
233760.0,3.3,2.84,-8.58,-0.22,-0.23,-0.0
233770.0,2.87,2.72,-8.59,-0.3,-0.64,-0.11
233780.0,2.44,3.09,-8.65,-0.53,-0.76,-0.15
233790.0,2.08,3.3,-8.58,-0.17,-0.55,0.03
233800.0,1.9,3.29,-8.65,-0.14,-0.31,0.03
233810.0,1.75,3.3,-8.48,-0.11,-0.09,-0.03
233820.0,1.7,3.21,-8.35,-0.03,0.2,-0.07
233830.0,1.92,2.99,-8.2,-0.0,0.25,-0.02
233840.0,1.81,2.97,-8.24,-0.11,0.2,-0.06
233850.0,1.68,2.82,-8.18,-0.01,0.52,-0.15
233860.0,2.44,3.27,-8.36,0.11,1.2,-0.02
233870.0,3.24,2.5,-8.16,0.18,0.71,0.26
233880.0,3.51,3.01,-8.63,-0.29,-0.4,0.04
233890.0,2.85,2.98,-8.54,-0.38,-0.57,-0.1
233900.0,2.71,3.23,-8.48,-0.54,-0.55,-0.07
233910.0,2.33,3.48,-8.56,-0.18,-0.73,0.03
233920.0,1.81,3.3,-8.44,-0.21,-0.35,-0.07
233930.0,1.82,3.4,-8.24,-0.03,0.17,-0.15
233940.0,2.0,3.2,-8.25,0.05,0.39,-0.09
233950.0,2.06,2.99,-8.13,-0.01,0.41,-0.08
233960.0,2.26,3.04,-8.18,-0.06,0.71,-0.16
233970.0,2.83,2.83,-8.25,0.01,0.4,0.11
233980.0,3.04,2.84,-8.49,-0.23,-0.25,0.06
233990.0,2.64,3.16,-8.45,-0.4,-0.67,0.07
234000.0,2.32,3.38,-8.57,-0.2,-0.59,0.14
234010.0,2.16,3.57,-8.64,-0.22,-0.48,0.08
234020.0,1.85,3.51,-8.38,-0.22,-0.32,-0.02
234030.0,1.66,3.54,-8.27,-0.07,-0.02,-0.03
234040.0,1.72,3.43,-8.23,-0.06,0.22,-0.09
234050.0,1.8,3.38,-8.15,0.01,0.38,-0.1
234060.0,1.87,3.24,-8.23,0.01,0.83,-0.22
234070.0,2.46,3.2,-8.01,0.15,1.26,0.08
234080.0,3.46,2.57,-8.19,0.08,0.47,0.09
234090.0,3.25,3.09,-8.4,-0.34,-0.73,-0.05
234100.0,2.58,3.3,-8.43,-0.3,-0.7,-0.04
234110.0,2.48,3.46,-8.64,-0.21,-0.59,0.08
234120.0,2.12,3.46,-8.57,-0.2,-0.47,0.04
234130.0,1.87,3.52,-8.44,-0.13,-0.13,-0.08
234140.0,1.88,3.45,-8.28,0.04,0.1,0.05
234150.0,1.87,3.23,-8.21,0.02,0.15,0.03
234160.0,1.8,3.16,-8.04,-0.05,0.39,-0.11
234170.0,2.04,3.28,-8.06,0.07,0.83,-0.09
234180.0,2.8,2.81,-8.1,0.16,0.89,0.12
234190.0,3.35,2.84,-8.36,-0.12,-0.01,0.07
