miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
187860.0,2.93,3.24,-8.7,-0.2,-0.32,0.06
187870.0,2.44,2.95,-8.87,0.01,-0.72,0.26
187880.0,2.09,2.86,-8.78,-0.12,-0.55,0.19
187890.0,1.81,3.04,-8.65,-0.12,-0.28,0.13
187900.0,1.79,2.99,-8.66,-0.02,-0.17,0.15
187910.0,1.73,2.91,-8.63,-0.15,-0.3,-0.02
187920.0,1.66,3.3,-8.46,-0.17,-0.47,-0.09
187930.0,1.2,3.03,-8.46,-0.15,-0.78,-0.09
187940.0,0.67,3.16,-8.51,-0.21,-0.34,-0.12
187950.0,0.65,3.23,-8.4,-0.07,0.24,-0.07
187960.0,1.03,3.16,-8.48,-0.0,0.63,-0.17
187970.0,1.19,2.84,-8.3,-0.07,0.8,-0.23
187980.0,1.49,2.75,-8.28,-0.19,1.32,-0.12
187990.0,2.42,2.8,-8.16,-0.1,1.54,0.25
188000.0,3.43,2.77,-8.22,0.03,1.0,0.37
188010.0,3.92,2.69,-8.65,-0.06,-0.48,0.08
188020.0,2.91,2.98,-8.64,-0.27,-1.06,-0.14
188030.0,2.61,3.15,-8.81,-0.13,-0.96,-0.14
188040.0,1.91,3.01,-8.83,-0.15,-0.79,-0.09
188050.0,1.61,3.2,-8.61,-0.12,-0.44,-0.04
188060.0,1.52,3.16,-8.53,-0.06,-0.44,-0.0
188070.0,1.16,3.14,-8.35,-0.15,-0.48,-0.1
188080.0,0.97,3.31,-8.39,-0.19,-0.42,-0.21
188090.0,0.67,3.27,-8.37,-0.12,-0.08,-0.21
188100.0,0.68,3.16,-8.31,-0.02,0.46,-0.22
188110.0,0.97,2.96,-8.27,-0.02,0.98,-0.06
188120.0,1.4,2.61,-8.06,0.03,1.65,0.15
188130.0,2.68,2.37,-7.97,-0.09,2.01,0.34
188140.0,4.03,2.58,-8.32,0.03,0.58,0.19
188150.0,3.74,2.41,-8.77,-0.25,-1.01,-0.08
188160.0,2.61,2.89,-8.84,-0.21,-1.17,-0.14
188170.0,2.31,3.12,-8.93,-0.16,-0.66,-0.03
188180.0,2.09,3.11,-9.03,-0.1,-0.66,0.07
188190.0,1.63,3.09,-8.71,-0.14,-0.61,-0.0
188200.0,1.48,3.44,-8.52,-0.18,-0.65,-0.04
188210.0,0.82,3.3,-8.44,-0.11,-0.6,-0.06
188220.0,0.57,3.37,-8.26,-0.09,-0.12,-0.09
188230.0,0.65,3.1,-8.37,0.02,0.39,-0.08
188240.0,0.91,2.94,-8.29,-0.04,0.66,-0.09
188250.0,1.25,2.77,-8.13,-0.04,1.04,0.02
188260.0,1.78,2.67,-7.92,-0.07,1.43,0.2
188270.0,2.89,2.81,-8.23,0.0,1.21,0.25
188280.0,3.52,2.87,-8.63,-0.02,0.1,0.15
188290.0,3.14,2.5,-8.95,-0.19,-0.71,-0.14
