miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
237640.0,9.87,0.63,0.51,0.96,0.25,0.14
237650.0,10.02,1.12,0.27,-0.15,0.23,0.04
237660.0,10.12,1.63,0.36,-0.46,-0.0,0.03
237670.0,9.78,1.08,0.5,-0.87,-0.03,0.01
237680.0,9.97,1.27,1.03,-2.44,0.13,-0.19
237690.0,9.95,2.7,1.51,-2.12,-0.08,-0.24
237700.0,9.67,1.85,1.66,-1.62,-0.12,-0.22
237710.0,9.66,2.18,1.92,-1.3,0.02,-0.22
237720.0,9.75,2.46,2.04,-0.32,0.01,-0.13
237730.0,9.74,2.33,1.94,0.87,-0.05,0.01
237740.0,9.76,2.25,1.76,2.08,-0.11,0.13
237750.0,9.73,1.5,1.4,2.64,-0.05,0.22
237760.0,9.61,0.86,0.66,2.04,0.19,0.18
237770.0,9.91,0.53,0.37,0.74,0.3,0.09
237780.0,10.07,1.07,0.35,-0.56,0.14,0.03
237790.0,9.91,0.89,0.5,-1.71,0.1,-0.07
237800.0,10.05,2.1,1.04,-2.25,0.07,-0.16
237810.0,9.96,2.24,1.47,-2.13,-0.09,-0.2
237820.0,9.77,2.59,1.79,-1.21,-0.22,-0.21
237830.0,9.7,2.41,1.89,-0.09,-0.19,-0.09
237840.0,9.68,2.13,1.9,0.76,-0.09,-0.0
237850.0,9.75,2.11,1.7,1.59,-0.11,0.07
237860.0,9.64,1.53,1.44,1.97,-0.06,0.11
237870.0,9.7,1.0,1.06,1.46,0.11,0.07
237880.0,9.84,1.2,0.54,0.77,0.28,0.04
237890.0,10.05,1.36,0.48,0.53,0.17,0.13
237900.0,9.91,0.88,0.24,-0.07,0.07,0.1
237910.0,9.89,0.14,0.4,-2.45,0.34,-0.16
237920.0,10.26,2.85,1.24,-2.8,0.09,-0.32
237930.0,9.96,2.81,1.5,-1.1,-0.36,-0.16
237940.0,9.65,1.87,1.54,-0.33,-0.26,-0.08
237950.0,9.68,2.08,1.7,-0.08,-0.05,-0.07
237960.0,9.73,2.11,1.74,0.51,-0.06,-0.04
237970.0,9.7,2.06,1.63,1.4,-0.11,0.05
237980.0,9.73,1.59,1.42,1.75,-0.02,0.13
237990.0,9.7,1.01,0.83,1.46,0.19,0.07
238000.0,9.88,0.8,0.52,0.44,0.29,0.04
238010.0,9.75,0.12,0.36,-1.07,0.3,-0.04
238020.0,10.16,1.49,0.78,-3.08,0.38,-0.29
238030.0,10.2,3.03,1.24,-1.78,-0.06,-0.19
238040.0,9.78,1.54,1.33,-1.09,-0.2,-0.09
238050.0,9.79,2.27,1.75,-1.03,-0.13,-0.11
238060.0,9.74,2.59,1.99,0.09,-0.23,-0.02
238070.0,9.7,2.42,1.99,1.37,-0.26,0.09
238080.0,9.67,1.89,1.79,2.19,-0.18,0.15
238090.0,9.66,1.16,1.36,1.9,0.0,0.11
238100.0,9.77,0.97,0.94,0.96,0.2,0.01
238110.0,9.92,1.32,0.71,0.37,0.25,-0.03
238120.0,9.82,1.33,0.47,0.22,0.19,-0.01
238130.0,9.97,0.7,0.31,-0.55,0.19,-0.03
238140.0,9.95,0.85,0.5,-1.75,0.16,-0.11
238150.0,9.87,0.91,1.01,-2.96,0.18,-0.24
238160.0,10.13,3.04,1.69,-2.58,-0.09,-0.34
238170.0,9.83,2.87,1.98,-0.4,-0.47,-0.12
238180.0,9.6,2.36,2.04,1.18,-0.36,0.08
238190.0,9.63,1.98,1.93,2.07,-0.21,0.19
238200.0,9.6,1.29,1.59,1.96,-0.08,0.15
238210.0,9.69,1.02,1.22,1.02,0.13,0.05
238220.0,9.83,1.22,0.95,0.16,0.26,-0.04
238230.0,9.89,1.62,0.71,-0.01,0.25,-0.06
238240.0,9.94,1.49,0.56,0.07,0.2,-0.03
238250.0,10.0,1.42,0.45,-0.04,0.13,0.01
238260.0,9.98,1.05,0.49,-0.66,0.09,-0.04
238270.0,9.95,1.75,0.77,-1.19,0.03,-0.11
238280.0,9.9,1.05,1.1,-1.84,0.06,-0.16
238290.0,9.96,2.55,1.62,-1.68,-0.07,-0.23
238300.0,9.8,2.61,1.69,-0.13,-0.26,-0.06
238310.0,9.71,2.11,1.71,0.99,-0.21,0.07
238320.0,9.71,1.75,1.63,1.52,-0.18,0.13
238330.0,9.66,1.26,1.37,1.33,-0.07,0.1
238340.0,9.71,1.29,1.11,0.78,0.06,0.05
238350.0,9.85,1.29,0.85,0.34,0.17,0.02
238360.0,9.78,0.93,0.7,-0.28,0.23,-0.01
238370.0,10.02,1.34,0.62,-1.75,0.37,-0.17
238380.0,10.04,2.16,0.79,-1.67,0.17,-0.16
238390.0,9.97,1.8,1.08,-1.37,0.02,-0.16
238400.0,9.95,2.15,1.45,-1.19,-0.09,-0.16
238410.0,9.85,2.2,1.71,-0.58,-0.19,-0.13
238420.0,9.75,2.05,1.86,0.2,-0.19,-0.05
238430.0,9.67,2.09,1.87,0.96,-0.19,0.06
238440.0,9.75,1.9,1.74,1.71,-0.2,0.13
238450.0,9.63,1.19,1.38,1.64,-0.05,0.15
238460.0,9.7,1.05,1.0,0.83,0.16,0.09
238470.0,9.91,1.31,0.77,0.18,0.24,0.02
238480.0,9.95,1.43,0.59,-0.05,0.17,0.01
238490.0,9.75,0.5,0.43,-0.93,0.22,-0.04
238500.0,10.06,1.36,0.81,-2.45,0.32,-0.23
238510.0,10.14,2.74,1.36,-2.21,0.05,-0.28
238520.0,9.85,2.25,1.56,-1.1,-0.21,-0.19
238530.0,9.77,2.03,1.82,-0.59,-0.17,-0.12
238540.0,9.73,2.23,1.99,0.27,-0.17,-0.02
238550.0,9.76,2.26,1.98,1.36,-0.23,0.08
238560.0,9.67,1.77,1.8,2.19,-0.22,0.17
238570.0,9.63,1.01,1.38,1.86,-0.02,0.15
238580.0,9.76,0.86,0.98,0.77,0.19,0.05
238590.0,9.86,1.11,0.76,-0.08,0.26,0.0
238600.0,9.85,1.31,0.62,-0.52,0.21,-0.03
238610.0,9.89,0.57,0.61,-2.01,0.36,-0.14
238620.0,10.13,2.36,1.12,-2.18,0.21,-0.22
238630.0,10.07,2.64,1.39,-1.01,-0.14,-0.13
238640.0,9.82,2.16,1.57,0.13,-0.26,-0.01
238650.0,9.83,2.35,1.67,1.15,-0.3,0.08
238660.0,9.64,1.7,1.61,1.86,-0.3,0.15
238670.0,9.59,0.99,1.33,1.38,-0.12,0.09
238680.0,9.67,1.06,1.14,0.38,0.07,0.03
238690.0,9.83,1.53,1.04,-0.08,0.13,-0.03
238700.0,9.85,1.19,0.94,-0.19,0.14,-0.03
238710.0,9.83,0.75,0.69,-1.67,0.39,-0.17
238720.0,10.06,2.21,1.03,-1.77,0.27,-0.21
238730.0,9.96,2.03,1.17,-1.27,0.06,-0.14
238740.0,9.94,1.83,1.34,-1.2,0.01,-0.13
238750.0,9.9,2.27,1.69,-0.78,-0.1,-0.12
238760.0,9.69,2.2,1.82,0.2,-0.21,-0.03
238770.0,9.81,2.23,1.94,1.21,-0.28,0.09
238780.0,9.66,1.99,1.85,2.15,-0.31,0.2
238790.0,9.64,1.29,1.48,2.22,-0.14,0.18
238800.0,9.69,0.81,1.03,1.44,0.1,0.11
238810.0,9.88,0.95,0.73,0.29,0.24,0.01
238820.0,9.96,1.36,0.61,-0.27,0.21,-0.05
238830.0,9.8,0.55,0.41,-1.51,0.31,-0.14
238840.0,10.1,1.96,0.78,-2.29,0.33,-0.24
238850.0,10.03,1.85,1.01,-1.61,0.03,-0.18
238860.0,9.96,1.92,1.42,-2.02,-0.03,-0.25
