miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
192400.0,1.41,8.54,-3.96,-0.81,-0.07,0.01
192410.0,1.43,8.68,-3.79,-0.61,-0.03,-0.02
192420.0,1.42,8.84,-3.57,-0.34,-0.01,-0.02
192430.0,1.37,8.79,-3.46,-0.14,-0.03,0.03
192440.0,1.44,8.75,-3.59,0.07,-0.01,0.02
192450.0,1.46,8.7,-3.68,0.24,0.0,0.02
192460.0,1.45,8.83,-3.63,0.63,-0.01,0.04
192470.0,1.43,8.24,-4.33,0.87,0.04,-0.0
192480.0,1.48,7.59,-5.07,0.51,0.05,-0.02
192490.0,1.53,7.48,-5.15,-0.22,0.03,-0.04
192500.0,1.46,8.21,-4.52,-0.37,0.02,-0.05
192510.0,1.42,8.06,-4.62,-0.37,0.03,-0.06
192520.0,1.49,8.02,-4.64,-0.75,0.02,-0.05
192530.0,1.48,8.56,-3.89,-0.82,-0.07,-0.01
192540.0,1.38,8.77,-3.72,-0.47,-0.02,-0.01
192550.0,1.42,8.68,-3.65,-0.32,-0.05,0.04
192560.0,1.44,8.76,-3.56,-0.06,-0.01,0.01
192570.0,1.49,8.61,-3.73,0.02,0.0,0.0
192580.0,1.45,8.71,-3.65,0.17,-0.02,0.02
192590.0,1.49,8.49,-3.99,0.32,0.02,0.0
192600.0,1.48,8.32,-4.21,0.29,0.01,-0.01
192610.0,1.48,8.26,-4.34,0.19,0.03,-0.03
192620.0,1.47,8.51,-4.2,0.41,0.01,-0.02
192630.0,1.46,8.01,-4.69,0.53,0.07,-0.03
192640.0,1.5,7.63,-5.07,0.19,0.04,-0.04
192650.0,1.46,7.54,-5.19,-0.36,0.04,-0.06
192660.0,1.51,7.92,-4.79,-0.73,0.04,-0.09
192670.0,1.4,8.38,-4.26,-0.76,-0.0,-0.05
192680.0,1.45,8.53,-4.0,-0.64,-0.04,0.01
192690.0,1.42,8.65,-3.82,-0.36,-0.04,0.02
192700.0,1.46,8.56,-3.86,-0.25,-0.04,0.04
192710.0,1.46,8.7,-3.73,-0.05,-0.04,0.04
192720.0,1.49,8.72,-3.73,0.33,-0.0,0.02
192730.0,1.52,8.25,-4.26,0.52,0.03,0.01
192740.0,1.55,8.03,-4.62,0.34,0.03,-0.04
192750.0,1.5,8.12,-4.56,0.27,0.04,-0.05
192760.0,1.49,8.02,-4.74,0.16,0.03,-0.04
192770.0,1.47,8.01,-4.79,0.13,0.02,-0.03
192780.0,1.49,8.0,-4.8,0.18,0.01,-0.01
192790.0,1.49,7.51,-5.29,-0.02,0.05,-0.05
192800.0,1.52,7.56,-5.1,-0.58,0.05,-0.08
192810.0,1.46,8.08,-4.63,-0.84,0.03,-0.07
192820.0,1.44,8.47,-4.17,-0.68,-0.01,-0.01
192830.0,1.47,8.54,-3.99,-0.52,-0.09,0.07
192840.0,1.49,8.59,-3.87,-0.22,-0.05,0.04
192850.0,1.48,8.57,-3.96,0.06,-0.03,0.03
192860.0,1.52,8.43,-4.12,0.22,-0.02,0.04
192870.0,1.51,8.33,-4.24,0.32,-0.01,0.02
192880.0,1.52,8.37,-4.3,0.58,-0.01,0.01
192890.0,1.51,7.72,-4.93,0.65,0.06,-0.03
192900.0,1.53,7.15,-5.49,0.03,0.05,-0.06
192910.0,1.51,7.88,-4.97,-0.36,0.05,-0.08
192920.0,1.47,7.84,-4.92,-0.36,0.07,-0.08
192930.0,1.52,7.79,-4.87,-0.69,0.05,-0.08
192940.0,1.49,8.31,-4.31,-0.75,0.01,-0.07
192950.0,1.44,8.64,-4.06,-0.56,-0.01,0.01
192960.0,1.5,8.59,-3.91,-0.34,-0.07,0.06
192970.0,1.49,8.61,-3.87,-0.06,-0.01,0.02
192980.0,1.52,8.41,-4.07,0.01,-0.07,0.07
192990.0,1.54,8.39,-4.11,0.06,-0.04,0.04
193000.0,1.53,8.43,-4.08,0.26,-0.02,0.01
193010.0,1.52,8.21,-4.41,0.36,0.0,0.0
193020.0,1.55,8.24,-4.49,0.53,0.02,-0.02
193030.0,1.57,7.91,-4.92,0.6,0.07,-0.06
193040.0,1.55,7.14,-5.57,-0.02,0.06,-0.07
193050.0,1.54,7.92,-4.98,-0.35,0.05,-0.08
193060.0,1.5,7.84,-4.92,-0.41,0.06,-0.07
193070.0,1.53,7.96,-4.8,-0.54,0.04,-0.07
193080.0,1.47,8.18,-4.54,-0.59,0.02,-0.06
193090.0,1.55,8.38,-4.3,-0.59,-0.04,0.03
193100.0,1.45,8.44,-4.04,-0.44,-0.06,0.03
193110.0,1.53,8.61,-3.93,-0.27,-0.07,0.06
193120.0,1.47,8.59,-3.89,0.02,-0.09,0.09
193130.0,1.55,8.51,-3.98,0.37,-0.06,0.06
193140.0,1.51,8.38,-4.26,0.75,-0.05,0.06
193150.0,1.62,7.39,-5.18,0.49,0.05,-0.04
193160.0,1.58,7.47,-5.21,-0.09,0.05,-0.1
193170.0,1.52,8.18,-4.66,-0.19,0.05,-0.1
193180.0,1.53,8.06,-4.77,0.05,0.05,-0.06
193190.0,1.49,7.68,-5.07,-0.02,0.06,-0.05
193200.0,1.57,7.47,-5.2,-0.54,0.08,-0.08
193210.0,1.54,8.06,-4.6,-0.92,0.02,-0.08
193220.0,1.5,8.43,-4.15,-0.86,-0.0,-0.06
193230.0,1.46,8.66,-3.72,-0.58,-0.06,-0.01
193240.0,1.44,8.85,-3.6,-0.16,-0.03,0.0
193250.0,1.47,8.68,-3.8,0.21,0.01,0.02
193260.0,1.52,8.43,-4.07,0.34,-0.01,0.02
193270.0,1.45,8.51,-4.0,0.67,-0.02,0.04
193280.0,1.55,8.17,-4.58,0.9,0.02,0.03
193290.0,1.64,7.4,-5.25,0.74,-0.01,-0.0
193300.0,1.5,6.98,-5.77,-0.21,0.04,-0.04
193310.0,1.56,7.94,-4.96,-0.48,0.05,-0.08
193320.0,1.47,7.83,-4.95,-0.47,0.04,-0.06
193330.0,1.53,7.93,-4.79,-0.57,0.02,-0.05
193340.0,1.55,8.21,-4.52,-0.58,0.01,-0.04
193350.0,1.5,8.23,-4.42,-0.63,-0.03,0.01
193360.0,1.51,8.5,-3.96,-0.56,-0.12,0.07
193370.0,1.53,8.74,-3.85,-0.13,-0.04,0.04
193380.0,1.53,8.47,-4.05,0.12,-0.01,0.02
193390.0,1.56,8.5,-4.1,0.35,-0.02,0.02
193400.0,1.53,8.51,-4.2,0.85,-0.01,0.02
193410.0,1.67,7.86,-4.81,1.16,0.02,-0.03
193420.0,1.43,6.67,-6.02,0.35,0.01,-0.06
193430.0,1.55,7.34,-5.53,-0.42,0.08,-0.06
193440.0,1.56,7.89,-4.98,-0.4,0.07,-0.07
193450.0,1.52,7.74,-5.07,-0.34,0.05,-0.05
193460.0,1.56,7.7,-5.11,-0.57,0.03,-0.03
193470.0,1.58,8.03,-4.73,-0.65,0.01,-0.05
193480.0,1.53,8.12,-4.53,-0.7,-0.01,-0.03
193490.0,1.5,8.41,-4.19,-0.62,-0.02,-0.03
