miliseg,AcX,AcY,AcZ,GyX,GyY,GyZ
2640221,8.99,-2.79,4.24,-0.08,-0.02,-0.03
2640234,9.05,-2.74,4.24,-0.08,-0.02,-0.02
2640248,9.11,-2.69,4.23,-0.1,0.0,-0.02
2640262,9.03,-2.69,4.25,-0.12,0.03,-0.01
2640275,8.94,-2.74,4.26,-0.14,0.03,-0.0
2640289,8.88,-2.78,4.28,-0.15,0.02,-0.01
2640303,8.9,-2.75,4.26,-0.15,-0.01,-0.02
2640316,8.91,-2.75,4.27,-0.16,-0.03,-0.02
2640330,8.95,-2.84,4.24,-0.16,-0.04,-0.03
2640344,8.98,-2.86,4.21,-0.16,-0.04,-0.04
2640357,9.05,-2.92,4.17,-0.14,-0.03,-0.04
2640371,9.05,-2.9,4.15,-0.12,-0.02,-0.03
2640385,9.05,-2.87,4.15,-0.1,-0.0,-0.02
2640398,8.98,-2.85,4.19,-0.09,0.0,-0.02
2640412,8.96,-2.79,4.19,-0.09,-0.0,-0.02
2640426,8.96,-2.73,4.21,-0.09,-0.01,-0.03
2640439,9.0,-2.71,4.22,-0.1,-0.02,-0.03
2640453,9.05,-2.72,4.23,-0.11,-0.02,-0.02
2640467,9.11,-2.76,4.23,-0.12,-0.0,-0.02
2640480,9.12,-2.76,4.16,-0.14,0.02,-0.02
2640494,9.09,-2.79,4.2,-0.14,0.04,-0.01
2640508,9.02,-2.78,4.19,-0.14,0.04,0.0
2640521,8.97,-2.78,4.17,-0.14,0.04,0.0
2640535,8.9,-2.82,4.19,-0.13,0.03,-0.0
2640549,8.87,-2.85,4.2,-0.13,0.02,-0.01
2640562,8.9,-2.87,4.18,-0.12,-0.0,-0.02
2640576,8.94,-2.88,4.15,-0.11,-0.02,-0.02
2640590,8.97,-2.9,4.14,-0.09,-0.03,-0.03
2640603,9.01,-2.86,4.15,-0.08,-0.02,-0.03
2640617,9.04,-2.86,4.18,-0.06,-0.01,-0.02
2640631,9.06,-2.83,4.2,-0.05,-0.0,-0.01
2640644,9.0,-2.8,4.17,-0.05,0.01,-0.01
2640658,8.96,-2.76,4.19,-0.07,0.01,-0.02
2640672,8.98,-2.72,4.22,-0.08,-0.0,-0.03
2640686,9.06,-2.7,4.21,-0.1,-0.01,-0.02
2640699,9.09,-2.72,4.22,-0.11,0.01,-0.01
2640713,9.04,-2.77,4.21,-0.12,0.03,-0.01
2640727,9.01,-2.76,4.2,-0.12,0.04,-0.01
2640740,8.92,-2.73,4.18,-0.13,0.04,-0.01
2640754,8.86,-2.73,4.18,-0.15,0.02,-0.01
2640768,8.87,-2.75,4.21,-0.16,-0.01,-0.03
2640781,8.9,-2.8,4.18,-0.16,-0.03,-0.04
2640795,8.94,-2.87,4.19,-0.15,-0.04,-0.05
2640809,8.99,-2.89,4.15,-0.14,-0.04,-0.05
2640822,9.02,-2.92,4.14,-0.12,-0.05,-0.05
2640836,9.05,-2.93,4.13,-0.1,-0.04,-0.05
2640850,9.07,-2.91,4.13,-0.08,-0.04,-0.05
2640863,9.08,-2.83,4.14,-0.06,-0.03,-0.05
2640877,9.06,-2.76,4.15,-0.06,-0.02,-0.04
2640891,9.07,-2.72,4.18,-0.07,-0.01,-0.03
2640904,9.06,-2.71,4.18,-0.08,0.0,-0.03
2640918,9.05,-2.71,4.15,-0.09,0.0,-0.02
2640932,9.05,-2.7,4.15,-0.1,0.0,-0.02
2640945,9.05,-2.68,4.18,-0.12,0.01,-0.02
2640959,9.06,-2.71,4.16,-0.14,0.01,-0.02
2640973,9.04,-2.76,4.16,-0.15,0.02,-0.02
2640986,9.01,-2.79,4.14,-0.15,0.02,-0.02
2641000,9.0,-2.81,4.16,-0.14,0.02,-0.02
2641014,8.96,-2.81,4.14,-0.14,0.01,-0.02
2641027,8.97,-2.82,4.13,-0.13,0.0,-0.02
2641041,9.0,-2.84,4.12,-0.12,-0.01,-0.03
2641055,9.01,-2.84,4.09,-0.1,-0.01,-0.03
2641068,9.02,-2.84,4.12,-0.09,-0.01,-0.02
2641083,9.05,-2.82,4.13,-0.07,-0.0,-0.02
2641096,9.06,-2.77,4.13,-0.07,0.0,-0.02
2641110,9.05,-2.74,4.13,-0.07,0.01,-0.02
2641124,9.03,-2.73,4.16,-0.08,0.01,-0.02
2641137,9.05,-2.72,4.17,-0.08,0.0,-0.02
2641151,9.01,-2.71,4.15,-0.09,0.01,-0.02
2641165,8.97,-2.72,4.17,-0.11,0.0,-0.02
2641178,9.0,-2.7,4.17,-0.12,-0.01,-0.03
2641192,9.04,-2.68,4.14,-0.14,-0.01,-0.03
2641206,9.08,-2.71,4.14,-0.15,-0.01,-0.03
2641219,9.09,-2.76,4.12,-0.15,-0.0,-0.03
2641233,9.07,-2.81,4.11,-0.14,0.01,-0.02
2641247,9.05,-2.84,4.13,-0.13,0.02,-0.02
2641260,9.02,-2.84,4.13,-0.12,0.02,-0.01
